,CYP2E1 (1571)
ACH-000004,-0.0406664463245
ACH-000007,-0.0536771442753
ACH-000009,-0.126359104116
ACH-000011,-0.315725979516
ACH-000012,-0.155088881198
ACH-000013,-0.0841218947537
ACH-000014,0.00242239662859
ACH-000015,-0.123008928232
ACH-000017,-0.155547092194
ACH-000018,-0.146647552809
ACH-000019,0.147253490521
ACH-000021,-0.071346745384
ACH-000022,-0.272574048995
ACH-000025,-0.147256822322
ACH-000028,-0.110236994507
ACH-000030,-0.0828979537321
ACH-000035,0.0029092832892900003
ACH-000036,-0.0688240202487
ACH-000037,-0.292958481959
ACH-000039,-0.0871669470057
ACH-000040,-0.0026444081178499997
ACH-000041,-0.195032735805
ACH-000042,-0.139393838373
ACH-000045,-0.06569944225589999
ACH-000047,-0.00854252804575
ACH-000052,-0.492976480845
ACH-000053,-0.0981468283079
ACH-000054,-0.14922950178
ACH-000055,0.0934237413444
ACH-000060,-0.107585435053
ACH-000067,-0.12064300229000001
ACH-000070,0.0480208192727
ACH-000075,-0.008518425663120001
ACH-000078,-0.131436541297
ACH-000082,0.0069775650714399996
ACH-000085,-0.207058274286
ACH-000086,-0.197258986102
ACH-000087,0.179728476297
ACH-000092,0.128574969458
ACH-000095,-0.0631085470533
ACH-000097,-0.00920766775325
ACH-000098,-0.11804425963300001
ACH-000099,-0.232918373169
ACH-000108,-0.266258471948
ACH-000113,-0.0738698634172
ACH-000115,-0.057609777936699996
ACH-000116,0.020668397424400003
ACH-000118,-0.08857861073719998
ACH-000120,-0.11168544080800001
ACH-000123,-0.160205364721
ACH-000127,-0.145871072402
ACH-000128,-0.200306028473
ACH-000132,-0.0457360972774
ACH-000133,-0.14602004853800002
ACH-000137,0.0721478626728
ACH-000138,-0.0228028024375
ACH-000142,-0.161156704383
ACH-000143,-0.14618937792300002
ACH-000146,-0.13895767723400002
ACH-000148,-0.254701911592
ACH-000150,-0.303485638766
ACH-000152,-0.0588623172229
ACH-000153,-0.0379277906847
ACH-000159,-0.129747881012
ACH-000160,-0.16186122835
ACH-000163,0.160986121265
ACH-000167,-0.122840115165
ACH-000168,0.0725460655893
ACH-000169,-0.112971225882
ACH-000178,-0.178804710594
ACH-000182,-0.086011938594
ACH-000183,-0.0784053852054
ACH-000188,-0.0850215284366
ACH-000189,-0.221761665978
ACH-000190,0.110890779036
ACH-000198,-0.0597551337562
ACH-000204,-0.317757220166
ACH-000206,-0.073662227271
ACH-000207,-0.273000428995
ACH-000211,0.0634552977117
ACH-000215,-0.0736739299319
ACH-000221,0.0333979787867
ACH-000222,-0.343617545462
ACH-000223,-0.10976219692900001
ACH-000226,0.0224992757467
ACH-000227,0.16471766158
ACH-000228,-0.288400955526
ACH-000231,-0.0853977763673
ACH-000232,-0.0213101086164
ACH-000233,-0.10913023116800001
ACH-000234,-0.123584889891
ACH-000235,-0.08778260195210001
ACH-000237,-0.369758804344
