,ST7L (54879)
ACH-000004,-0.298300305303
ACH-000007,-0.217058592357
ACH-000009,-0.194884369252
ACH-000011,-0.120067088694
ACH-000012,-0.19686078330200002
ACH-000013,-0.12485815105900001
ACH-000014,-0.09984434144360001
ACH-000015,-0.208637961585
ACH-000017,-0.0191604647915
ACH-000018,-0.262172559655
ACH-000019,-0.51014115874
ACH-000021,-0.282965832364
ACH-000022,-0.148676749854
ACH-000025,-0.358597933633
ACH-000028,-0.32550535585900003
ACH-000030,-0.19058161092599998
ACH-000035,-0.335176123451
ACH-000036,-0.242007195184
ACH-000037,-0.0557791648317
ACH-000039,-0.16149296847300001
ACH-000040,-0.240521182804
ACH-000041,-0.255294386433
ACH-000042,-0.201319783441
ACH-000045,-0.0645608021248
ACH-000047,-0.109861163959
ACH-000052,-0.39848458130599995
ACH-000053,-0.100304027546
ACH-000054,-0.21217549058600002
ACH-000055,-0.251989508627
ACH-000060,-0.24162160488
ACH-000067,-0.2800617907
ACH-000070,-0.299155406315
ACH-000075,-0.604174071238
ACH-000078,-0.33657964609200003
ACH-000082,-0.165229796605
ACH-000085,-0.139637852549
ACH-000086,-0.250594195789
ACH-000087,-0.35627494064000004
ACH-000092,-0.42166413918000006
ACH-000095,-0.316952154703
ACH-000097,-0.150509038348
ACH-000098,-0.227911748238
ACH-000099,-0.269977163357
ACH-000108,-0.214471340615
ACH-000113,-0.155560316989
ACH-000115,-0.116578664061
ACH-000116,-0.16522826176
ACH-000118,-0.142048608282
ACH-000120,0.00697580441387
ACH-000123,-0.11986989205399999
ACH-000127,-0.143234413785
ACH-000128,-0.190759751397
ACH-000132,-0.378271206924
ACH-000133,-0.192422963849
ACH-000137,-0.266039668834
ACH-000138,-0.122948871482
ACH-000142,-0.135616559841
ACH-000143,-0.205730451094
ACH-000146,-0.22520439376999996
ACH-000148,-0.300674894705
ACH-000150,-0.226316388922
ACH-000152,-0.40428445986199996
ACH-000153,0.224669485626
ACH-000159,-0.23574469522500002
ACH-000160,-0.0491053943613
ACH-000163,-0.142681021971
ACH-000167,-0.231202562748
ACH-000168,-0.27111096314
ACH-000169,-0.146515327048
ACH-000178,-0.319141249043
ACH-000182,-0.0206616413156
ACH-000183,0.000719266314918
ACH-000188,-0.364181480085
ACH-000189,-0.19028770687899998
ACH-000190,-0.10541751810200001
ACH-000198,-0.151872869923
ACH-000204,-0.467158698448
ACH-000206,-0.18997791471900002
ACH-000207,-0.267482916939
ACH-000211,-0.272101063889
