,RPRD2 (23248)
ACH-000004,-0.372593446789
ACH-000007,-0.345702661376
ACH-000009,-0.700827716871
ACH-000011,0.173264218401
ACH-000012,-0.775092295776
ACH-000013,-0.307836167463
ACH-000014,-0.316196643148
ACH-000015,-0.338177494982
ACH-000017,0.164896810265
ACH-000018,0.127634995793
ACH-000019,-0.322472433637
ACH-000021,-0.290782603105
ACH-000022,-0.154196829552
ACH-000025,-0.191966019985
ACH-000028,-0.545375367333
ACH-000030,-0.49654305976499996
ACH-000035,-0.318022358033
ACH-000036,-0.0347501420331
ACH-000037,-0.13939759906500002
ACH-000039,-0.408398337839
ACH-000040,-0.569607917103
ACH-000041,-0.15238556965800001
ACH-000042,-0.467978687349
ACH-000045,0.107745042639
ACH-000047,-0.421627833337
ACH-000052,-0.153632262638
ACH-000053,-0.26716269223
ACH-000054,-0.157958078737
ACH-000055,-0.747394275458
ACH-000060,-0.377684194384
ACH-000067,0.16201428503100002
ACH-000070,-0.369297942651
ACH-000075,-0.324376761886
ACH-000078,-0.0285207135935
ACH-000082,0.026124283550200002
ACH-000085,-0.44902366606000005
ACH-000086,-0.38542276347300003
ACH-000087,0.142149062059
ACH-000092,-0.0996442544048
ACH-000095,0.292451142996
ACH-000097,-0.177979718764
ACH-000098,-0.15519762361300002
ACH-000099,-0.077049293053
ACH-000108,-0.45209448565
ACH-000113,-0.554589074334
ACH-000115,-0.9901611087090001
ACH-000116,-0.413496965296
ACH-000118,-0.314040133308
ACH-000120,-0.17134286910500002
ACH-000123,-0.44685048392399995
ACH-000127,0.13104596785999997
ACH-000128,-0.337781300144
ACH-000132,-0.026016551005500002
ACH-000133,-0.48457704771000004
ACH-000137,-0.372041318953
ACH-000138,-0.606172002654
ACH-000142,-0.13098244588400001
ACH-000143,-0.421833904617
ACH-000146,-0.0862257374517
ACH-000148,-0.18660501926800002
ACH-000150,-0.028133785047400002
ACH-000152,-0.529683932987
ACH-000153,-0.21899051995700003
ACH-000159,-0.361580235282
ACH-000160,-0.300745007529
ACH-000163,0.0641948625891
ACH-000167,-0.198378266405
ACH-000168,0.12834820945800002
ACH-000169,-0.153308982705
ACH-000178,-0.041661639090300004
ACH-000182,-0.420345768124
ACH-000183,-0.8074319276809999
ACH-000188,-0.164146419752
ACH-000189,0.00439725495609
ACH-000190,-0.284452337077
ACH-000198,-0.87840957591
ACH-000204,-0.284750733178
ACH-000206,0.389750801519
ACH-000207,-0.355683093731
ACH-000211,-0.175551528995
ACH-000215,-0.340338230089
ACH-000221,-0.48072063794799996
ACH-000222,-0.30879640156800003
ACH-000223,-0.2857201368
ACH-000226,-0.368406669597
ACH-000227,-0.171952451218
ACH-000228,-0.426162672434
ACH-000231,0.133369861458
ACH-000232,-0.414976679603
ACH-000233,-0.269992971514
ACH-000234,-0.0828149306889
ACH-000235,-0.500100780999
ACH-000237,-0.462373364755
ACH-000238,-0.333573737872
ACH-000243,-0.191813208909
ACH-000244,-0.17721435
ACH-000246,-0.10314516466399999
ACH-000248,0.20455494997200002
ACH-000250,-0.1340241841
ACH-000251,-0.483541264626
ACH-000253,-0.36349377524800003
ACH-000255,-0.35272806731600004
ACH-000256,-0.107973914111
ACH-000257,-0.208822118481
ACH-000258,-0.6083254110230001
ACH-000259,0.24829736397100002
ACH-000260,0.0946560377232
ACH-000261,-0.156806148169
ACH-000262,-0.16598632261600002
ACH-000263,-0.195140180361
ACH-000264,-0.248573383682
ACH-000265,-0.272158602018
ACH-000266,-0.319659535857
ACH-000272,-0.658003162926
ACH-000273,-0.255964991293
ACH-000274,0.217426803171
ACH-000277,-0.452394149099
ACH-000278,-0.179325038089
ACH-000279,-0.00952988575085
ACH-000280,-0.107866491363
ACH-000281,-0.599885975257
ACH-000288,0.00616440529726
ACH-000291,-0.137121120911
ACH-000293,-0.212208909145
ACH-000294,-0.6859632629699999
ACH-000295,-0.680283805993
ACH-000296,-0.37511554256800006
ACH-000302,0.0156309658047
ACH-000304,-0.0647671942333
ACH-000307,-0.39514277819399996
ACH-000308,-0.0937943008732
ACH-000310,-0.321362341624
ACH-000311,-0.331816625995
ACH-000312,-0.413647289418
ACH-000315,-0.126674447218
