,IK (3550)
ACH-000004,-1.61393055725
ACH-000007,-1.17587660502
ACH-000009,-1.49925911603
ACH-000011,-1.2581792115200001
ACH-000012,-1.3664156495200002
ACH-000013,-1.19028209347
ACH-000014,-1.39853212625
ACH-000015,-1.2223299778899999
ACH-000017,-1.55175466271
ACH-000018,-0.859970968786
ACH-000019,0.210727640665
ACH-000021,-1.15444295396
ACH-000022,-1.2803780146500001
ACH-000025,-1.09413735267
ACH-000028,-1.26662976422
ACH-000030,-1.3049959184200002
ACH-000035,-1.18611467983
ACH-000036,-0.976807693011
ACH-000037,-1.73219399398
ACH-000039,-1.34708433646
ACH-000040,-1.0884031190899999
ACH-000041,-1.2612548342
ACH-000042,-1.2917013875499999
ACH-000045,-1.36583869152
ACH-000047,-1.4807333382899999
ACH-000052,-0.95300385285
ACH-000053,-1.3238403437000001
ACH-000054,-0.9208077902490001
ACH-000055,-1.1482613341299999
ACH-000060,-1.03075881287
ACH-000067,-1.18552120122
ACH-000070,-1.2522555659399999
ACH-000075,-1.22795396306
ACH-000078,-1.38741766074
ACH-000082,-1.3940769714899999
ACH-000085,-1.0201957075399999
ACH-000086,-1.07590291584
ACH-000087,-1.23225319305
ACH-000092,-0.966641087822
ACH-000095,-1.4000362342800001
ACH-000097,-1.4628787594200001
ACH-000098,-0.870468758687
ACH-000099,-1.22204039908
ACH-000108,-1.45877468324
ACH-000113,-1.26249199439
ACH-000115,-1.62620919535
ACH-000116,-1.22704706973
ACH-000118,-1.22252033845
ACH-000120,-1.15542425512
ACH-000123,-1.41294676607
ACH-000127,-1.2426784291
ACH-000128,-1.2403963828
ACH-000132,-1.22091268123
ACH-000133,-1.21243083582
ACH-000137,-1.1397799978399998
ACH-000138,-1.22211781741
ACH-000142,-0.997669672598
ACH-000143,-1.39534098222
ACH-000146,-1.58707398629
ACH-000148,-1.2340291369499998
ACH-000150,-0.886276318732
ACH-000152,-1.0650132999500002
ACH-000153,-1.2490720740899999
ACH-000159,-1.25987169238
ACH-000160,-1.4273941792500002
ACH-000163,-1.29434141123
ACH-000167,-1.5602623424700002
ACH-000168,-1.37083407659
ACH-000169,-1.00640140893
ACH-000178,-1.28782237244
ACH-000182,-1.38591375715
ACH-000183,-1.34321964525
ACH-000188,-1.2745983322799999
ACH-000189,-0.635230826527
ACH-000190,-1.15708721339
ACH-000198,-1.5736583102000001
ACH-000204,-1.3552614766600002
ACH-000206,-1.5323662966
ACH-000207,-1.7782957292800001
ACH-000211,-1.0102777172700002
ACH-000215,-1.3811531881799999
ACH-000221,-1.2945408948100001
ACH-000222,-1.23988560505
ACH-000223,-1.43138307506
ACH-000226,-1.04221650599
ACH-000227,-1.47249973225
ACH-000228,-1.5955478300900001
ACH-000231,-0.854680027268
ACH-000232,-1.16450345442
ACH-000233,-1.16138235429
ACH-000234,-1.2130461717799998
ACH-000235,-1.46425154679
ACH-000237,-1.2914000062
ACH-000238,-1.5853100469799999
ACH-000243,-1.2727402999600002
ACH-000244,-1.18118305855
ACH-000246,-1.28401843687
ACH-000248,-0.9336811555760001
ACH-000250,-1.12367070099
ACH-000251,-1.0519426231
ACH-000253,-1.2241826139299998
ACH-000255,-1.29113948709
ACH-000256,-1.18501713226
ACH-000257,-1.01762404264
ACH-000258,-1.05054809123
ACH-000259,-1.1979758421100002
ACH-000260,-1.2379225496
ACH-000261,-1.16854254912
ACH-000262,-0.971490511859
ACH-000263,-1.43467593183
ACH-000264,-1.19311516263
ACH-000265,-1.08437786939
ACH-000266,-1.3524324003900001
ACH-000272,-1.16724800863
ACH-000273,-0.976886355643
ACH-000274,-1.27152805129
ACH-000277,-1.37602492382
ACH-000278,-1.16239221638
ACH-000279,-1.26433155625
ACH-000280,-1.1584572607799999
ACH-000281,-1.1582405740200001
ACH-000288,-0.838749372443
ACH-000291,-1.43681221066
ACH-000293,-1.1471211732
ACH-000294,-1.4239653097999998
ACH-000295,-1.3118227354799998
