,DSN1 (79980)
ACH-000004,-0.8428319319069999
ACH-000007,-0.824194895255
ACH-000009,-0.848688703972
ACH-000011,-0.749367081964
ACH-000012,-1.01594709953
ACH-000013,-0.8583420029659999
ACH-000014,-0.79628561065
ACH-000015,-0.693400350557
ACH-000017,-0.720861141216
ACH-000018,-0.646120444198
ACH-000019,-1.08899726593
ACH-000021,-0.6735576605050001
ACH-000022,-1.12512557216
ACH-000025,-0.816958934225
ACH-000028,-0.9386690174429999
ACH-000030,-0.699086136137
ACH-000035,-0.803066287728
ACH-000036,-0.925259579871
ACH-000037,-0.624090316869
ACH-000039,-1.20411447659
ACH-000040,-0.890875200466
ACH-000041,-0.8469695007870001
ACH-000042,-0.833361820264
ACH-000045,-0.957047444404
ACH-000047,-1.12700185259
ACH-000052,-0.9466060497750001
ACH-000053,-1.18172422999
ACH-000054,-1.27294827499
ACH-000055,-0.8892892445280001
ACH-000060,-0.782180705378
ACH-000067,-0.6509018919089999
ACH-000070,-0.610414906666
ACH-000075,-1.1860022451
ACH-000078,-0.9994460339929999
ACH-000082,-1.12434059261
ACH-000085,-0.828186097873
ACH-000086,-0.848220487466
ACH-000087,-0.590566510859
ACH-000092,-0.8669421598
ACH-000095,-1.01785567468
ACH-000097,-0.804926653409
ACH-000098,-0.45056069648100006
ACH-000099,-0.974242417243
ACH-000108,-0.871238428965
ACH-000113,-0.8015311568600001
ACH-000115,-1.15350683682
ACH-000116,-1.0019445243
ACH-000118,-0.900829965774
ACH-000120,-0.9520242562919999
ACH-000123,-0.9796792353749999
ACH-000127,-0.442762849251
ACH-000128,-1.17456335797
ACH-000132,-0.9860548859909999
ACH-000133,-1.18133768033
ACH-000137,-0.928705873695
ACH-000138,-0.816089079464
ACH-000142,-0.6998133757260001
ACH-000143,-0.817305894737
ACH-000146,-0.933343453823
ACH-000148,-0.808471881733
ACH-000150,-0.48316565425499997
ACH-000152,-0.8211243180500001
ACH-000153,-0.82518713141
ACH-000159,-0.64108828313
ACH-000160,-0.644687220985
ACH-000163,-1.00605943075
ACH-000167,-1.18927278223
ACH-000168,-0.8859716391369999
ACH-000169,-0.791152686743
ACH-000178,-0.707652807437
ACH-000182,-0.811869364252
ACH-000183,-0.921249148666
ACH-000188,-0.9435047136589999
ACH-000189,-0.977999216394
ACH-000190,-1.12104292895
ACH-000198,-1.03048573977
ACH-000204,-0.907450158195
ACH-000206,-0.877611609933
ACH-000207,-1.1273084271
ACH-000211,-1.17440164123
ACH-000215,-0.8441257048909999
ACH-000221,-0.7391300616300001
ACH-000222,-0.7850336693279999
ACH-000223,-1.01729862861
ACH-000226,-1.05044963029
ACH-000227,-1.1781240472399999
ACH-000228,-0.7588758161300001
ACH-000231,-1.28264056366
ACH-000232,-1.0451896522600002
ACH-000233,-1.02921689009
ACH-000234,-1.1422086390600001
ACH-000235,-0.635973616646
ACH-000237,-0.953434841786
ACH-000238,-0.987755777024
ACH-000243,-0.8904389608419999
ACH-000244,-0.996580436435
ACH-000246,-0.88256333779
ACH-000248,-0.8552314700239999
ACH-000250,-0.7674385119850001
ACH-000251,-0.987085395071
ACH-000253,-0.6919149662440001
ACH-000255,-0.777972220748
ACH-000256,-0.550265172112
ACH-000257,-0.9431952075900001
ACH-000258,-0.879809125105
ACH-000259,-0.788934991335
ACH-000260,-0.9073428896950001
ACH-000261,-1.01615195775
ACH-000262,-0.729717249879
ACH-000263,-0.483975370517
ACH-000264,-1.6067374608000002
ACH-000265,-0.8909572114990001
ACH-000266,-0.9587748850799999
ACH-000272,-0.8345247226000001
ACH-000273,-0.8407815017300001
ACH-000274,-0.907471744235
ACH-000277,-0.6848027421089999
ACH-000278,-1.17749821056
ACH-000279,-1.04685516802
ACH-000280,-0.7519691065590001
ACH-000281,-1.0749446548700001
ACH-000288,-0.711265819394
ACH-000291,-0.747404289469
ACH-000293,-0.79102679302
ACH-000294,-0.915976976769
ACH-000295,-0.931798953134
ACH-000296,-0.882039495077
ACH-000302,-0.79781610588
ACH-000304,-0.9823971550020001
ACH-000307,-0.58459520899
ACH-000308,-0.7142738569339999
ACH-000310,-1.3498246636200002
ACH-000311,-0.7981472558589999
ACH-000312,-1.10319031361
ACH-000315,-0.456459057628
ACH-000316,-0.6831967113490001
ACH-000317,-0.861427105716
ACH-000318,-0.663994647871
ACH-000319,-1.21272406311
ACH-000320,-0.7538003568989999
ACH-000322,-0.690156793188
ACH-000323,-1.22536922691
ACH-000324,-0.844777667282
ACH-000329,-1.2001782235
ACH-000330,-0.900956232006
ACH-000331,-0.818998493875
ACH-000332,-0.8681489343629999
ACH-000334,-0.47296047337499997
ACH-000335,-0.954837869947
ACH-000336,-0.915832926103
ACH-000337,-0.7029256676629999
ACH-000339,-0.957408020525
ACH-000341,-1.1810035162399999
ACH-000348,-0.814955976388
ACH-000350,-0.608198924274
ACH-000352,-1.0480930417899998
ACH-000356,-0.9148992635969999
ACH-000361,-0.847236204766
ACH-000362,-0.8953645787569999
ACH-000363,-0.8661500539929999
ACH-000364,-0.935545429188
ACH-000365,-0.847656181856
ACH-000366,-0.6938001182610001
ACH-000368,-1.01046399956
ACH-000374,-0.7209180347490001
ACH-000375,-0.6826554140919999
ACH-000376,-0.849408258397
ACH-000381,-1.1891372750799998
ACH-000383,-0.36484170159900003
ACH-000387,-1.13609563302
ACH-000389,-1.09044049252
ACH-000390,-0.5473692246490001
ACH-000393,-1.13817164081
ACH-000395,-0.984126225739
ACH-000397,-1.24189906111
ACH-000401,-0.5098183514329999
ACH-000402,-0.906472693073
ACH-000403,-0.742709482748
ACH-000404,-0.213274115292
ACH-000406,-0.790716294721
ACH-000407,-1.0610348768200002
ACH-000408,-0.715120776808
ACH-000410,-1.21188047242
ACH-000411,-0.994318255807
ACH-000414,-0.7752921865100001
ACH-000415,-0.783904318589
ACH-000416,-0.6330884484520001
ACH-000420,-0.8139308326520001
ACH-000421,-0.848638592115
ACH-000424,-0.521056350991
ACH-000425,-0.667920939992
ACH-000426,-0.7929472458650001
ACH-000427,-0.834410697681
ACH-000433,-0.7925544148829999
ACH-000436,-0.948985804903
ACH-000444,-0.834826274945
