,PPP2R3A (5523)
ACH-000004,-0.0246253863418
ACH-000007,0.212291108781
ACH-000009,0.019279829436599998
ACH-000011,-0.00800813279012
ACH-000012,-0.0310643661148
ACH-000013,0.0284811930218
ACH-000014,-0.132272635537
ACH-000015,0.062055580286499996
ACH-000017,0.043968540142900005
ACH-000018,0.0774287474159
ACH-000019,0.03913148012480001
ACH-000021,0.013229295571299999
ACH-000022,0.094319364511
ACH-000025,-0.21690887194800001
ACH-000028,0.04298175058619999
ACH-000030,-0.09948616295119998
ACH-000035,-0.09692988446419999
ACH-000036,-0.173733871679
ACH-000037,0.189315104406
ACH-000039,-0.255414986268
ACH-000040,-0.07492417124039999
ACH-000041,-0.002707071524
ACH-000042,-0.012387424324100001
ACH-000045,0.022976020701200004
ACH-000047,0.0494107539668
ACH-000052,-0.041880846914800006
ACH-000053,-0.061475150514199994
ACH-000054,0.0843191042554
ACH-000055,-0.000281716214223
ACH-000060,-0.00013088571724899998
ACH-000067,0.0492171368654
ACH-000070,0.251538598652
ACH-000075,0.13162578373
ACH-000078,-0.00708838405446
ACH-000082,-0.09742354779689999
ACH-000085,0.073806452785
ACH-000086,-0.0335529391682
ACH-000087,0.0134985940259
ACH-000092,-0.0427553330376
ACH-000095,-0.0297638694917
ACH-000097,0.19266280338
ACH-000098,-0.0752319071004
ACH-000099,0.0506882848097
ACH-000108,0.0989811295386
ACH-000113,0.08029081155869999
ACH-000115,0.113812291941
ACH-000116,0.021148336756500002
ACH-000118,-0.106014432509
ACH-000120,-0.0069873210184599995
ACH-000123,-0.0734994287351
ACH-000127,-0.141307308214
ACH-000128,-0.14380429571699999
ACH-000132,-0.0017926285087600002
ACH-000133,0.04562801018630001
ACH-000137,0.011369499710899999
ACH-000138,0.0405640898201
ACH-000142,-0.133763816022
ACH-000143,0.0147843997414
ACH-000146,-0.00175847235068
ACH-000148,0.0870872926932
ACH-000150,-0.0650606027385
ACH-000152,-0.0572090106573
ACH-000153,0.20928149370299998
ACH-000159,0.0380797525105
ACH-000160,-0.035690716545500004
ACH-000163,-0.101676291484
ACH-000167,-0.0406531596575
ACH-000168,-0.0496923261001
ACH-000169,-0.0386790696861
ACH-000178,0.045313137782300006
ACH-000182,-0.0412700185731
ACH-000183,-0.141937906612
ACH-000188,-0.038661760887000005
ACH-000189,-0.0850780798398
ACH-000190,0.109496457161
ACH-000198,-0.0319146759315
ACH-000204,0.110094887283
ACH-000206,-0.100525567119
ACH-000207,0.023546723340000002
ACH-000211,-0.0258259408531
ACH-000215,-0.015897307423799998
ACH-000221,0.140021767976
ACH-000222,0.17702627393800002
ACH-000223,-0.0632115570705
ACH-000226,-0.024985252218999998
ACH-000227,-0.033019750044800004
ACH-000228,0.134576384965
ACH-000231,-0.12917822326199999
ACH-000232,-0.05998047157169999
ACH-000233,0.0343611850311
ACH-000234,-0.008842092431049999
ACH-000235,0.09829718944980001
ACH-000237,0.0184938947226
ACH-000238,0.090474083239
ACH-000243,-0.0250260491486
ACH-000244,0.0470298526659
ACH-000246,0.11743947369100001
ACH-000248,0.101282662362
ACH-000250,-0.0298673281328
ACH-000251,-0.06930383530129999
ACH-000253,-0.0031802790585799996
ACH-000255,0.051396286741399996
ACH-000256,0.154255794905
ACH-000257,0.114136106949
ACH-000258,0.0395981689037
ACH-000259,0.0378363864177
ACH-000260,-0.054874657288800005
ACH-000261,0.00702396415973
ACH-000262,-0.21477697549199998
ACH-000263,-0.10072465819599999
ACH-000264,-0.0208706518209
ACH-000265,-0.0492481275175
ACH-000266,-0.020922607919700003
ACH-000272,0.0369920450561
ACH-000273,-0.035260072658800004
ACH-000274,-0.0796476080493
ACH-000277,0.121680368744
ACH-000278,0.0759409443994
ACH-000279,-0.09903560492039999
ACH-000280,-0.318014418428
ACH-000281,0.144664433026
ACH-000288,-0.00661997085772
ACH-000291,0.0667847917695
ACH-000293,0.0399662512731
ACH-000294,0.09788510301830002
ACH-000295,-0.0314366645375
ACH-000296,-0.020567999107
ACH-000302,-0.11360186807700001
ACH-000304,0.21704078330899998
ACH-000307,0.10367145109999999
ACH-000308,0.021877571773999998
ACH-000310,-0.138190420063
ACH-000311,0.147669120652
ACH-000312,0.10586944204
ACH-000315,0.0822277545118
ACH-000316,0.0779679940532
ACH-000317,0.0774730876798
ACH-000318,0.0696783338243
ACH-000319,0.026456551808599998
ACH-000320,0.0613143206726
ACH-000322,-0.0790033992419
ACH-000323,-0.010989146471200001
ACH-000324,-0.0387862650938
ACH-000329,-0.025582429826099998
ACH-000330,0.0564582138735
ACH-000331,0.0943066202832
ACH-000332,0.04570391294080001
