,ESYT1 (23344)
ACH-000004,-0.274336541109
ACH-000007,-0.234996574184
ACH-000009,-0.214448569982
ACH-000011,-0.166331290004
ACH-000012,-0.23147518125
ACH-000013,-0.10514402529
ACH-000014,-0.0122443553231
ACH-000015,-0.189668833986
ACH-000017,0.07208033652939999
ACH-000018,-0.21314668580200002
ACH-000019,-0.524415699902
ACH-000021,0.0215344610368
ACH-000022,0.024903584841499998
ACH-000025,-0.0837896184113
ACH-000028,-0.290472782394
ACH-000030,-0.24519112159499998
ACH-000035,-0.293054401914
ACH-000036,-0.0760715132506
ACH-000037,-0.369828055474
ACH-000039,-0.044061462325
ACH-000040,-0.24540973130899998
ACH-000041,-0.43350378272699996
ACH-000042,-0.0407936356143
ACH-000045,-0.265730532686
ACH-000047,-0.13443044845000002
ACH-000052,-0.192179584758
ACH-000053,-0.18856989896499998
ACH-000054,-0.0600839241912
ACH-000055,-0.0922087574092
ACH-000060,-0.11393501620799999
ACH-000067,-0.245811984214
ACH-000070,-0.246503436078
ACH-000075,-0.41190425112400003
ACH-000078,-0.170342479685
ACH-000082,-0.213663581344
ACH-000085,-0.358190076117
ACH-000086,-0.322499274314
ACH-000087,-0.020308233635
ACH-000092,-0.154492052916
ACH-000095,-0.08720793848689999
ACH-000097,-0.0942926011747
ACH-000098,-0.082090928173
ACH-000099,-0.0327288888055
ACH-000108,0.000388532420192
ACH-000113,0.0707763387594
ACH-000115,-0.175659791323
ACH-000116,-0.19213431186500002
ACH-000118,-0.361065795917
ACH-000120,0.10832427585000001
ACH-000123,-0.20445088948399998
ACH-000127,-0.130208184383
ACH-000128,-0.190915843145
ACH-000132,-0.0965420002854
ACH-000133,-0.386195052603
ACH-000137,-0.41965681836900004
ACH-000138,-0.183910859218
ACH-000142,-0.0258728606653
ACH-000143,-0.0950359321995
ACH-000146,-0.275859611898
ACH-000148,-0.306314905968
ACH-000150,-0.138194663762
ACH-000152,-0.17473267135899997
ACH-000153,-0.237514441502
ACH-000159,-0.0175633449252
ACH-000160,-0.32033891197700004
ACH-000163,-0.21211758195500002
ACH-000167,-0.286086436841
ACH-000168,-0.332605853449
ACH-000169,-0.22169547230999997
ACH-000178,-0.144888799393
ACH-000182,-0.0753474215181
ACH-000183,-0.172243155438
ACH-000188,0.038819197818699996
ACH-000189,-0.215691079538
ACH-000190,0.208729457792
ACH-000198,-0.0709415892539
ACH-000204,0.196292041695
ACH-000206,-0.0778171230107
ACH-000207,-0.05540178566000001
ACH-000211,-0.19234046091499998
ACH-000215,-0.136143746695
ACH-000221,-0.0175363899733
ACH-000222,-0.0980769839122
ACH-000223,-0.18881610599100002
ACH-000226,-0.104162228251
ACH-000227,-0.0575067557778
ACH-000228,-0.305053672423
ACH-000231,-0.20234865822200002
ACH-000232,-0.0513635061601
ACH-000233,-0.12873403809800002
ACH-000234,-0.179232497608
ACH-000235,-0.0875281665718
ACH-000237,-0.119021883541
ACH-000238,-0.287369856516
ACH-000243,-0.120267250398
ACH-000244,-0.323571962997
ACH-000246,-0.079570999703
ACH-000248,-0.384289861681
ACH-000250,-0.155539080578
ACH-000251,-0.42351589347699997
ACH-000253,-0.055448568669600004
ACH-000255,-0.23708884953099998
ACH-000256,-0.302599860281
ACH-000257,0.077840680697
ACH-000258,0.0791186261567
ACH-000259,-0.11846877088199999
ACH-000260,-0.133196050421
ACH-000261,-0.24027959872
ACH-000262,0.0240397002402
ACH-000263,-0.272107660113
ACH-000264,-0.173789546998
ACH-000265,-0.08951385767539999
ACH-000266,-0.135936376614
ACH-000272,0.06197852948419999
ACH-000273,-0.141598921708
ACH-000274,-0.249129770186
ACH-000277,-0.11562775846899999
ACH-000278,-0.221061614299
ACH-000279,-0.126069233466
ACH-000280,-0.09259752961860002
ACH-000281,-0.311550567482
ACH-000288,-0.224061264472
ACH-000291,-0.20938426025499998
ACH-000293,-0.10869647135
ACH-000294,0.015290821051
ACH-000295,-0.26949067922
ACH-000296,-0.10151394296
ACH-000302,-0.16888843687
ACH-000304,-0.22205610492400002
ACH-000307,-0.11090179670900001
ACH-000308,-0.215846277745
ACH-000310,0.024041143657400003
ACH-000311,-0.0266329684551
ACH-000312,-0.08542604605210001
ACH-000315,-0.247802913002
ACH-000316,0.0465066874307
ACH-000317,-0.0883892211321
ACH-000318,-0.022216049921
ACH-000319,-0.354198974889
ACH-000320,-0.0512747803629
ACH-000322,-0.220994347504
ACH-000323,0.00226439768186
ACH-000324,-0.21458950469799998
ACH-000329,-0.050743400169199995
ACH-000330,-0.285396758627
ACH-000331,-0.108510069354
ACH-000332,-0.0396994840281
ACH-000334,-0.118181364992
ACH-000335,-0.178940827555
ACH-000336,-0.333077646126
ACH-000337,-0.16832812784
ACH-000339,-0.134374218421
ACH-000341,0.0102901652294
ACH-000348,-0.174918479969
ACH-000350,-0.0899964649546
ACH-000352,-0.0856388318691
ACH-000356,-0.145611508158
ACH-000361,-0.35406504892800006
ACH-000362,-0.260089414003
ACH-000363,-0.105205167973
ACH-000364,-0.18053693053800002
ACH-000365,-0.271462105271
ACH-000366,-0.13241481215700002
ACH-000368,-0.21711644728
ACH-000374,-0.138350283914
ACH-000375,0.0857714091001
ACH-000376,-0.0717001345333
ACH-000381,-0.0434694819662
ACH-000383,-0.21804135337900002
ACH-000387,-0.12192628547800001
ACH-000389,-0.038078991122499996
ACH-000390,0.038452733132599996
ACH-000393,-0.0984407086913
ACH-000395,-0.32606536156800003
ACH-000397,-0.0580173061735
ACH-000401,-0.018992270021400002
ACH-000402,-0.451371952791
ACH-000403,-0.0758775428861
ACH-000404,-0.171421212872
ACH-000406,-0.108617086464
ACH-000407,-0.0965613911032
ACH-000408,-0.24642740009199998
ACH-000410,-0.246345441423
ACH-000411,-0.18066494539500003
ACH-000414,0.00120629997391
ACH-000415,-0.0628493875239
ACH-000416,-0.299691226391
ACH-000420,-0.177467639835
ACH-000421,-0.108831449984
ACH-000424,-0.08847544423730001
ACH-000425,-0.0517420643932
ACH-000426,-0.289518135719
ACH-000427,-0.207705742571
ACH-000433,0.219293511734
ACH-000436,-0.164715581321
ACH-000444,-0.09474753839939999
ACH-000445,-0.187656542416
ACH-000448,-0.25334659140500004
ACH-000450,-0.0565164613243
ACH-000452,-0.253953760249
ACH-000454,-0.19077545700399998
ACH-000458,-0.17433013342300002
ACH-000459,0.050369003785499994
ACH-000460,-0.18715522074700003
ACH-000461,-0.24776537249299999
ACH-000463,-0.131996645471
ACH-000464,-0.21259891177
ACH-000466,-0.110291799466
ACH-000467,-0.251497700163
ACH-000468,-0.397583078695
ACH-000469,0.09049227755030001
ACH-000470,0.0389219198142
ACH-000471,-0.030118515099299997
ACH-000472,-0.273021523986
ACH-000473,-0.18080728094
ACH-000475,-0.160241816601
ACH-000476,-0.183171932933
ACH-000477,-0.0073918733548
ACH-000480,-0.135818203673
ACH-000481,-0.21094159548099997
ACH-000483,-0.0216312629324
ACH-000484,-0.409923574766
ACH-000485,-0.0145310611781
ACH-000486,-0.152129512907
ACH-000487,-0.11809700592599999
ACH-000488,-0.205137877334
ACH-000490,-0.073649331118
ACH-000491,-0.0271590725371
ACH-000495,-0.121718212817
ACH-000496,-0.0888865306493
ACH-000499,-0.11986897364299999
ACH-000500,0.155032884447
ACH-000502,-0.157798241668
ACH-000503,0.021923433009
ACH-000505,-0.09174646318499999
ACH-000507,-0.20136075215399998
