,LPHN1 (22859)
ACH-000004,-0.479326077876
ACH-000007,0.227312550768
ACH-000009,0.222588524748
ACH-000011,0.397549212856
ACH-000012,0.0315875226368
ACH-000013,0.101662843126
ACH-000014,0.278699221846
ACH-000015,0.105995716756
ACH-000017,0.06137916587730001
ACH-000018,0.154963543544
ACH-000019,0.249513914105
ACH-000021,0.136051613095
ACH-000022,-0.0063173570666
ACH-000025,0.151813043275
ACH-000028,0.0032199456283200003
ACH-000030,0.13545891867100002
ACH-000035,0.042028723505400004
ACH-000036,0.158427527415
ACH-000037,0.323270662627
ACH-000039,0.315582278079
ACH-000040,-0.0977403888345
ACH-000041,0.179038546017
ACH-000042,0.080384300489
ACH-000045,0.0805169130299
ACH-000047,0.263632764237
ACH-000052,0.180544490462
ACH-000053,0.17261439063499998
ACH-000054,0.06334873155590001
ACH-000055,-0.0746462339873
ACH-000060,0.0564440785115
ACH-000067,-0.142876293389
ACH-000070,-0.10757151890799999
ACH-000075,0.0945123291911
ACH-000078,0.161526923881
ACH-000082,0.289805214547
ACH-000085,0.0941424964732
ACH-000086,0.0187769572498
ACH-000087,0.339856936477
ACH-000092,0.035880508930699995
ACH-000095,0.110435147931
ACH-000097,0.216680858549
ACH-000098,0.05363656653030001
ACH-000099,0.262613120539
ACH-000108,0.22077360235100002
ACH-000113,0.175285860506
ACH-000115,0.042424668649699994
ACH-000116,0.13838115689799999
ACH-000118,0.23713603510899997
ACH-000120,0.196541201125
ACH-000123,0.117315108439
ACH-000127,0.00398580116371
ACH-000128,-0.0243474882917
ACH-000132,0.180596283981
ACH-000133,0.198694866419
ACH-000137,-0.0398475665388
ACH-000138,0.0169130469263
ACH-000142,0.0654249930156
ACH-000143,0.186523954179
ACH-000146,0.0467631737694
ACH-000148,0.265581474901
ACH-000150,-0.113099477473
ACH-000152,0.206309963255
ACH-000153,0.119622671724
ACH-000159,0.14780593168700001
ACH-000160,-0.040430556308800006
ACH-000163,-0.073656017127
ACH-000167,0.147640041749
ACH-000168,0.0334783515802
ACH-000169,0.184359761879
ACH-000178,0.216157148004
ACH-000182,0.113357804408
ACH-000183,0.12927026512
ACH-000188,-0.11928514067700001
ACH-000189,0.326505832462
ACH-000190,0.18131987665600002
ACH-000198,0.142769364385
ACH-000204,-0.0661997885934
ACH-000206,0.22805463171
ACH-000207,-0.168679740361
ACH-000211,0.053815644620400005
ACH-000215,0.157696360009
ACH-000221,0.140966138727
ACH-000222,0.187635869302
