,DNAAF2 (55172)
ACH-000004,-0.0325648032194
ACH-000007,-0.0784509738893
ACH-000009,-0.272046561092
ACH-000011,-0.339551397855
ACH-000012,-0.0676894373535
ACH-000013,-0.20683104425999999
ACH-000014,-0.200584013094
ACH-000015,0.047937588139
ACH-000017,-0.024034436362999997
ACH-000018,-0.012580663045099999
ACH-000019,0.0564026756486
ACH-000021,0.015191246791600001
ACH-000022,-0.183419049971
ACH-000025,-0.113641972801
ACH-000028,0.015636909432600002
ACH-000030,-0.198711668494
ACH-000035,-0.0339696735188
ACH-000036,-0.09204433215510001
ACH-000037,0.05973768607819999
ACH-000039,0.0186162313777
ACH-000040,-0.165479319941
ACH-000041,-0.0889561959746
ACH-000042,-0.04274622213359999
ACH-000045,-0.16841506111
ACH-000047,-0.0713265074138
ACH-000052,-0.0665705439831
ACH-000053,-0.202857974911
ACH-000054,-0.020939225615599997
ACH-000055,-0.170200989985
ACH-000060,-0.36035083497000003
ACH-000067,-0.260505481261
ACH-000070,-0.0772352933437
ACH-000075,-0.013248746953700001
ACH-000078,0.109119336456
ACH-000082,-0.340741917455
ACH-000085,-0.052997497675800004
ACH-000086,-0.145132078879
ACH-000087,-0.36379173701300005
ACH-000092,-0.163594968634
ACH-000095,-0.25168413484700003
ACH-000097,-0.136380629901
ACH-000098,0.03020801521
ACH-000099,-0.044536428320500004
ACH-000108,-0.0414891282613
ACH-000113,-0.22096500089
ACH-000115,-0.158942239605
ACH-000116,-0.209863634947
ACH-000118,-0.239945415341
ACH-000120,-0.0931608638504
ACH-000123,-0.19915611043200002
ACH-000127,-0.07039943395210001
ACH-000128,-0.118046451698
ACH-000132,0.0151473866204
ACH-000133,0.023761151664100002
ACH-000137,-0.145710479568
ACH-000138,-0.20319858056899998
ACH-000142,0.041000498665900005
ACH-000143,-0.137480890233
ACH-000146,-0.18942494890099998
ACH-000148,-0.286102554852
ACH-000150,0.041745098844199996
ACH-000152,-0.127968288561
ACH-000153,-0.672842597916
ACH-000159,-0.25310351295
ACH-000160,-0.33424166490400004
ACH-000163,-0.148886625597
ACH-000167,-0.0953002804917
ACH-000168,-0.179660815576
ACH-000169,-0.14450505494000002
ACH-000178,-0.050432260382
ACH-000182,-0.169014547369
ACH-000183,-0.045052938113
ACH-000188,-0.0924612822562
ACH-000189,0.0194735070113
ACH-000190,-0.311866124245
ACH-000198,-0.139129796886
ACH-000204,0.012328725468600001
ACH-000206,-0.21721582485500002
ACH-000207,0.0019103431054899999
ACH-000211,-0.0397313841449
ACH-000215,-0.0735882386574
ACH-000221,-0.0915400425963
ACH-000222,-0.0372310518609
ACH-000223,-0.026613079105700002
ACH-000226,-0.30546525502099997
ACH-000227,-0.222443243226
ACH-000228,-0.06229656794
ACH-000231,-0.161919004642
ACH-000232,-0.13176988622000002
ACH-000233,-0.25037328865200004
ACH-000234,-0.22922827402899998
ACH-000235,-0.0970956411533
ACH-000237,0.182980389359
ACH-000238,-0.215745455902
ACH-000243,-0.281499498231
ACH-000244,-0.005250737806189999
ACH-000246,-0.3053703537
ACH-000248,-0.123789718829
ACH-000250,-0.025782125295000003
ACH-000251,-0.352946589653
ACH-000253,-0.130461338675
ACH-000255,-0.0431238496021
ACH-000256,-0.167933135583
ACH-000257,-0.359846927719
ACH-000258,-0.33285809844
ACH-000259,-0.04912620946809999
ACH-000260,0.0067888276213299995
ACH-000261,-0.174076119745
ACH-000262,-0.130971372673
ACH-000263,-0.224651555988
ACH-000264,-0.124936814663
ACH-000265,-0.102277151293
ACH-000266,-0.135308425176
ACH-000272,-0.09910134767619999
ACH-000273,-0.0309251061021
ACH-000274,-0.020114868130299998
ACH-000277,-0.014777466152600002
ACH-000278,-0.106594861754
ACH-000279,-0.12718825703199999
ACH-000280,-0.200494960469
ACH-000281,-0.040665471872
ACH-000288,0.033080632615700004
ACH-000291,-0.035598497864
ACH-000293,-0.204849565376
ACH-000294,-0.167291731513
ACH-000295,-0.252632522357
ACH-000296,-0.44863543677900003
ACH-000302,0.0900151636905
ACH-000304,-0.022039424857400004
ACH-000307,-0.0560082233711
ACH-000308,-0.0478258086675
ACH-000310,-0.34326054037500003
ACH-000311,-0.255905246043
ACH-000312,0.00466363655189
ACH-000315,-0.128313490191
ACH-000316,0.0724169571777
ACH-000317,-0.22372692875300002
ACH-000318,-0.163229534156
ACH-000319,-0.0129076312508
ACH-000320,-0.25258678812
