,GABPA (2551)
ACH-000004,-0.346963966122
ACH-000007,-0.92864391119
ACH-000009,-0.595760197865
ACH-000011,-0.600200593413
ACH-000012,-0.7038150112880001
ACH-000013,-0.5620171702260001
ACH-000014,-0.140189138271
ACH-000015,-0.40218234364600003
ACH-000017,-0.39978202615900005
ACH-000018,-0.37807192999300004
ACH-000019,-0.678756275701
ACH-000021,-0.42944507764600004
ACH-000022,-0.546056978154
ACH-000025,-0.562812570748
ACH-000028,-0.653337396134
ACH-000030,-0.614940108548
ACH-000035,-0.7760037918070001
ACH-000036,-0.701984552476
ACH-000037,-0.585176761434
ACH-000039,-0.704086556813
ACH-000040,-0.670969789412
ACH-000041,-0.226767425734
ACH-000042,-0.7421631772
ACH-000045,-0.561203278578
ACH-000047,-0.774143706622
ACH-000052,-0.618066909504
ACH-000053,-0.718134730442
ACH-000054,-0.791306396537
ACH-000055,-0.6880542247
ACH-000060,-0.5963865021220001
ACH-000067,-0.6741566244059999
ACH-000070,-0.540316995074
ACH-000075,-0.591871831314
ACH-000078,-0.8295620973800001
ACH-000082,-1.04938312865
ACH-000085,-0.6399463910350001
ACH-000086,-0.728098276585
ACH-000087,-0.417053814436
ACH-000092,-0.560865113384
ACH-000095,-0.576327631847
ACH-000097,-0.864047253719
ACH-000098,-0.8080555357260001
ACH-000099,-0.567998643946
ACH-000108,-0.36279025324600006
ACH-000113,-0.34071235366499997
ACH-000115,-0.04967731585369999
ACH-000116,-0.68624916592
ACH-000118,-0.516332967084
ACH-000120,-0.270781064365
ACH-000123,-0.562408495158
ACH-000127,-0.400579938606
ACH-000128,-0.662111079383
ACH-000132,-0.445126980356
ACH-000133,-0.585378167401
ACH-000137,-0.572823830937
ACH-000138,-0.288695426206
ACH-000142,-0.62152145455
ACH-000143,-0.7436634887119999
ACH-000146,-0.29043808644200003
ACH-000148,-0.356120683929
ACH-000150,-0.8498807106649999
ACH-000152,-0.6857221302850001
ACH-000153,-0.793742525156
ACH-000159,-0.7497680886939999
ACH-000160,-0.576012528899
ACH-000163,-0.421538286282
ACH-000167,0.044625534846
ACH-000168,-0.450116897522
ACH-000169,-0.437880153702
ACH-000178,-0.7319388977410001
ACH-000182,-0.640534176455
ACH-000183,-0.56487546655
ACH-000188,-1.02567362081
ACH-000189,-0.507838988341
ACH-000190,-1.0654208997799999
ACH-000198,-0.499180170788
ACH-000204,-0.690227591147
ACH-000206,-0.378916005969
ACH-000207,-0.73098677375
ACH-000211,-0.33962860253399996
ACH-000215,-0.478372019383
ACH-000221,-0.721825196319
ACH-000222,-0.521902248671
ACH-000223,-0.528066819924
ACH-000226,-0.712377313651
ACH-000227,-1.00111977468
ACH-000228,-0.43934134389300006
ACH-000231,-0.637230676159
ACH-000232,-0.540305912822
ACH-000233,-0.501217189827
ACH-000234,-0.424136457553
ACH-000235,-0.484412851435
ACH-000237,-0.617345403183
ACH-000238,-0.434590402542
ACH-000243,-0.298716932766
ACH-000244,-0.815911495488
ACH-000246,-0.733543514521
ACH-000248,-0.589621397652
ACH-000250,-0.9484219209389999
ACH-000251,-0.405911129917
ACH-000253,-0.43373779146799996
ACH-000255,-0.7727991040809999
ACH-000256,-0.31292731507300003
ACH-000257,-1.00851279579
ACH-000258,-0.6636155201439999
ACH-000259,-0.541307702978
ACH-000260,-0.885101150544
ACH-000261,-0.646601791352
ACH-000262,-0.59640176258
ACH-000263,-0.285855998063
ACH-000264,-0.906597341548
ACH-000265,-0.406335206265
ACH-000266,-0.616531784375
ACH-000272,-0.5686715592189999
ACH-000273,-0.518057919464
ACH-000274,-0.504176743445
ACH-000277,-0.407073948658
ACH-000278,-0.593362930488
ACH-000279,-0.454335340727
ACH-000280,-0.324187374834
ACH-000281,-0.691083488607
ACH-000288,-0.502835422536
ACH-000291,-0.60647590172
ACH-000293,-0.29202441248100003
ACH-000294,-0.537319810501
ACH-000295,-0.301598758556
ACH-000296,-0.901648852376
ACH-000302,-0.657364815839
ACH-000304,-0.682998532088
ACH-000307,-0.489022119589
ACH-000308,-0.5470431918190001
ACH-000310,-0.693210616681
ACH-000311,-0.701219992014
ACH-000312,-0.672820729497
ACH-000315,-0.274187767086
ACH-000316,-0.624132481161
ACH-000317,-0.605428667911
