,PCNP (57092)
ACH-000004,-0.296249796999
ACH-000007,-0.35265455463699996
ACH-000009,-0.493276318735
ACH-000011,-0.240838138704
ACH-000012,-0.267820156982
ACH-000013,-0.15791960039300001
ACH-000014,-0.520602247178
ACH-000015,-0.337193587952
ACH-000017,-0.129246611503
ACH-000018,-0.457231027918
ACH-000019,-0.103968496984
ACH-000021,-0.615286299355
ACH-000022,-0.0713646158355
ACH-000025,-0.484642225842
ACH-000028,-0.452401088587
ACH-000030,-0.18691626760000002
ACH-000035,-0.406757255391
ACH-000036,-0.3707712869
ACH-000037,-0.445480547036
ACH-000039,-0.303716159093
ACH-000040,-0.385931884881
ACH-000041,-0.501991981685
ACH-000042,-0.316362037863
ACH-000045,-0.439414087099
ACH-000047,-0.19787711254
ACH-000052,-0.349943510453
ACH-000053,-0.0819295763953
ACH-000054,-0.221657363921
ACH-000055,-0.326727403929
ACH-000060,-0.35484341888899995
ACH-000067,-0.436523508772
ACH-000070,-0.317094809336
ACH-000075,-0.47961522756999997
ACH-000078,-0.25204722188
ACH-000082,-0.294010340826
ACH-000085,-0.31163343675099997
ACH-000086,-0.486720720173
ACH-000087,-0.26863400533799997
ACH-000092,-0.439272558133
ACH-000095,-0.394518628328
ACH-000097,-0.272162280652
ACH-000098,-0.136539800506
ACH-000099,-0.356646950317
ACH-000108,-0.280861711251
ACH-000113,-0.399693680572
ACH-000115,-0.348375346967
ACH-000116,-0.251506591982
ACH-000118,-0.342773153252
ACH-000120,-0.45592661541
ACH-000123,-0.479567650458
ACH-000127,-0.21564494760699998
ACH-000128,-0.44161916685
ACH-000132,-0.11738217337500001
ACH-000133,-0.330998735817
ACH-000137,-0.364149740232
ACH-000138,-0.28134650243500003
ACH-000142,-0.358979196529
ACH-000143,-0.344349658688
ACH-000146,-0.235383714422
ACH-000148,-0.16963216128800002
ACH-000150,-0.0512705435723
ACH-000152,-0.4622252531
ACH-000153,-0.46606980351300004
ACH-000159,-0.36836769350500004
ACH-000160,-0.31011308310400004
ACH-000163,-0.193675937216
ACH-000167,-0.09691197195180001
ACH-000168,-0.286604958518
ACH-000169,-0.299875236239
ACH-000178,-0.29674770093499997
ACH-000182,-0.31387955023
ACH-000183,-0.367494300484
ACH-000188,-0.23560163735300002
ACH-000189,-0.349848262742
ACH-000190,-0.366561318247
ACH-000198,-0.44611045979999997
ACH-000204,-0.468317634916
ACH-000206,-0.192868611837
ACH-000207,-0.247152114686
ACH-000211,-0.50109820169
ACH-000215,-0.36627471796300004
ACH-000221,-0.497186030644
ACH-000222,-0.525010404032
ACH-000223,-0.477171233214
ACH-000226,-0.487331388001
ACH-000227,-0.217458099342
ACH-000228,-0.47872569906
ACH-000231,-0.37651337120300005
ACH-000232,-0.458798466249
ACH-000233,-0.249990672137
ACH-000234,-0.273889987802
ACH-000235,-0.463895887863
ACH-000237,-0.148120402708
ACH-000238,-0.295688845056
ACH-000243,-0.322781640676
ACH-000244,-0.399638756109
ACH-000246,-0.337846354833
ACH-000248,-0.483514266036
ACH-000250,-0.259867729518
ACH-000251,-0.38682369215499995
ACH-000253,-0.202851465451
ACH-000255,-0.330063889976
ACH-000256,-0.08524161316039999
ACH-000257,-0.31480117196699997
ACH-000258,-0.131750201521
ACH-000259,-0.36015089330600003
ACH-000260,-0.30767125392
ACH-000261,-0.307526633941
ACH-000262,-0.4883093418
ACH-000263,-0.393773682102
ACH-000264,-0.446535996769
ACH-000265,-0.346781496422
ACH-000266,-0.216791739766
