,SCRT1 (83482)
ACH-000004,-0.408360063537
ACH-000007,-0.348225510891
ACH-000009,-0.22864378446999997
ACH-000011,-0.07533569305530001
ACH-000012,-0.30131958253
ACH-000013,-0.25825433763
ACH-000014,-0.34669161469800003
ACH-000015,-0.17668911463300002
ACH-000017,-0.602241903293
ACH-000018,-0.13140908183299999
ACH-000019,-0.0986757937049
ACH-000021,-0.414759302076
ACH-000022,-0.33007695940000004
ACH-000025,-0.313803692355
ACH-000028,-0.216500217701
ACH-000030,-0.26639294573600003
ACH-000035,-0.33335284417399996
ACH-000036,-0.460082065067
ACH-000037,-0.48085574272799997
ACH-000039,-0.546904407911
ACH-000040,-0.534359916012
ACH-000041,-0.44897161741
ACH-000042,-0.347633093685
ACH-000045,-0.20482479626400002
ACH-000047,-0.33627983833700004
ACH-000052,-0.45098132282
ACH-000053,-0.336164077664
ACH-000054,-0.328775324486
ACH-000055,-0.563051713151
ACH-000060,-0.29023200840999996
ACH-000067,-0.404948552794
ACH-000070,-0.20453208267200002
ACH-000075,-0.335392281912
ACH-000078,-0.42771687288599997
ACH-000082,-0.462139952363
ACH-000085,-0.182479229974
ACH-000086,-0.219144841838
ACH-000087,0.0112806630141
ACH-000092,-0.312828193935
ACH-000095,-0.23053252708299998
ACH-000097,-0.36635099643200003
ACH-000098,-0.21043846327100002
ACH-000099,-0.48696165478
ACH-000108,-0.717280814498
ACH-000113,-0.363614194686
ACH-000115,-0.427322597887
ACH-000116,-0.38646144633699997
ACH-000118,-0.48365300979599996
ACH-000120,-0.496746996787
ACH-000123,-0.246470841219
ACH-000127,-0.295529792961
ACH-000128,-0.169342835651
ACH-000132,-0.486269193141
ACH-000133,-0.263762631162
ACH-000137,-0.438792390559
ACH-000138,-0.485758820428
ACH-000142,-0.409674806423
ACH-000143,-0.284680312539
ACH-000146,-0.284979088185
ACH-000148,-0.19170141085099998
ACH-000150,-0.707725753843
ACH-000152,-0.6975960006290001
ACH-000153,0.030518444021799998
ACH-000159,-0.47616406552100005
ACH-000160,-0.571947656663
ACH-000163,-0.151231146625
ACH-000167,-0.11549445184599999
ACH-000168,-0.307373190147
ACH-000169,-0.0814416049119
ACH-000178,-0.424927400266
ACH-000182,-0.316127634986
ACH-000183,-0.16202291677
ACH-000188,-0.41115587308300006
ACH-000189,0.012753959709299998
ACH-000190,-0.248151476723
ACH-000198,-0.188275620481
ACH-000204,-0.49068467016
ACH-000206,-0.295174852947
ACH-000207,-0.215916080236
ACH-000211,-0.44305009275300006
ACH-000215,-0.289421303068
ACH-000221,-0.285881031136
ACH-000222,-0.7822501639470001
ACH-000223,-0.32980479988
ACH-000226,-0.475621719652
ACH-000227,-0.207198992406
ACH-000228,-0.290716554657
ACH-000231,-0.539170852334
ACH-000232,-0.34702887985299996
ACH-000233,-0.28974634592500004
ACH-000234,-0.39252229793399995
ACH-000235,-0.395240036967
ACH-000237,-0.607625190899
ACH-000238,-0.36042168846100003
ACH-000243,-0.343841398629
ACH-000244,-0.171084161435
ACH-000246,-0.39307255184199996
ACH-000248,-0.35111289892399994
ACH-000250,-0.52032407416
ACH-000251,-0.108038698644
ACH-000253,-0.536603803707
ACH-000255,-0.0894938321967
ACH-000256,-0.316009934447
ACH-000257,-0.5281879666170001
ACH-000258,-0.677663219143
ACH-000259,-0.560145643779
ACH-000260,-0.38832936324600004
ACH-000261,-0.352909274428
ACH-000262,-0.080553603866
ACH-000263,-0.153526851978
ACH-000264,-0.352695587345
ACH-000265,-0.441936270211
ACH-000266,-0.531116066796
ACH-000272,-0.286487310705
ACH-000273,-0.283226422885
ACH-000274,-0.491209500563
ACH-000277,-0.522783968909
ACH-000278,-0.424061019167
ACH-000279,-0.34310977534299997
ACH-000280,-0.854824753993
ACH-000281,-0.453990437826
ACH-000288,-0.286615799056
ACH-000291,-0.4362365921
ACH-000293,-0.29156138483399996
ACH-000294,-0.145192432392
ACH-000295,-0.36785535368600003
ACH-000296,-0.23038030829300002
ACH-000302,-0.37230462391999997
ACH-000304,-0.203429599764
ACH-000307,-0.32529276249
ACH-000308,-0.4366446266100001
ACH-000310,-0.719072681359
ACH-000311,-0.6734410871430001
ACH-000312,-0.596551825031
ACH-000315,-0.291801765411
ACH-000316,-0.440627543293
ACH-000317,-0.279913485071
ACH-000318,-0.43948129346299997
ACH-000319,-0.490925490263
ACH-000320,-0.858343477619
ACH-000322,-0.421295601588
ACH-000323,-0.457622154402
ACH-000324,-0.38831838628700005
ACH-000329,-0.480308169952
ACH-000330,-0.30162410665999995
ACH-000331,-0.403193773911
ACH-000332,-0.44500149085900004
ACH-000334,-0.37754721889
ACH-000335,-0.562397537403
ACH-000336,-0.186872190691
ACH-000337,-0.296818954778
ACH-000339,-0.39660629928
ACH-000341,-0.6012664728239999
ACH-000348,-0.176394400756
ACH-000350,-0.39983715819700005
ACH-000352,-0.37892764367299997
ACH-000356,-0.262760320668
ACH-000361,-0.150748141491
ACH-000362,-0.365005520116
ACH-000363,-0.5963594726479999
ACH-000364,-0.37078455031999996
ACH-000365,-0.422987190617
ACH-000366,-0.22611170626600002
ACH-000368,-0.530603670936
ACH-000374,-0.42631526760300004
ACH-000375,-0.18360194052
ACH-000376,-0.14787393576
ACH-000381,-0.24948310770100002
ACH-000383,-0.378756255304
ACH-000387,-0.194370334073
ACH-000389,-0.331744110377
ACH-000390,-0.468428627984
ACH-000393,-0.393015835274
ACH-000395,-0.858990167131
ACH-000397,-0.474829243342
ACH-000401,-0.646661654304
ACH-000402,0.0605004591763
ACH-000403,-0.549515051304
ACH-000404,-0.401704643172
ACH-000406,-0.386358222956
ACH-000407,-0.420898090302
ACH-000408,-0.392652803685
ACH-000410,-0.386829855942
ACH-000411,-0.532609519034
ACH-000414,-0.48905116160400003
ACH-000415,-0.32943755835099997
ACH-000416,-0.39865977535400005
