,FTSJ3 (117246)
ACH-000004,-0.7847464216660001
ACH-000007,-0.8223890005519999
ACH-000009,-0.916592495027
ACH-000011,-0.8729240829289999
ACH-000012,-0.767234650291
ACH-000013,-0.44768789846199997
ACH-000014,-0.40662905772
ACH-000015,-0.578669057224
ACH-000017,-0.590533151653
ACH-000018,-0.709474308279
ACH-000019,-0.8145112379039999
ACH-000021,-0.47996517365900004
ACH-000022,-0.681312236785
ACH-000025,-1.03862601576
ACH-000028,-0.537485651726
ACH-000030,-0.6789884748280001
ACH-000035,-0.708827234066
ACH-000036,-0.883327804057
ACH-000037,-0.868041987227
ACH-000039,-0.573462241019
ACH-000040,-0.817285151244
ACH-000041,-0.8068461388510001
ACH-000042,-0.46133631544799997
ACH-000045,-0.697722827913
ACH-000047,-0.66975961854
ACH-000052,-0.68002152494
ACH-000053,-0.600182764798
ACH-000054,-0.630573172658
ACH-000055,-0.5490998183219999
ACH-000060,-0.707709486374
ACH-000067,-0.519185091535
ACH-000070,-0.694484801499
ACH-000075,-0.700335843475
ACH-000078,-0.482641200739
ACH-000082,-0.758995866543
ACH-000085,-0.7646153021690001
ACH-000086,-0.845102694428
ACH-000087,-0.665393024165
ACH-000092,-0.665388187615
ACH-000095,-0.5001920335710001
ACH-000097,-0.5026561569879999
ACH-000098,-0.595305429465
ACH-000099,-0.30669744628
ACH-000108,-0.5499435108030001
ACH-000113,-0.802417425709
ACH-000115,-0.5101867348129999
ACH-000116,-0.645521152254
ACH-000118,-0.5730990373839999
ACH-000120,-0.48232448743699996
ACH-000123,-0.6753734567030001
ACH-000127,-0.935639072701
ACH-000128,-0.568446438296
ACH-000132,-0.593869159332
ACH-000133,-0.584718842055
ACH-000137,-0.325550779409
ACH-000138,-0.5217371144399999
ACH-000142,-0.764448432015
ACH-000143,-0.536561845711
ACH-000146,-1.0622343456299999
ACH-000148,-0.580992750421
ACH-000150,-0.798314592844
ACH-000152,-0.690080213889
ACH-000153,-0.5656532239940001
ACH-000159,-0.481920154041
ACH-000160,-0.7580062201459999
ACH-000163,-0.8716692177600001
ACH-000167,-0.862138370293
ACH-000168,-0.9373647293359999
ACH-000169,-0.707861099671
ACH-000178,-0.7988168017820001
ACH-000182,-0.296184742779
ACH-000183,-0.424347812398
ACH-000188,-1.0414479787200002
ACH-000189,-0.6097875185589999
ACH-000190,-0.974140746759
ACH-000198,-0.7296117189
ACH-000204,-0.578994925079
ACH-000206,-0.488746512769
