,ACTL6A (86)
ACH-000004,-1.5184675354100001
ACH-000007,-1.45189719992
ACH-000009,-1.4707944425
ACH-000011,-1.40066268674
ACH-000012,-1.3311288921
ACH-000013,-1.4236174115399998
ACH-000014,-1.25873462485
ACH-000015,-1.3285521791700001
ACH-000017,-1.29289643531
ACH-000018,-1.31796126559
ACH-000019,-1.3896586048500001
ACH-000021,-1.4200186881099999
ACH-000022,-1.21301782197
ACH-000025,-1.42540448277
ACH-000028,-1.4375701183200003
ACH-000030,-1.34824374246
ACH-000035,-1.4244914174899999
ACH-000036,-1.5341978431099998
ACH-000037,-2.13446490061
ACH-000039,-1.6355461931600002
ACH-000040,-1.42800818491
ACH-000041,-1.8130200698900003
ACH-000042,-1.15924396559
ACH-000045,-1.40478969943
ACH-000047,-1.08237314395
ACH-000052,-1.5760169063799998
ACH-000053,-1.52022394697
ACH-000054,-1.4259505072
ACH-000055,-1.46695845971
ACH-000060,-1.68378116731
ACH-000067,-1.4933079137
ACH-000070,-1.4717229360100001
ACH-000075,-1.45384772159
ACH-000078,-1.02999954629
ACH-000082,-1.25628138018
ACH-000085,-1.19844468698
ACH-000086,-1.3583036207199999
ACH-000087,-1.1280331692799999
ACH-000092,-1.24291622947
ACH-000095,-1.7671529768799998
ACH-000097,-1.63456163784
ACH-000098,-1.38364157544
ACH-000099,-0.53392662817
ACH-000108,-1.4537589303999998
ACH-000113,-1.50071064752
ACH-000115,-1.39586870711
ACH-000116,-1.2095493722600001
ACH-000118,-1.2680558044299999
ACH-000120,-1.65858811039
ACH-000123,-1.44702939326
ACH-000127,-1.2515381106899999
ACH-000128,-1.83900298616
ACH-000132,-1.26880792173
ACH-000133,-1.3369855926799998
ACH-000137,-1.4900371997600002
ACH-000138,-1.37069118801
ACH-000142,-1.5965751204499998
ACH-000143,-1.5172398407700003
ACH-000146,-1.5281082963400001
ACH-000148,-1.37085934122
ACH-000150,-1.43546958279
ACH-000152,-1.42176395109
ACH-000153,-1.59967751128
ACH-000159,-1.4751679052899997
ACH-000160,-0.916259823243
ACH-000163,-1.35326814631
ACH-000167,-1.2347474763200001
ACH-000168,-1.467913562
ACH-000169,-1.53048854516
ACH-000178,-1.50182924715
ACH-000182,-1.44619290986
ACH-000183,-1.4532215153299999
ACH-000188,-1.4100224437
ACH-000189,-1.26835749492
ACH-000190,-1.21372546783
ACH-000198,-1.40224184899
ACH-000204,-1.36562784414
ACH-000206,-1.1427165846
ACH-000207,-1.45739067008
ACH-000211,-1.4671129471899997
ACH-000215,-1.7737938522999999
ACH-000221,-1.36845831141
ACH-000222,-1.51837790563
ACH-000223,-1.1881499472600001
ACH-000226,-1.4863180147
ACH-000227,-0.967061727649
ACH-000228,-1.28880211458
ACH-000231,-1.55464278833
ACH-000232,-1.43399226794
ACH-000233,-1.37816727109
ACH-000234,-1.20856823138
ACH-000235,-1.39335707898
ACH-000237,-1.4509415765
ACH-000238,-1.6449166866999998
ACH-000243,-1.37592248582
ACH-000244,-1.3916331871899998
ACH-000246,-1.2508948397
ACH-000248,-1.4426156206999998
ACH-000250,-1.40233707801
ACH-000251,-1.4437683297
ACH-000253,-1.4285727064899998
ACH-000255,-1.4753713473199999
ACH-000256,-1.3344200486799997
ACH-000257,-1.5306575361800001
ACH-000258,-1.69278400833
ACH-000259,-1.09761902201
ACH-000260,-1.5316210285799998
ACH-000261,-1.41826514591
ACH-000262,-1.2161373273
ACH-000263,-1.7658215291
ACH-000264,-1.61824835349
ACH-000265,-1.3605104969400001
ACH-000266,-1.45758746773
ACH-000272,-0.933247757465
ACH-000273,-1.21912283925
ACH-000274,-1.4567800146399998
ACH-000277,-1.5039488269799999
ACH-000278,-1.49025700995
ACH-000279,-1.63390095046
ACH-000280,-1.36175601303
ACH-000281,-1.64829418769
ACH-000288,-1.6383077527599998
ACH-000291,-1.34088905377
ACH-000293,-1.48238117317
ACH-000294,-1.52025208368
ACH-000295,-1.6356044808899999
ACH-000296,-1.5474686443999999
ACH-000302,-1.63297486387
ACH-000304,-1.5339502523
ACH-000307,-1.3118698219299998
ACH-000308,-1.40182472007
ACH-000310,-1.2794217749299999
ACH-000311,-1.61392713632
ACH-000312,-0.968560374544
ACH-000315,-1.31957492086
ACH-000316,-1.50472998486
ACH-000317,-1.2410492683
ACH-000318,-0.9822498379979999
ACH-000319,-1.5552480581900001
ACH-000320,-1.34434395603
ACH-000322,-1.22981379067
ACH-000323,-1.29576230351
ACH-000324,-1.4627570293799999
ACH-000329,-1.6991224223899999
ACH-000330,-1.4974470043299999
ACH-000331,-1.48301530424
ACH-000332,-1.3890171415600001
ACH-000334,-1.72355222648
ACH-000335,-1.3533238534399998
ACH-000336,-1.50192041915
ACH-000337,-1.2499271349799999
ACH-000339,-1.58564403912
ACH-000341,-0.6687896031930001
ACH-000348,-1.42235693225
ACH-000350,-1.42289588782
ACH-000352,-1.3715232385
ACH-000356,-1.41883520911
ACH-000361,-1.65000998056
ACH-000362,-1.47885851217
ACH-000363,-1.57367513505
ACH-000364,-1.4684365634099998
ACH-000365,-1.3862094092200001
ACH-000366,-1.2842539448899999
ACH-000368,-1.4131449814200001
ACH-000374,-1.3672339597
ACH-000375,-1.46171247058
ACH-000376,-1.28303937006
ACH-000381,-1.33664978226
ACH-000383,-1.60199670639
ACH-000387,-1.26826393503
ACH-000389,-1.25238742089
ACH-000390,-1.14847945892
ACH-000393,-1.56550965182
ACH-000395,-1.3588362412600001
ACH-000397,-1.35470840408
ACH-000401,-1.48144306283
ACH-000402,-1.75092139029
ACH-000403,-1.41598092072
ACH-000404,-1.24479059221
ACH-000406,-1.53916239287
ACH-000407,-1.81547406845
