,TBC1D3H (729877)
ACH-000004,-1.46373927558
ACH-000007,-1.7619403641
ACH-000009,-1.70734820313
ACH-000011,-1.6388774886300002
ACH-000012,-1.3191504000399998
ACH-000013,-1.4827018402599998
ACH-000014,-1.7198928590400002
ACH-000015,-1.46530546101
ACH-000017,-1.4505320293200001
ACH-000018,-1.4871971990000001
ACH-000019,-1.4731792443599998
ACH-000021,-1.63962111688
ACH-000022,-1.6432852325999998
ACH-000025,-1.3554220477399999
ACH-000028,-1.3992646765299999
ACH-000030,-1.57997991646
ACH-000035,-1.44388679148
ACH-000036,-1.6294694765200002
ACH-000037,-1.51684412977
ACH-000039,-1.68343679097
ACH-000040,-1.49859048192
ACH-000041,-1.6898103878600002
ACH-000042,-1.60020880439
ACH-000045,-1.5549904805599999
ACH-000047,-1.32466074849
ACH-000052,-1.23624028446
ACH-000053,-1.4516613652
ACH-000054,-1.44730619216
ACH-000055,-1.8506511516900004
ACH-000060,-1.38981004087
ACH-000067,-1.35233475557
ACH-000070,-1.65525897516
ACH-000075,-1.34200041775
ACH-000078,-1.50376453766
ACH-000082,-1.5532721464300001
ACH-000085,-1.5288491213100002
ACH-000086,-1.5380241273500002
ACH-000087,-1.67054813085
ACH-000092,-1.4339180042500002
ACH-000095,-1.37369571225
ACH-000097,-1.4396127861
ACH-000098,-1.68694141687
ACH-000099,-1.5288619037200002
ACH-000108,-1.50450878899
ACH-000113,-1.6891513392200002
ACH-000115,-1.7774111944799997
ACH-000116,-1.36795195086
ACH-000118,-1.41794170741
ACH-000120,-1.62778686963
ACH-000123,-1.5486408248299999
ACH-000127,-1.4401537503600002
ACH-000128,-1.29908232828
ACH-000132,-1.5237121261500002
ACH-000133,-1.34091689534
ACH-000137,-1.28929488874
ACH-000138,-1.55559698114
ACH-000142,-1.71980665069
ACH-000143,-1.27857215877
ACH-000146,-1.77224926595
ACH-000148,-1.5300645340799999
ACH-000150,-1.3648989131
ACH-000152,-1.44141290201
ACH-000153,-1.5970057285600001
ACH-000159,-1.4692682560499999
ACH-000160,-1.97404491185
ACH-000163,-1.51726970025
ACH-000167,-0.19144730600600002
ACH-000168,-1.46292948088
ACH-000169,-1.49234090717
ACH-000178,-1.4359954197799998
ACH-000182,-1.63631798474
ACH-000183,-1.0765773278200002
ACH-000188,-1.3381715234
ACH-000189,-1.65578794223
ACH-000190,-1.6080962567200001
ACH-000198,-1.55861694044
ACH-000204,-1.7672697816599998
ACH-000206,-1.1353056988899999
ACH-000207,-1.38329170697
ACH-000211,-1.31663116528
ACH-000215,-1.53432668064
ACH-000221,-1.32892433358
ACH-000222,-2.02986930763
ACH-000223,-1.4840202712200001
ACH-000226,-1.75840957473
ACH-000227,-1.61695403996
ACH-000228,-1.34652119464
ACH-000231,-1.44000179331
ACH-000232,-1.4759453938
ACH-000233,-1.27878316329
ACH-000234,-1.38127807408
ACH-000235,-1.6437334181
ACH-000237,-1.4011065608500002
ACH-000238,-1.60480920484
ACH-000243,-1.30482412309
ACH-000244,-1.23266462444
ACH-000246,-1.4766252901399999
ACH-000248,-1.57954760917
ACH-000250,-1.35573970306
ACH-000251,-1.56011011364
ACH-000253,-1.3246244109899998
ACH-000255,-1.46250539697
ACH-000256,-1.44780111013
ACH-000257,-1.7887150002
ACH-000258,-1.66074733692
ACH-000259,-1.36807825107
ACH-000260,-1.41990917669
ACH-000261,-1.3705083496500001
ACH-000262,-1.41446780613
ACH-000263,-1.65546049174
ACH-000264,-1.4899999680200002
ACH-000265,-1.63149153726
ACH-000266,-1.5716678263600001
ACH-000272,-1.6130485425499999
ACH-000273,-1.38798630517
ACH-000274,-1.5975266425499999
ACH-000277,-1.24988105764
ACH-000278,-1.3829638581200001
ACH-000279,-1.3821907959200002
ACH-000280,-1.4861908515
ACH-000281,-1.35514492128
ACH-000288,-1.44420091177
ACH-000291,-1.27111355942
ACH-000293,-1.48382685208
ACH-000294,-1.76805934345
ACH-000295,-1.61515132693
ACH-000296,-1.6873996434799998
ACH-000302,-1.5649355609600002
ACH-000304,-1.4534295816299998
ACH-000307,-1.4186328168399998
ACH-000308,-1.60951330694
ACH-000310,-1.44916677446
ACH-000311,-1.46195281502
ACH-000312,-1.47364974361
ACH-000315,-1.7846650743299999
