,TBL1XR1 (79718)
ACH-000004,-0.187442514835
ACH-000007,-0.24289213678000002
ACH-000009,-0.6700885297779999
ACH-000011,-0.303161303221
ACH-000012,-0.317380876398
ACH-000013,-0.627754868116
ACH-000014,-0.622461998227
ACH-000015,-0.145439436856
ACH-000017,-0.915619274772
ACH-000018,-0.460687511711
ACH-000019,-0.664884413343
ACH-000021,-0.44268594004100004
ACH-000022,-0.21779191684799998
ACH-000025,-0.257531629446
ACH-000028,-0.38529974195699995
ACH-000030,-0.420067839882
ACH-000035,-0.6219591121010001
ACH-000036,-0.765468466655
ACH-000037,-0.34783595576399995
ACH-000039,-0.8320610193719999
ACH-000040,-0.252146612642
ACH-000041,0.0904301470487
ACH-000042,-0.9067454248129999
ACH-000045,-0.47368728746399996
ACH-000047,-0.501192413257
ACH-000052,-0.723244733717
ACH-000053,-0.603109809141
ACH-000054,-0.0518924784235
ACH-000055,-0.58544359181
ACH-000060,-0.625588396815
ACH-000067,-0.765820397161
ACH-000070,-0.124505863744
ACH-000075,-0.0619746739123
ACH-000078,-0.489300973124
ACH-000082,-0.230867121947
ACH-000085,-0.912507732831
ACH-000086,-0.312221970768
ACH-000087,-0.208488049215
ACH-000092,-0.361155324552
ACH-000095,-0.913301137252
ACH-000097,-0.35981260963
ACH-000098,-0.058426384028199996
ACH-000099,-0.161867395788
ACH-000108,-0.35529677922700004
ACH-000113,-0.295306806348
ACH-000115,0.205581901747
ACH-000116,-0.156570154737
ACH-000118,-0.9466235012720001
ACH-000120,-0.5164156810130001
ACH-000123,-0.239965306275
ACH-000127,0.109549007463
ACH-000128,-0.373696728213
ACH-000132,-0.391670926049
ACH-000133,-0.727455956312
ACH-000137,0.286805280185
ACH-000138,-0.34089710813
ACH-000142,0.156934338134
ACH-000143,-0.134821996637
ACH-000146,0.164011268711
ACH-000148,-0.293540574717
ACH-000150,-0.161175951441
ACH-000152,-0.5410127342159999
ACH-000153,0.044771485587
ACH-000159,-0.11158058632099999
ACH-000160,0.0838013451508
ACH-000163,-0.11248562423599999
ACH-000167,0.43435468354199996
