,ASF1A (25842)
ACH-000004,-0.24838697750799998
ACH-000007,-0.36207128850000003
ACH-000009,-0.35867960695699996
ACH-000011,-0.305775363643
ACH-000012,-0.116010537654
ACH-000013,-0.098450784461
ACH-000014,-0.601008086635
ACH-000015,-0.09108666073629999
ACH-000017,-0.444803718337
ACH-000018,-0.370439785854
ACH-000019,-0.509186593779
ACH-000021,-0.297169073968
ACH-000022,-0.340424589379
ACH-000025,-0.619623004773
ACH-000028,-0.18213851580499998
ACH-000030,-0.194551755973
ACH-000035,-0.428524118023
ACH-000036,-0.310981910958
ACH-000037,-0.26337668023
ACH-000039,-0.40870086969
ACH-000040,-0.56622880502
ACH-000041,-0.0707738019701
ACH-000042,-0.271035163932
ACH-000045,-0.13006428719799998
ACH-000047,-0.747709658723
ACH-000052,-0.453066052858
ACH-000053,-0.061194540495499994
ACH-000054,-0.302853608413
ACH-000055,-0.10516094115
ACH-000060,-0.19124931849
ACH-000067,-0.42791796189900005
ACH-000070,-0.305013541896
ACH-000075,-0.415646893689
ACH-000078,-0.24704985603799998
ACH-000082,-0.501687229684
ACH-000085,-0.385967473917
ACH-000086,-0.49592852376999996
ACH-000087,-0.143609803829
ACH-000092,-0.226005688853
ACH-000095,-0.26087520147300003
ACH-000097,-0.41363017673
ACH-000098,-0.39889163783
ACH-000099,-0.309506429705
ACH-000108,-0.183247553879
ACH-000113,-0.260782321968
ACH-000115,-0.483712837164
ACH-000116,-0.405430593006
ACH-000118,-0.23788329556200002
ACH-000120,-0.309479815246
ACH-000123,-0.47609875087700004
ACH-000127,-0.155957969835
ACH-000128,-0.264521044981
ACH-000132,-0.34291597479
ACH-000133,-0.185648228807
ACH-000137,-0.320837270439
ACH-000138,-0.328637770874
ACH-000142,-0.17717457740200002
ACH-000143,0.101397598975
ACH-000146,-0.25677109176199997
ACH-000148,-0.489896009402
ACH-000150,-0.252409597812
ACH-000152,-0.177102410339
ACH-000153,-0.105864749593
ACH-000159,-0.37078643149400003
ACH-000160,0.0225696765724
ACH-000163,-0.00806782778184
ACH-000167,-0.0271074997021
ACH-000168,0.129614338165
ACH-000169,-0.49379164704800005
ACH-000178,-0.519724434182
ACH-000182,-0.295187095372
ACH-000183,-0.388581714888
ACH-000188,-0.444120186783
ACH-000189,-0.168639734819
ACH-000190,0.0502107926031
ACH-000198,-0.5049335746220001
ACH-000204,-0.5598343872820001
ACH-000206,-0.402237693754
ACH-000207,-0.512109069331
ACH-000211,-0.418617571333
ACH-000215,-0.483702475259
ACH-000221,-0.646716416527
ACH-000222,-0.292597779072
ACH-000223,-0.36091113474500003
ACH-000226,-0.29687314635
ACH-000227,-0.400636335619
ACH-000228,-0.41645196214
ACH-000231,-0.3318842283
ACH-000232,-0.619356561414
ACH-000233,-0.129766600549
ACH-000234,-0.213111788173
ACH-000235,-0.30355853238499997
ACH-000237,-0.615019432882
ACH-000238,-0.28358882225800003
ACH-000243,-0.287287029142
ACH-000244,-0.194052070205
ACH-000246,-0.205862684501
ACH-000248,-1.02472969924
ACH-000250,-0.32509100164500004
ACH-000251,-0.36896696084700004
ACH-000253,-0.209077858709
ACH-000255,-0.219025545499
ACH-000256,-0.547903897618
ACH-000257,-0.47120639526299996
ACH-000258,-0.562710706483
ACH-000259,-0.429677818523
ACH-000260,-0.348414115725
ACH-000261,-0.367133684635
ACH-000262,-0.38334324660999997
ACH-000263,-0.28668603209800003
ACH-000264,-0.42895815911799995
ACH-000265,-0.607275548601
ACH-000266,-0.33083021217799996
ACH-000272,-0.115389003595
ACH-000273,-0.346915919548
ACH-000274,-0.37910319545599996
ACH-000277,-0.147281254846
ACH-000278,-0.23251012709899999
ACH-000279,-0.304714082766
ACH-000280,-0.267952666661
ACH-000281,-0.210643233231
ACH-000288,-0.0308022765791
ACH-000291,-0.24726947207299999
ACH-000293,-0.637271728372
ACH-000294,-0.0887399677355
ACH-000295,-0.49027734329499995
ACH-000296,-0.784290582479
ACH-000302,-0.5230725343829999
ACH-000304,-0.321772078181
ACH-000307,-0.0681637740425
ACH-000308,-0.365152508128
ACH-000310,-0.193765516268
ACH-000311,-0.34187377216700005
ACH-000312,-0.313952288049
ACH-000315,-0.553805197958
ACH-000316,-0.0174585039413
ACH-000317,0.0276047981786
ACH-000318,-0.47134243149599997
ACH-000319,-0.601957989314
ACH-000320,-0.520527706531
ACH-000322,-0.770160018109
ACH-000323,-0.421117588956
ACH-000324,-0.322477409745
ACH-000329,-0.37099578187
ACH-000330,-0.24903951771299998
ACH-000331,-0.24631578085099998
ACH-000332,-0.21392723135800001
ACH-000334,-0.623162162404
ACH-000335,-0.39842670576
ACH-000336,-0.5320220938620001
ACH-000337,-0.279711825634
ACH-000339,-0.328503049576
ACH-000341,-0.565944542319
ACH-000348,-0.276175151435
ACH-000350,-0.25090634469
ACH-000352,-0.662274238612
ACH-000356,-0.701705217967
ACH-000361,-0.48479966946900005
ACH-000362,-0.226168902332
ACH-000363,-0.300987825421
ACH-000364,-0.35593867373000004
ACH-000365,-0.274943810351
ACH-000366,-0.701345506891
ACH-000368,-0.242403541905
ACH-000374,-0.28961626854
ACH-000375,-0.525511649816
ACH-000376,-0.120934787644
ACH-000381,-0.234690778722
ACH-000383,-0.36288471178599996
ACH-000387,-0.424614600246
ACH-000389,-0.22202800657699998
ACH-000390,-0.35897731328599997
ACH-000393,-0.611556508757
ACH-000395,-0.260378222386
ACH-000397,-0.35842294950900006
ACH-000401,-0.0609425184664
ACH-000402,-0.48304712502999997
ACH-000403,-0.206241888352
ACH-000404,-0.275911456915
ACH-000406,-0.09779872273610002
ACH-000407,-0.123570008914
ACH-000408,-0.136981895932
ACH-000410,-0.503722604468
ACH-000411,-0.19026413769699999
ACH-000414,-0.42611751451499996
ACH-000415,-0.250443667557
ACH-000416,-0.8914168797609999
ACH-000420,-0.129521083564
ACH-000421,-0.22702012698100002
ACH-000424,-0.408162436043
ACH-000425,-0.634572550734
ACH-000426,-0.579325689592
ACH-000427,-0.49105023689599997
ACH-000433,-0.23523561962099998
ACH-000436,-0.412701211494
ACH-000444,-0.277472773233
ACH-000445,-0.248780343072
ACH-000448,-0.467066881778
ACH-000450,-0.236608784215
ACH-000452,-0.18349129339099998
ACH-000454,-0.259262115636
ACH-000458,-0.446766678815
ACH-000459,-0.241169823662
ACH-000460,-0.688848359346
ACH-000461,-0.583825341168
ACH-000463,-0.343883141155
ACH-000464,-0.494411866049
ACH-000466,-0.214526066526
ACH-000467,-0.27774082400600003
