,HFE2 (148738)
ACH-000004,-0.30678650783399997
ACH-000007,-0.424948032306
ACH-000009,-0.366239822183
ACH-000011,-0.36493879922600003
ACH-000012,-0.45522644056999995
ACH-000013,-0.427605441164
ACH-000014,-0.351341458405
ACH-000015,-0.41973761482199995
ACH-000017,-0.263934981491
ACH-000018,-0.480069082774
ACH-000019,-0.618622425427
ACH-000021,-0.451088515013
ACH-000022,-0.248862014768
ACH-000025,-0.551964369208
ACH-000028,-0.6896740004530001
ACH-000030,-0.314433216726
ACH-000035,-0.55168947267
ACH-000036,-0.567180634763
ACH-000037,-0.36801088959399997
ACH-000039,-0.34878052034400003
ACH-000040,-0.30181707194
ACH-000041,-0.27794955959600004
ACH-000042,-0.467677704009
ACH-000045,-0.285880795407
ACH-000047,-0.417459682409
ACH-000052,-0.440612902149
ACH-000053,-0.632875613489
ACH-000054,-0.450353272866
ACH-000055,-0.026823696511400003
ACH-000060,-0.132238334787
ACH-000067,-0.183642144364
ACH-000070,-0.225349401324
ACH-000075,-0.51915839415
ACH-000078,0.0105636032372
ACH-000082,-0.37265166619999995
ACH-000085,-0.560389775062
ACH-000086,-0.576884181229
ACH-000087,-0.233907198596
ACH-000092,-0.47018693502400005
ACH-000095,-0.0562260276239
ACH-000097,-0.467144020612
ACH-000098,-0.42299761308300005
ACH-000099,-0.198067052362
ACH-000108,-0.44663572811
ACH-000113,-0.32455917605
ACH-000115,-0.22945359705899998
ACH-000116,-0.281038852016
ACH-000118,-0.541072648252
ACH-000120,-0.143272284602
ACH-000123,-0.39971771845200005
ACH-000127,-0.26628657125300004
ACH-000128,-0.29285392343600003
ACH-000132,-0.20286222699099998
ACH-000133,-0.7190936645389999
ACH-000137,-0.419178054432
ACH-000138,-0.25602179149300003
ACH-000142,-0.5133686734049999
ACH-000143,-0.0216235348567
ACH-000146,-0.253059646696
ACH-000148,-0.253333599401
ACH-000150,-0.29629927386599997
ACH-000152,-0.448322072912
ACH-000153,-0.8195836250390001
ACH-000159,-0.529747333427
ACH-000160,-0.201580356084
ACH-000163,-0.24502414238200002
ACH-000167,-0.483046235968
ACH-000168,-0.270230485857
ACH-000169,-0.435332447091
ACH-000178,-0.281683061705
ACH-000182,-0.23631570587900003
ACH-000183,-0.45820765254699997
ACH-000188,-0.511497424527
ACH-000189,-0.8802936106910001
ACH-000190,-0.248006577315
ACH-000198,-0.19427114800999998
ACH-000204,-0.852544690003
ACH-000206,-0.382328264127
ACH-000207,-0.39804006796400004
ACH-000211,-0.307387525243
ACH-000215,-0.499238279374
ACH-000221,-0.338068342992
ACH-000222,-0.158854333751
ACH-000223,-0.393495471979
ACH-000226,-0.234311327916
ACH-000227,0.040932878742199995
ACH-000228,-0.46275082525600003
ACH-000231,-0.475473127662
ACH-000232,-0.419315097061
ACH-000233,-0.218668779322
ACH-000234,-0.165347058188
ACH-000235,-0.329852882919
ACH-000237,-0.282759265693
ACH-000238,-0.235502946521
ACH-000243,-0.34991505575599996
ACH-000244,-0.168033552287
