,PHPT1 (29085)
ACH-000004,0.023265368068900002
ACH-000007,0.294384231236
ACH-000009,-0.174317898063
ACH-000011,0.17221027998100003
ACH-000012,-0.107463162771
ACH-000013,-0.09894661309260001
ACH-000014,-0.113242008894
ACH-000015,-0.0367819350164
ACH-000017,0.029643719977099997
ACH-000018,0.129014428176
ACH-000019,0.162918469364
ACH-000021,-0.016956158581299997
ACH-000022,-0.0358706734984
ACH-000025,0.174151484877
ACH-000028,0.10260661036
ACH-000030,0.0438514119642
ACH-000035,0.20472408014199997
ACH-000036,0.103591901291
ACH-000037,0.20536150008
ACH-000039,0.034660496760000006
ACH-000040,0.08675552533389999
ACH-000041,0.0927093855674
ACH-000042,-0.0450792341374
ACH-000045,0.0193114113918
ACH-000047,-0.010820291515600001
ACH-000052,0.256991128754
ACH-000053,0.0625269883708
ACH-000054,-0.0472818793337
ACH-000055,-0.0022207370462
ACH-000060,-0.0886819704057
ACH-000067,-0.031987481357599996
ACH-000070,-0.0384722823691
ACH-000075,0.106035143555
ACH-000078,-0.025441679454799998
ACH-000082,0.033123723437099996
ACH-000085,-0.038965931211000004
ACH-000086,-0.0530397963176
ACH-000087,0.025400537835400003
ACH-000092,0.062372661165300006
ACH-000095,0.06602101030299999
ACH-000097,0.050264488163099995
ACH-000098,0.0841733318919
ACH-000099,-0.0839151981404
ACH-000108,-0.028416745941
ACH-000113,0.08769976109910001
ACH-000115,0.030054717721199997
ACH-000116,0.0310276963347
ACH-000118,0.0532561876742
ACH-000120,0.0368221682284
ACH-000123,0.177735601264
ACH-000127,0.126710869484
ACH-000128,-0.0644492804133
ACH-000132,-0.0212795636552
ACH-000133,0.164767658136
ACH-000137,-0.0579355085121
ACH-000138,-0.038034552402900004
ACH-000142,0.171555865501
ACH-000143,-0.08206020925810001
ACH-000146,-0.029048975685799998
ACH-000148,-0.0189357762338
ACH-000150,0.195477201328
ACH-000152,-0.00496171692893
ACH-000153,0.106052085582
ACH-000159,-0.0760379441355
ACH-000160,-0.06501975677380001
ACH-000163,-0.189888784142
ACH-000167,0.043003108131699996
ACH-000168,-0.23352984248599998
ACH-000169,-0.07260476677910001
ACH-000178,-0.024703119587
ACH-000182,0.122925131344
ACH-000183,0.11388046537900001
ACH-000188,0.166732020177
ACH-000189,0.0909566968686
ACH-000190,0.0281844450037
ACH-000198,0.0249702455418
ACH-000204,0.388030803829
ACH-000206,0.144194698999
ACH-000207,-0.479584667665
ACH-000211,0.034772186783500005
ACH-000215,-0.050026463787699996
ACH-000221,-0.023522908271599998
ACH-000222,-0.35873198620200003
ACH-000223,0.013813919319299999
ACH-000226,0.16776629577500002
ACH-000227,0.16685089414999998
ACH-000228,0.0353811327793
ACH-000231,-0.020354213994200003
ACH-000232,0.19696300560600002
ACH-000233,-0.0490572844156
ACH-000234,-0.121313823981
ACH-000235,-0.0134871501553
ACH-000237,0.067736759554
ACH-000238,-0.132171908585
ACH-000243,0.09222095598089998
ACH-000244,0.185211317916
ACH-000246,-0.04632959339980001
ACH-000248,0.173304232115
ACH-000250,-0.021170496241299998
ACH-000251,0.220294848319
ACH-000253,0.081098642661
ACH-000255,-0.020827596125700003
ACH-000256,0.033171972513999996
ACH-000257,0.21250790477899997
ACH-000258,0.408580761427
ACH-000259,-0.0858308738147
ACH-000260,-0.046387901713199994
