,ACTL8 (81569)
ACH-000460,-0.16592712544000002
ACH-000461,-0.17021067031599998
ACH-000463,0.0509325361455
ACH-000464,0.06787648064280001
ACH-000466,-0.046107117196599996
ACH-000467,-0.165366143973
ACH-000468,-0.198565356956
ACH-000469,-0.029506515592
ACH-000470,-0.0917109532118
ACH-000471,-0.124334180929
ACH-000472,-0.0264815199265
ACH-000473,-0.035739030598199995
ACH-000475,-0.0463168657703
ACH-000476,-0.282480137488
ACH-000477,0.201224885453
ACH-000480,-0.20011633898400003
ACH-000481,-0.08151981013010001
ACH-000483,-0.00648960162636
ACH-000484,-0.25597662494199996
ACH-000485,0.075199447838
ACH-000486,0.143902624747
ACH-000487,-0.0775693002509
ACH-000488,-0.104983634118
ACH-000490,-0.00641969594588
ACH-000491,-0.050645094526500005
ACH-000495,0.26240232471700004
ACH-000496,0.0226341873447
ACH-000499,-0.30593612121999997
ACH-000500,0.06044775177180001
ACH-000502,0.060935688028499996
ACH-000503,-0.295632118771
ACH-000505,-0.153509351411
ACH-000507,-0.428086628622
ACH-000510,0.0317988540464
ACH-000511,-0.140431826498
ACH-000512,-0.160203743044
ACH-000516,0.052573243159
ACH-000517,-0.102837002097
ACH-000518,-0.0932325320654
ACH-000520,-0.280706129871
ACH-000521,-0.303237045189
ACH-000522,-0.16944053205499998
ACH-000524,-0.118225859945
ACH-000527,-0.062291908350599993
ACH-000528,-0.0630958958611
ACH-000537,0.0148260300125
ACH-000541,-0.028986643839599997
ACH-000542,-0.0160448988906
ACH-000544,-0.19212533018
ACH-000545,-0.04544416109569999
ACH-000547,-0.361160498125
ACH-000548,0.1048776333
ACH-000549,-0.266998786866
ACH-000550,-0.102851844678
ACH-000552,-0.181855180883
ACH-000556,0.08269588873139999
ACH-000557,-0.146099449013
ACH-000570,-0.20942534499899998
ACH-000571,-0.171748480757
ACH-000573,-0.206295151762
ACH-000576,-0.21837289923300002
ACH-000580,-0.133424458284
ACH-000584,-0.140935413706
ACH-000585,-0.11155795269400001
ACH-000588,0.0336704195199
ACH-000589,-0.04968113004790001
ACH-000591,-0.340135709609
ACH-000593,-0.36225821729
ACH-000600,-0.130665981823
ACH-000601,-0.0494560305824
ACH-000604,0.28342613124899996
ACH-000605,-0.404412796923
ACH-000606,-0.125897448801
ACH-000608,0.0378336549347
ACH-000614,-0.08842377516960001
ACH-000616,-0.171651864228
ACH-000618,-0.125657744461
ACH-000619,-0.214768254408
ACH-000620,-0.127863579556
ACH-000621,-0.0753335647193
ACH-000622,-0.46744405735
ACH-000623,-0.035134570683300004
ACH-000624,-0.00032257551872900004
ACH-000627,-0.21499284989599998
ACH-000630,-0.15801610374800001
ACH-000632,-0.379724734772
ACH-000633,-0.189805739196
ACH-000637,0.160425417467
ACH-000638,-0.132399749215
ACH-000646,0.034807293178099996
ACH-000647,-0.1352618174
ACH-000648,-0.0840583252887
ACH-000649,-0.0481848366615
ACH-000651,-0.111442590636
ACH-000652,-0.3172527978
ACH-000653,-0.274825361385
ACH-000657,-0.0871513216649
ACH-000658,0.012752994830200001
ACH-000661,0.00888714195003
ACH-000662,-0.266767838777
ACH-000663,-0.0982048026331
ACH-000665,-0.208174670816
ACH-000671,0.0234170906431
ACH-000673,0.0408320771377
ACH-000676,-0.0495664748573
ACH-000677,-0.0562868428187
ACH-000681,-0.014698782646
ACH-000682,-0.153589527277
ACH-000683,-0.211169279541
ACH-000684,-0.12417060354599999
ACH-000688,-0.140402491031
ACH-000693,-0.048849787000400005
ACH-000694,-0.0413001230141
ACH-000695,-0.0258624088753
ACH-000696,-0.11102115796800001
ACH-000697,-0.41021472744599996
ACH-000699,-0.12287505362
ACH-000701,-0.144440954605
ACH-000706,-0.128844510542
ACH-000711,-0.119489540623
ACH-000713,-0.113722954276
ACH-000714,-0.0346415639113
ACH-000718,0.0389561984192
ACH-000720,-0.16874194410100002
ACH-000721,-0.262694499018
ACH-000724,0.047440634452300005
ACH-000725,-0.0450677165627
ACH-000732,-0.123033632667
ACH-000734,-0.17837253807300002
ACH-000735,-0.109272842855
ACH-000736,-0.06693389193799999
ACH-000738,-0.25944707736699996
ACH-000746,-0.169020268818
ACH-000747,-0.08534823100889999
ACH-000748,0.170851523788
ACH-000753,-0.0808774451396
ACH-000756,-0.17904961191100002
ACH-000757,0.0308397775699
ACH-000758,-0.24509187613400002
ACH-000760,-0.0814430858142
ACH-000763,-0.076923853039
ACH-000764,-0.0570779694109
ACH-000765,-0.159526444266
ACH-000766,-0.019311065734000002
ACH-000767,-0.315661928659
ACH-000768,0.09087836986610001
ACH-000769,-0.10579077510299999
ACH-000770,-0.018224699991799997
ACH-000771,-0.044245670794699994
ACH-000773,0.056708568738900005
ACH-000776,-0.351973239498
ACH-000777,-0.105816617432
ACH-000778,-0.21304875840100002
ACH-000781,-0.0443926661743
ACH-000782,-0.256798429251
ACH-000783,-0.171166684859
ACH-000784,-0.20157564531
ACH-000785,-0.161436654152
ACH-000787,-0.188618890121
ACH-000788,-0.12557582398199998
ACH-000791,0.0899519066821
ACH-000792,-0.250469949322
ACH-000794,-0.266467533333
ACH-000796,-0.0548800739919
ACH-000799,0.126888695593
ACH-000800,-0.0370638511152
ACH-000802,-0.173933996095
ACH-000804,-0.039742364594
ACH-000805,0.177915212584
ACH-000809,0.0260377071441
ACH-000810,-0.485145005137
ACH-000811,-0.203811457177
ACH-000817,-0.0356118621699
ACH-000819,-0.0576480529092
ACH-000820,-0.489567172269
ACH-000821,-0.135570445382
ACH-000822,-0.202647040664
ACH-000823,-0.0801218024827
ACH-000824,-0.16430467878
ACH-000827,-0.09343464332180001
ACH-000829,-0.110964824517
ACH-000831,0.0108201212928
ACH-000832,-0.0833831322533
ACH-000833,-0.18209471556200002
ACH-000834,-0.351636478654
ACH-000835,-0.057959293458
ACH-000836,-0.024298424601300002
ACH-000837,0.135774981173
ACH-000838,-0.264786427045
ACH-000839,-0.136274117642
ACH-000840,-0.146696098592
ACH-000841,-0.118881511075
ACH-000843,-0.109836114465
ACH-000846,-0.164732296561
ACH-000847,-0.125335407693
ACH-000848,-0.143958886727
ACH-000849,-0.432285086946
ACH-000851,-0.126290942455
ACH-000855,-0.12116928660999998
ACH-000856,-0.0227476793894
ACH-000858,-0.0280362002667
ACH-000859,0.0156945286329
ACH-000861,-0.21834818999000002
ACH-000862,0.0419084780394
ACH-000865,-0.173327892665
ACH-000866,-0.114556291534
ACH-000867,0.0109657513727
ACH-000869,0.027070816227599995
ACH-000872,-0.18370410507100002
ACH-000873,0.04718768502
ACH-000876,-0.20476652077
ACH-000878,0.0907795506274
ACH-000880,-0.120841388641
ACH-000881,0.0958695793306
ACH-000882,-0.04531708431149999
ACH-000884,-0.185188414212
ACH-000885,-0.14452851794299998
ACH-000887,-0.0577844762658
ACH-000888,-0.0119978733369
ACH-000889,-0.125735166092
ACH-000890,0.038416407573300004
ACH-000896,-0.126056223729
ACH-000898,-0.159234624279
ACH-000900,0.0574290073825
ACH-000901,-0.149380915315
ACH-000905,-0.0955941443272
ACH-000906,-0.15907704581499998
ACH-000907,-0.378035025068
ACH-000910,0.0140329661148
ACH-000911,-0.11600278155200001
ACH-000912,-0.11413075255699999
ACH-000913,-0.11993166137399999
ACH-000915,-0.129601730899
ACH-000916,-0.574046786134
ACH-000917,-0.036314599682
ACH-000921,0.05559808768400001
ACH-000924,-0.208075223151
ACH-000926,-0.13554817627000001
ACH-000928,-0.158130196684
ACH-000929,0.100627036104
ACH-000932,0.07896538901719999
ACH-000935,-0.270105999117
ACH-000936,-0.13558247682
ACH-000937,-0.114274920378
ACH-000938,-0.231744109795
ACH-000939,-0.0681938053862
ACH-000941,-0.191078074915
ACH-000943,-0.228165120605
ACH-000946,-0.195832729205
ACH-000947,-0.112793664463
ACH-000948,0.00165527356306
ACH-000950,-0.130867831554
ACH-000953,-0.193094295506
ACH-000957,-0.17742807955200002
ACH-000958,-0.245966617922
ACH-000960,-0.23901967001
ACH-000963,0.0459152720854
ACH-000968,-0.060610891563699996
ACH-000969,-0.0354195854629
ACH-000973,-0.026870614056700003
ACH-000974,0.0891598022243
ACH-000975,-0.31612638544300004
ACH-000976,-0.0222242934966
ACH-000978,-0.19654110651
ACH-000980,-0.158692443183
ACH-000984,0.10463137270600001
ACH-000986,-0.20932099958
ACH-000988,-0.09644555030379999
ACH-000993,0.0350274944169
ACH-000994,-0.135861191145
ACH-000996,-0.10050611465600001
ACH-001001,0.0728216850308
ACH-001020,-0.12220419791300001
ACH-001028,-0.06461763142799999
ACH-001031,-0.291830736328
ACH-001038,-0.0781911360863
ACH-001048,-0.00995496181277
ACH-001050,-0.159035197054
ACH-001053,-0.22125946049400003
ACH-001054,-0.101506540435
ACH-001061,-0.0720664207161
ACH-001067,-0.20380256888099998
ACH-001075,-0.026307464995599997
ACH-001096,-0.171883918691
ACH-001128,0.19886080120299998
ACH-001134,0.294652387577
ACH-001151,-0.0896444289849
ACH-001163,-0.15471049263599998
ACH-001164,0.0172846003046
ACH-001173,0.0206650481023
ACH-001183,0.15719813272500002
ACH-001184,-0.0594471026355
ACH-001190,-0.0632676567385
ACH-001192,-0.04974999830030001
ACH-001193,-0.00033638413904
ACH-001196,-0.012761629926200002
ACH-001197,-0.029854631023400004
ACH-001205,-0.178923097602
ACH-001211,0.14510595957800002
ACH-001212,0.00621936226581
ACH-001228,-0.125733158741
ACH-001232,-0.14813333581
ACH-001239,-0.108374699135
ACH-001274,-0.0568072476878
ACH-001275,-0.297841168064
ACH-001277,-0.136330237569
ACH-001278,-0.049928793944199995
ACH-001280,-0.017286097002299997
ACH-001283,0.17591973228399999
ACH-001289,-0.0230895856522
ACH-001295,-0.0913336213666
ACH-001300,-0.09516026362579999
ACH-001301,0.24429723870099998
ACH-001302,-0.0593864729769
ACH-001303,-0.18752888524
ACH-001306,-0.0684152524237
ACH-001318,-0.06336369196569999
ACH-001322,-0.222072158821
ACH-001328,-0.217740281985
ACH-001332,-0.0503776835905
ACH-001333,-0.202435851396
ACH-001336,-0.0137190745932
ACH-001340,-0.0628870906337
ACH-001346,-0.11704999292400001
ACH-001353,0.033476883516
ACH-001354,-0.16611390108899998
ACH-001367,-0.333490671293
ACH-001368,0.0035715836577800003
ACH-001374,-0.17431524033
ACH-001375,-0.321868925013
ACH-001377,-0.076918018372
ACH-001380,-0.294443877605
ACH-001391,0.35510194587099997
ACH-001407,0.0900779668767
ACH-001408,-0.24913402957
ACH-001413,0.047334031536
ACH-001430,-0.104320638496
ACH-001431,-0.286898152436
ACH-001450,-0.501260415205
ACH-001496,-0.376284242839
ACH-001500,-0.122891548048
ACH-001521,-0.187634120323
ACH-001523,-0.056403542237599996
ACH-001532,-0.115649204436
ACH-001536,-0.15580065318
ACH-001550,-0.0126655535855
ACH-001552,0.10741851158
ACH-001554,-0.025008527864200002
ACH-001645,-0.0051222492682
ACH-001654,-0.360114378691
ACH-001715,-0.13630110833200001
ACH-001735,-0.23094458448600003
ACH-001736,-0.164259751426
ACH-001737,0.274463501595
ACH-001740,-0.046312718502099996
ACH-001745,0.0278149941078
ACH-001750,-0.09441338694569999
ACH-001765,-0.13721820612
ACH-001956,-0.0597852058253
ACH-001957,0.0418844098253
