,GRPEL1 (80273)
ACH-000004,-1.2554116956499999
ACH-000007,-1.33036233224
ACH-000009,-1.07220490755
ACH-000011,-1.04974280573
ACH-000012,-1.1560472243000002
ACH-000013,-1.3083396574200001
ACH-000014,-1.1704124835
ACH-000015,-1.23776048817
ACH-000017,-1.59504950291
ACH-000018,-1.3068022714
ACH-000019,-1.5394601065399998
ACH-000021,-1.00991548593
ACH-000022,-1.43598428576
ACH-000025,-1.05349809111
ACH-000028,-1.03218192112
ACH-000030,-1.02268741888
ACH-000035,-0.991567094475
ACH-000036,-0.9965833564740001
ACH-000037,-0.942317701153
ACH-000039,-1.23808386131
ACH-000040,-1.10446167571
ACH-000041,-1.15861164095
ACH-000042,-0.906612155494
ACH-000045,-1.11565370749
ACH-000047,-1.31887940683
ACH-000052,-1.30608541662
ACH-000053,-1.1092368124
ACH-000054,-1.10093681614
ACH-000055,-1.0876551121200002
ACH-000060,-1.15377362089
ACH-000067,-0.911321422279
ACH-000070,-1.20637919291
ACH-000075,-1.09267050638
ACH-000078,-1.20874507235
ACH-000082,-1.1277206200399998
ACH-000085,-0.981966380748
ACH-000086,-0.8508782435879999
ACH-000087,-1.29866095934
ACH-000092,-0.841444528483
ACH-000095,-1.2780556641399998
ACH-000097,-1.1162182471
ACH-000098,-0.896246210897
ACH-000099,-1.08293051136
ACH-000108,-0.970905877902
ACH-000113,-1.2960209731999999
ACH-000115,-1.63417867667
ACH-000116,-1.4124560767200003
ACH-000118,-1.3635895372100002
ACH-000120,-1.40830485981
ACH-000123,-1.17479815177
ACH-000127,-1.19032284944
ACH-000128,-1.31687563002
ACH-000132,-1.1430161692299998
ACH-000133,-1.14217682631
ACH-000137,-1.1137758164700002
ACH-000138,-1.05775477958
ACH-000142,-1.12197086669
ACH-000143,-1.08495856285
ACH-000146,-1.4395005289200002
ACH-000148,-1.3384450787200002
ACH-000150,-1.26340257528
ACH-000152,-1.0681120786799998
ACH-000153,-1.31066595567
ACH-000159,-1.35447824937
ACH-000160,-1.4716891105
ACH-000163,-1.09141361718
ACH-000167,-1.1937966779200002
ACH-000168,-1.3316067591
ACH-000169,-1.30823596456
ACH-000178,-1.0755341564899998
ACH-000182,-1.2344271469900001
ACH-000183,-1.20563012684
ACH-000188,-1.26522663464
ACH-000189,-1.23874712229
ACH-000190,-1.22876494433
ACH-000198,-0.8649508190080001
ACH-000204,-1.13281648238
ACH-000206,-1.20773847463
ACH-000207,-1.1844436792200002
ACH-000211,-0.894829296687
ACH-000215,-1.28416360653
ACH-000221,-1.58921049521
ACH-000222,-1.51733382735
ACH-000223,-1.21713103473
ACH-000226,-1.12361640536
ACH-000227,-1.13741794916
ACH-000228,-1.29289243706
ACH-000231,-0.9841642449200001
ACH-000232,-1.14886668948
ACH-000233,-1.0675163588299998
ACH-000234,-1.01453247934
ACH-000235,-1.02209453039
ACH-000237,-1.1442838381
ACH-000238,-1.06534955111
ACH-000243,-1.13725924141
ACH-000244,-1.05711089357
ACH-000246,-0.9184366047750001
ACH-000248,-1.23948439457
ACH-000250,-1.10143809279
ACH-000251,-1.10940810964
ACH-000253,-1.17057780313
ACH-000255,-1.17155704885
ACH-000256,-1.24973600291
ACH-000257,-1.6859716155200002
ACH-000258,-0.82587748787
ACH-000259,-1.47863484277
ACH-000260,-1.10751871878
ACH-000261,-0.996793711673
ACH-000262,-1.3643024523700003
ACH-000263,-1.33460241497
ACH-000264,-1.2136586199500001
ACH-000265,-1.22566207124
ACH-000266,-1.1422544237299999
ACH-000272,-1.13827469472
ACH-000273,-0.936547657392
ACH-000274,-1.56822691836
ACH-000277,-1.24036427864
ACH-000278,-1.02420888011
ACH-000279,-1.03806165549
ACH-000280,-1.27692944102
ACH-000281,-1.26010657589
ACH-000288,-1.1929652253799998
ACH-000291,-1.2373521363700002
ACH-000293,-1.24882130823
ACH-000294,-0.955916834752
ACH-000295,-0.9212146438519999
ACH-000296,-1.20928889699
ACH-000302,-1.78283454155
ACH-000304,-1.16737028834
ACH-000307,-1.00705123795
ACH-000308,-1.2368613907100001
ACH-000310,-1.10452974705
ACH-000311,-1.20537877216
ACH-000312,-1.17760811356
ACH-000315,-1.3950435490600002
ACH-000316,-0.830262856303
ACH-000317,-1.2570744088099999
ACH-000318,-1.1211040508299999
ACH-000319,-1.34183266981
ACH-000320,-1.3049071760200002
ACH-000322,-1.3655349195
ACH-000323,-1.27453894058
ACH-000324,-1.19889992948
ACH-000329,-1.2208664597299999
ACH-000330,-1.28745290245
ACH-000331,-1.3424080413100001
ACH-000332,-1.0887354068700001
ACH-000334,-1.43089918322
ACH-000335,-1.15883302802
ACH-000336,-1.30301722628
ACH-000337,-1.38257125011
ACH-000339,-1.03187719049
ACH-000341,-1.43250570736
ACH-000348,-1.25674345722
ACH-000350,-1.26180202841
ACH-000352,-1.28066958075
ACH-000356,-1.4396548402
ACH-000361,-0.8056823255779999
ACH-000362,-1.28653956428
ACH-000363,-1.4824105213499998
ACH-000364,-1.611523368
ACH-000365,-1.2418399837799998
ACH-000366,-1.10827466543
ACH-000368,-0.9148009184039999
ACH-000374,-0.960189976301
ACH-000375,-0.940256576771
ACH-000376,-1.34076679223
ACH-000381,-1.02735609898
ACH-000383,-1.01873847635
ACH-000387,-1.28726772188
ACH-000389,-1.2884232170899999
ACH-000390,-1.26620091494
ACH-000393,-0.8902160841399999
ACH-000395,-1.3561721887
ACH-000397,-1.6425112445399999
ACH-000401,-1.0315799523
ACH-000402,-1.1219622126
ACH-000403,-1.19974526306
ACH-000404,-1.3519782824200002
ACH-000406,-1.11728725112
ACH-000407,-1.05002589287
ACH-000408,-0.9877224841700001
ACH-000410,-1.41232271843
ACH-000411,-1.01522980152
ACH-000414,-1.47374567365
ACH-000415,-1.2508333629700001
ACH-000416,-1.2302124806499999
ACH-000420,-1.09254360369
ACH-000421,-1.15354696466
ACH-000424,-1.1220200292799998
ACH-000425,-1.12256452899
ACH-000426,-1.0370606141299998
ACH-000427,-1.4051114467899999
ACH-000433,-0.868281661067
ACH-000436,-1.22512101328
ACH-000444,-1.17841635812
ACH-000445,-0.922196276912
ACH-000448,-0.922342933846
ACH-000450,-1.27510418146
ACH-000452,-1.2674096609299998
ACH-000454,-1.03484613837
ACH-000458,-1.05156936301
ACH-000459,-0.804328949109
ACH-000460,-1.16099237539
ACH-000461,-1.12317536494
ACH-000463,-1.20030541404
ACH-000464,-1.14985959964
ACH-000466,-1.11823080988
ACH-000467,-1.26500951515
ACH-000468,-0.895113413502
ACH-000469,-1.2416799936
ACH-000470,-1.1837221525900001
ACH-000471,-1.1589613585299998
ACH-000472,-1.04329192948
ACH-000473,-1.13721735858
ACH-000475,-1.3453816393399998
ACH-000476,-1.40556336537
ACH-000477,-2.04550147717
ACH-000480,-1.0102404572299999
ACH-000481,-1.14429917971
ACH-000483,-1.54982340949
ACH-000484,-0.9162947877490001
ACH-000485,-1.0
ACH-000486,-1.10366618732
ACH-000487,-1.16170509175
ACH-000488,-1.1381684323999999
ACH-000490,-1.1035607028899999
ACH-000491,-1.7104137683399998
ACH-000495,-1.06176934404
ACH-000496,-1.05331379784
ACH-000499,-1.2810890750200001
ACH-000500,-0.746187084057
ACH-000502,-1.17131012435
