,ECSIT (51295)
ACH-000004,-0.0326397500372
ACH-000007,-0.0661811047743
ACH-000009,-0.0724220404385
ACH-000011,0.197065306032
ACH-000012,-0.210285034643
ACH-000013,-0.312011783905
ACH-000014,0.032595867186
ACH-000015,-0.29430505011
ACH-000017,0.552727728405
ACH-000018,0.0355896435111
ACH-000019,-0.7270592747769999
ACH-000021,-0.44615718939800003
ACH-000022,0.0186982939655
ACH-000025,-0.315547440573
ACH-000028,-0.410350017923
ACH-000030,-0.202204200878
ACH-000035,-0.106036577557
ACH-000036,0.164470922763
ACH-000037,0.0160222231452
ACH-000039,-0.21641273522399998
ACH-000040,0.113424679477
ACH-000041,-0.256580629512
ACH-000042,-0.0435488434042
ACH-000045,-0.21317636552000002
ACH-000047,-0.5272455026489999
ACH-000052,-0.174120259553
ACH-000053,-0.051387229294099994
ACH-000054,-0.172911882496
ACH-000055,0.0549273574493
ACH-000060,0.020838595739799997
ACH-000067,0.211957777464
ACH-000070,-0.368483897953
ACH-000075,-0.171869459556
ACH-000078,0.131053984103
ACH-000082,0.10414848002900001
ACH-000085,-0.0994133486857
ACH-000086,-0.252118988388
ACH-000087,-0.22690432398000002
ACH-000092,-0.151556825921
ACH-000095,0.08932087138049999
ACH-000097,-0.13735005600400002
ACH-000098,-0.227820996539
ACH-000099,-0.21445801430999997
ACH-000108,-0.19824944919100002
ACH-000113,-0.37337178676
ACH-000115,-0.22050192256599999
ACH-000116,-0.270679444751
ACH-000118,-0.324974129278
ACH-000120,0.035713661908300005
ACH-000123,-0.265467779809
ACH-000127,-0.247745721373
ACH-000128,-0.519119638414
ACH-000132,-0.10778546283700001
ACH-000133,-0.0862431774336
ACH-000137,-0.261866287518
ACH-000138,-0.24358397854000002
ACH-000142,-0.062200959196100004
ACH-000143,-0.14990190539999998
ACH-000146,-0.0178348315017
ACH-000148,-0.235663652804
ACH-000150,-0.19699257522799998
ACH-000152,-0.0403450569394
ACH-000153,-0.0408019367012
ACH-000159,-0.0899847108968
ACH-000160,-0.28665218135000003
ACH-000163,-0.0176426923812
ACH-000167,-0.038662814390300004
ACH-000168,-0.023981720699499998
ACH-000169,-0.285594372879
ACH-000178,0.126391339717
ACH-000182,-0.373948962886
ACH-000183,0.0127461642649
ACH-000188,0.0219774711473
ACH-000189,-0.181717677243
ACH-000190,-0.23406528957400002
ACH-000198,-0.486633681664
ACH-000204,-0.39602227724699995
ACH-000206,0.240171007885
ACH-000207,-0.565160419019
ACH-000211,-0.134002717231
ACH-000215,-0.07729377008430001
ACH-000221,-0.571995865558
ACH-000222,0.00138423013742
ACH-000223,-0.119181428962
ACH-000226,-0.09947664328479999
ACH-000227,-0.194221633101
ACH-000228,-0.15207962715099999
ACH-000231,0.119137927774
ACH-000232,-0.050530944630699993
ACH-000233,-0.10205812257
ACH-000234,-0.34132924002099996
ACH-000235,-0.150137280912
ACH-000237,-0.011987686358100002
ACH-000238,0.0165964811544
ACH-000243,-0.32341399727200004
ACH-000244,-0.47024368618999995
ACH-000246,-0.359097039253
ACH-000248,-0.0024707900811199997
ACH-000250,0.03187415794409999
ACH-000251,-0.130363542626
ACH-000253,-0.205097538938
ACH-000255,0.059901025494400004
ACH-000256,0.0170663112607
ACH-000257,-0.000647913295993
ACH-000258,0.0120181176904
ACH-000259,-0.19451542256999999
ACH-000260,0.028342932717499998
ACH-000261,-0.028175679084700003
ACH-000262,-0.00778098948009
ACH-000263,-0.41349277128300005
ACH-000264,-0.0163178711647
ACH-000265,-0.40661943918899995
ACH-000266,0.0034822457977199996
ACH-000272,-0.131863313594
ACH-000273,0.0446037305982
ACH-000274,-0.11647203604
ACH-000277,-0.372615293134
ACH-000278,-0.0951336064
ACH-000279,-0.190875689064
ACH-000280,-0.325833066243
ACH-000281,-0.0963598884729
ACH-000288,-0.194170105997
ACH-000291,-0.26588843361
ACH-000293,-0.13210498932
ACH-000294,0.20109256925299998
ACH-000295,-0.10093753794600001
ACH-000296,0.00824034066889
ACH-000302,-0.509370585248
ACH-000304,-0.441758700727
ACH-000307,-0.0722754967126
ACH-000308,-0.115281875327
ACH-000310,0.0814820520219
ACH-000311,-0.145553873232
ACH-000312,-0.28989704817699996
ACH-000315,-0.253017695661
ACH-000316,0.16251415044
ACH-000317,-0.296298011045
ACH-000318,-0.20781860041900002
ACH-000319,-0.10958566481200001
ACH-000320,-0.12561389389799998
ACH-000322,-0.19041447987799998
ACH-000323,-0.04058244528819999
ACH-000324,-0.051458818765400004
ACH-000329,-0.311983213755
ACH-000330,-0.404758193517
ACH-000331,-0.027032214692
ACH-000332,-0.0269809571498
ACH-000334,-0.162772295558
ACH-000335,-0.305294201052
ACH-000336,-0.0176695443944
ACH-000337,-0.13297074895400002
ACH-000339,-0.123635093947
ACH-000341,-0.0897283864728
ACH-000348,-0.193191282885
ACH-000350,-0.101072030496
ACH-000352,-0.385204445662
ACH-000356,-0.30726405634599996
ACH-000361,-0.19100560854
ACH-000362,-0.0293788809357
ACH-000363,-0.331979626085
ACH-000364,-0.120786944223
ACH-000365,-0.284533184161
ACH-000366,-0.038687653241
ACH-000368,0.0789994174463
ACH-000374,-0.39964505863399996
ACH-000375,-0.0793830100397
ACH-000376,-0.07131062479139999
ACH-000381,0.100134458769
ACH-000383,-0.260769370254
ACH-000387,0.0842490547855
ACH-000389,0.13510458974099998
ACH-000390,-0.198648456776
ACH-000393,-0.0903383251871
ACH-000395,-0.168326135449
ACH-000397,-0.048433387731
ACH-000401,0.0175475863072
ACH-000402,0.314550066038
ACH-000403,-0.310657698605
ACH-000404,-0.28456904440999997
ACH-000406,-0.279298358271
ACH-000407,-0.0353193863574
ACH-000408,-0.174975765857
ACH-000410,-0.12304619664000001
ACH-000411,0.0372706125421
ACH-000414,-0.265732700098
ACH-000415,-0.138589479352
