,FCGBP (8857)
ACH-000004,-0.20694036831700002
ACH-000007,-0.0976788604207
ACH-000009,-0.153109884207
ACH-000011,0.046742038958800004
ACH-000012,-0.021297205160300002
ACH-000013,-0.710499110812
ACH-000014,-0.145368506367
ACH-000015,-0.330139314328
ACH-000017,-0.10913952148499999
ACH-000018,-0.234180389106
ACH-000019,-0.38276037965099996
ACH-000021,-0.172147755082
ACH-000022,-0.0412393120884
ACH-000025,-0.123151387819
ACH-000028,-0.0788932345083
ACH-000030,-0.272530519867
ACH-000035,-0.267208056963
ACH-000036,-0.11595360128900001
ACH-000037,-0.367625936108
ACH-000039,-0.20957914738699998
ACH-000040,-0.287189569711
ACH-000041,-0.190671393594
ACH-000042,-0.0816529537616
ACH-000045,-0.045861675768599994
ACH-000047,-0.208471968215
ACH-000052,-0.134404447793
ACH-000053,-0.182418353472
ACH-000054,-0.0730460457347
ACH-000055,-0.148084161371
ACH-000060,-0.07306881581989999
ACH-000067,-0.177758796221
ACH-000070,-0.157373441621
ACH-000075,-0.44425160200499997
ACH-000078,-0.341398937931
ACH-000082,-0.135700451343
ACH-000085,-0.257271204843
ACH-000086,-0.0902036567598
ACH-000087,0.15445248196699998
ACH-000092,-0.171634973767
ACH-000095,-0.221263543554
ACH-000097,-0.13436785942399998
ACH-000098,-0.185202604397
ACH-000099,-0.0542094730244
ACH-000108,0.0160535034799
ACH-000113,-0.127264143914
ACH-000115,-0.40440883357600005
ACH-000116,-0.149211277738
ACH-000118,-0.15209320494
ACH-000120,-0.09601609431019999
ACH-000123,0.0462053264345
ACH-000127,-0.039789799651000005
ACH-000128,-0.284276065299
ACH-000132,-0.171575083605
ACH-000133,-0.049422086645
ACH-000137,-0.0967645827486
ACH-000138,-0.08973393645710001
ACH-000142,-0.167460966174
ACH-000143,-0.192919460196
ACH-000146,-0.06772632337090001
ACH-000148,-0.0555564442767
ACH-000150,0.06995456586950001
ACH-000152,-0.230299094375
ACH-000153,-0.407360320521
ACH-000159,-0.11420038240599999
ACH-000160,-0.0918593672646
ACH-000163,-0.326399325041
ACH-000167,-0.29773617973600003
ACH-000168,-0.160700139321
ACH-000169,-0.00656439732982
ACH-000178,-0.0117481239857
ACH-000182,-0.179091626569
ACH-000183,-0.06805950891649999
ACH-000188,-0.284604888482
ACH-000189,0.126749229564
ACH-000190,-0.342943040903
