,SACS (26278)
ACH-000004,0.036987687762599995
ACH-000007,-0.271385992197
ACH-000009,0.055109290051300004
ACH-000011,-0.140701929749
ACH-000012,-0.0691723678737
ACH-000013,0.0499673512498
ACH-000014,-0.398148577354
ACH-000015,-0.141368581787
ACH-000017,0.216806781143
ACH-000018,0.018027710798099998
ACH-000019,0.045425908711599995
ACH-000021,0.0316337344368
ACH-000022,0.0445667122253
ACH-000025,-0.621011889971
ACH-000028,-0.013783839746100002
ACH-000030,0.012379219563299999
ACH-000035,-0.07835129849010002
ACH-000036,-0.221157062505
ACH-000037,0.18566783562199998
ACH-000039,-0.0381028673779
ACH-000040,-0.08975290663280001
ACH-000041,0.107026284007
ACH-000042,-0.059263302750399996
ACH-000045,0.16795570225499998
ACH-000047,-0.00595821413754
ACH-000052,-0.090858919192
ACH-000053,0.0184493775977
ACH-000054,-0.0483956403258
ACH-000055,0.160559747375
ACH-000060,0.0673489714437
ACH-000067,-0.221626096204
ACH-000070,-0.0440493559829
ACH-000075,-0.32429401797699997
ACH-000078,-0.0982833352863
ACH-000082,-0.049162452087400006
ACH-000085,0.39398242307099995
ACH-000086,-0.10659391985200001
ACH-000087,0.07510295680319999
ACH-000092,-0.156098082796
ACH-000095,-0.013472772013000001
ACH-000097,0.021413220132299998
ACH-000098,-0.266077385184
ACH-000099,0.0220353965973
ACH-000108,-0.0895884091863
ACH-000113,-0.0531133275944
ACH-000115,-0.174806363737
ACH-000116,0.0606401818078
ACH-000118,-0.0118335890887
ACH-000120,0.0129523437054
ACH-000123,-0.07463750441910001
ACH-000127,-0.055945262949800005
ACH-000128,-0.134550748505
ACH-000132,0.0166285232121
ACH-000133,0.0312894710445
ACH-000137,-0.02586633737
ACH-000138,-0.0678374246591
ACH-000142,0.013172073025
ACH-000143,-0.026931818445099998
ACH-000146,0.0528771513946
ACH-000148,0.0785423659792
ACH-000150,-0.457195304687
ACH-000152,-0.23315960223
ACH-000153,-0.42982716383999997
ACH-000159,-0.20474670579
ACH-000160,0.07204826711210001
ACH-000163,0.0993956213055
ACH-000167,0.14651009375399998
