,TINF2 (26277)
ACH-000004,-1.50767871514
ACH-000007,-1.4805981281600002
ACH-000009,-1.3732666854100002
ACH-000011,-1.5453267110799997
ACH-000012,-1.45947301175
ACH-000013,-1.30574294231
ACH-000014,-1.7947265078799999
ACH-000015,-0.842913060364
ACH-000017,-1.2232681663299998
ACH-000018,-1.16134679826
ACH-000019,-1.01286364136
ACH-000021,-1.19898840184
ACH-000022,-1.99831685852
ACH-000025,-1.18121231292
ACH-000028,-1.1809740585
ACH-000030,-1.4571872572600002
ACH-000035,-1.5137519400900001
ACH-000036,-1.41800105423
ACH-000037,-1.7943912808700002
ACH-000039,-1.12457925047
ACH-000040,-1.6827681099399998
ACH-000041,-1.6172017467299997
ACH-000042,-1.54077746864
ACH-000045,-1.5980254904
ACH-000047,-1.12138592057
ACH-000052,-1.17811694324
ACH-000053,-1.32393480056
ACH-000054,-1.32048670418
ACH-000055,-1.4482149546599998
ACH-000060,-1.65420951815
ACH-000067,-1.6287354507799998
ACH-000070,-1.37162800041
ACH-000075,-1.2720109671
ACH-000078,-1.41664287083
ACH-000082,-1.5417657649
ACH-000085,-1.7545906255200001
ACH-000086,-1.31097402109
ACH-000087,-1.77897318042
ACH-000092,-1.32421329719
ACH-000095,-1.42444357016
ACH-000097,-1.46442821706
ACH-000098,-1.74798840687
ACH-000099,-1.51050476968
ACH-000108,-1.47016525489
ACH-000113,-1.4725841069999999
ACH-000115,-1.15728997467
ACH-000116,-1.32112904874
ACH-000118,-1.07671044199
ACH-000120,-1.46314026329
ACH-000123,-1.41816510935
ACH-000127,-1.46932889257
ACH-000128,-0.969644454714
ACH-000132,-1.321344516
ACH-000133,-1.26120575955
ACH-000137,-1.32601491221
ACH-000138,-1.33520895754
ACH-000142,-1.49614127523
ACH-000143,-1.4635460162399998
ACH-000146,-1.88872280442
ACH-000148,-1.64459934264
ACH-000150,-1.3721621466100002
ACH-000152,-1.3094591873299999
ACH-000153,-1.19540856985
ACH-000159,-1.3990263854
ACH-000160,-0.950227818743
ACH-000163,-1.61422631782
ACH-000167,-0.895608586681
ACH-000168,-1.74329100205
ACH-000169,-1.3806504672
ACH-000178,-1.4168738145200002
ACH-000182,-1.4030927551899999
ACH-000183,-1.5222516945200002
ACH-000188,-1.60393030837
ACH-000189,-1.72476823003
ACH-000190,-1.00302759698
ACH-000198,-1.4132803401299998
ACH-000204,-1.28327321431
ACH-000206,-1.33156244377
ACH-000207,-0.9169879601369999
ACH-000211,-1.1507984677
ACH-000215,-1.7194330413299999
ACH-000221,-1.53231248998
ACH-000222,-1.3894887528400002
ACH-000223,-1.2572050453899999
ACH-000226,-1.57186714939
ACH-000227,-1.23208153495
ACH-000228,-1.54503001504
ACH-000231,-1.5762327080899998
ACH-000232,-1.50093792398
ACH-000233,-1.1141188340200001
ACH-000234,-1.9039503197099998
ACH-000235,-1.42288318766
ACH-000237,-1.30036056371
ACH-000238,-1.5347634512900001
ACH-000243,-1.2014465601
ACH-000244,-1.6637120465000002
ACH-000246,-1.4766267403100002
ACH-000248,-1.4402072954299998
ACH-000250,-1.74554282192
ACH-000251,-1.5963039647200001
ACH-000253,-1.42007377424
ACH-000255,-1.14881790138
ACH-000256,-1.52646231226
ACH-000257,-1.5839184911500002
ACH-000258,-1.75339225126
ACH-000259,-1.55605815139
ACH-000260,-1.31105451284
ACH-000261,-1.26404404035
ACH-000262,-1.64315581491
ACH-000263,-1.36528563174
ACH-000264,-1.61137042011
ACH-000265,-1.2011753086299999
ACH-000266,-1.5358368479299997
ACH-000272,-1.17423079162
ACH-000273,-1.48219246796
ACH-000274,-1.45877586595
ACH-000277,-1.3394229448100001
ACH-000278,-1.23298978453
ACH-000279,-1.59475428794
ACH-000280,-1.61009906783
ACH-000281,-1.49423019402
ACH-000288,-1.6168206035100001
ACH-000291,-1.24755714173
ACH-000293,-1.2363763330700002
ACH-000294,-1.3314571210200001
ACH-000295,-1.55297188961
ACH-000296,-1.11153884757
ACH-000302,-1.41373774289
ACH-000304,-1.90319568472
ACH-000307,-1.5428236167899998
ACH-000308,-1.29440815627
ACH-000310,-1.39616622051
ACH-000311,-1.61822440339
ACH-000312,-1.2561524157700001
ACH-000315,-1.44137221331
ACH-000316,-1.6439734401800001
ACH-000317,-1.65318993419
ACH-000318,-0.9483052484100001
ACH-000319,-0.949201824921
ACH-000320,-1.03068244653
ACH-000322,-1.46981002995
ACH-000323,-0.9485611382700001
ACH-000324,-1.38457625089
ACH-000329,-1.78174045342
ACH-000330,-1.3146144964700002
ACH-000331,-1.3602932257700002
ACH-000332,-1.39297123158
ACH-000334,-0.9962140314419999
ACH-000335,-1.4236755955899998
ACH-000336,-1.4301157953
ACH-000337,-1.2273835433700002
ACH-000339,-1.27817939192
ACH-000341,-1.5824033908000001
ACH-000348,-1.44148447232
ACH-000350,-1.6751380719799998
ACH-000352,-0.9103463899940001
ACH-000356,-1.49751651093
ACH-000361,-1.32874549396
ACH-000362,-1.7297424329099997
ACH-000363,-1.72237174995
ACH-000364,-1.10352622922
ACH-000365,-1.35297811314
ACH-000366,-1.7048235140099999
ACH-000368,-1.41149274834
ACH-000374,-1.09997691623
ACH-000375,-1.20334600059
ACH-000376,-1.5078503750799999
ACH-000381,-1.12473336547
ACH-000383,-1.3304897759
ACH-000387,-1.59833353136
ACH-000389,-1.44694280647
ACH-000390,-1.58800994782
ACH-000393,-1.5467129403400002
ACH-000395,-0.72292700723
ACH-000397,-1.16697158293
ACH-000401,-1.51824921379
ACH-000402,-1.26964131634
ACH-000403,-1.89305229028
ACH-000404,-1.83290544363
ACH-000406,-1.5136556073899998
ACH-000407,-1.3888988203400001
ACH-000408,-0.7897145549619999
ACH-000410,-1.20868792375
ACH-000411,-1.5557718491499999
ACH-000414,-1.43228023303
ACH-000415,-1.2649423073100001
ACH-000416,-1.41941380826
ACH-000420,-1.4459898838999998
ACH-000421,-1.08005536469
ACH-000424,-1.08193633548
ACH-000425,-1.3612017079299998
ACH-000426,-1.5321435350400001
ACH-000427,-1.2401334870899998
ACH-000433,-1.37088731855
ACH-000436,-1.7498168406999999
ACH-000444,-1.37580513371
ACH-000445,-1.6710238768
ACH-000448,-1.31138176061
ACH-000450,-1.8812367286400002
ACH-000452,-0.975420372818
ACH-000454,-1.58577807962
ACH-000458,-1.48249008886
ACH-000459,-1.56913591508
ACH-000460,-1.2363014646600001
ACH-000461,-1.1697824069
ACH-000463,-1.49222715398
ACH-000464,-1.6394989314300001
ACH-000466,-1.97337009434
ACH-000467,-1.34294288901
ACH-000468,-0.944513442519
ACH-000469,-1.6092653406400002
ACH-000470,-1.62359502139
ACH-000471,-1.5999113033899999
ACH-000472,-1.33032639052
ACH-000473,-1.2941185528799999
ACH-000475,-1.5427739414700001
ACH-000476,-1.4932888545700003
ACH-000477,-2.02438125541
ACH-000480,-0.888430402076
ACH-000481,-1.50364865619
ACH-000483,-0.858963336694
ACH-000484,-1.44952957813
ACH-000485,-1.29408770493
ACH-000486,-1.0362800457899999
ACH-000487,-1.37285804
ACH-000488,-1.27136512776
ACH-000490,-1.1816915678
ACH-000491,-1.31413253951
ACH-000495,-1.71377324821
ACH-000496,-1.04657753345
ACH-000499,-1.6879945479499998
ACH-000500,-1.78714026384
ACH-000502,-1.5870841952899999
ACH-000503,-1.49278330956
ACH-000505,-1.21499747243
ACH-000507,-1.3887839824500001
ACH-000510,-1.00461483238
ACH-000511,-1.58039861846
ACH-000512,-1.56066332916
ACH-000516,-1.01656438388
ACH-000517,-1.46521194812
ACH-000518,-1.67942585481
ACH-000520,-1.2262122793899999
ACH-000521,-1.3427378089300002
ACH-000522,-1.18231644418
ACH-000524,-1.02577219196
ACH-000527,-1.37585755775
ACH-000528,-1.20016583666
ACH-000537,-1.2719885419499999
ACH-000541,-1.4920541362000002
ACH-000542,-1.36930115913
ACH-000544,-1.3072568263600002
ACH-000545,-1.28759940907
ACH-000547,-1.23502899518
ACH-000548,-1.50185986236
ACH-000549,-1.36347246653
ACH-000550,-1.2001235906999999
ACH-000552,-1.2171659551799998
ACH-000556,-0.898679766404
ACH-000557,-1.80639602448
ACH-000570,-1.79214540164
ACH-000571,-1.7918286087000002
ACH-000573,-1.1177012555099999
ACH-000576,-1.2996057776899999
ACH-000580,-1.65987682557
ACH-000584,-1.40276628206
ACH-000585,-1.69007913007
ACH-000588,-1.64619718086
ACH-000589,-0.991909130711
ACH-000591,-1.7021543409600002
ACH-000593,-1.4796584945299998
ACH-000600,-1.87578751199
ACH-000601,-1.35025070441
ACH-000604,-1.61085729448
ACH-000605,-1.13070590183
ACH-000606,-1.14170016409
ACH-000608,-1.48573732563
ACH-000614,-1.7735606716699999
ACH-000616,-0.922858506451
ACH-000618,-1.1164850517
ACH-000619,-1.2752865018000001
ACH-000620,-1.19627569434
ACH-000621,-0.953624997815
ACH-000622,-1.5378134971700002
ACH-000623,-1.8473987066900004
ACH-000624,-1.18506400667
ACH-000627,-1.36844948254
ACH-000630,-1.1843158604700001
ACH-000632,-1.6502945628999999
ACH-000633,-1.58967332009
ACH-000637,-1.14634938386
ACH-000638,-1.38084215831
ACH-000646,-0.990804957525
ACH-000647,-1.04019472422
ACH-000648,-1.78317927765
ACH-000649,-1.7751320520400002
ACH-000651,-1.4452686176700003
ACH-000652,-1.3222987430700002
ACH-000653,-1.5210482415200002
ACH-000657,-1.39697336107
ACH-000658,-1.81840755479
ACH-000661,-1.7123259258
ACH-000662,-1.1220270440200002
ACH-000663,-1.37825069459
ACH-000665,-0.774288342293
ACH-000671,-1.5032669854499998
ACH-000673,-1.06346181896
ACH-000676,-1.51992262491
ACH-000677,-1.39325569568
ACH-000681,-1.3595346861500002
ACH-000682,-1.70832185479
ACH-000683,-1.45937153149
ACH-000684,-1.6893529214899998
ACH-000688,-1.2215885872299999
ACH-000693,-1.00862866504
ACH-000694,-1.16613549883
ACH-000695,-1.8724171997799999
ACH-000696,-1.1696031669700002
ACH-000697,-1.20278078835
ACH-000699,-1.2339318904799998
ACH-000701,-1.60605304882
ACH-000706,-1.45058761493
ACH-000711,-1.0363693543899999
ACH-000713,-1.19349067704
ACH-000714,-1.63691914824
ACH-000718,-1.18114503818
ACH-000720,-1.5424518071899997
ACH-000721,-1.45137790362
ACH-000724,-1.79177019845
ACH-000725,-0.848122573802
ACH-000732,-1.53674820699
ACH-000734,-1.44700634655
ACH-000735,-1.22414962091
ACH-000736,-1.27766523816
ACH-000738,-1.40290375288
ACH-000746,-1.45579734493
ACH-000747,-1.0808807219
ACH-000748,-1.4699996346899997
ACH-000753,-1.14284798841
ACH-000756,-1.63038618425
ACH-000757,-0.9911074690639999
ACH-000758,-1.17322150284
ACH-000760,-1.37343088963
ACH-000763,-2.04135379643
ACH-000764,-1.0319057924200001
ACH-000765,-1.0968086328
ACH-000766,-1.56566898268
ACH-000767,-0.933494462085
ACH-000768,-1.4117367363100002
ACH-000769,-1.43052399181
ACH-000770,-1.4142167671399999
ACH-000771,-1.5419457370899998
ACH-000773,-1.6935281640200002
ACH-000776,-1.56175531461
ACH-000777,-1.5240210089700001
ACH-000778,-1.313960007
ACH-000781,-1.4877981349200002
ACH-000782,-1.3864053866
ACH-000783,-1.8207608274900002
ACH-000784,-1.4503617871099999
ACH-000785,-1.8293174285299998
ACH-000787,-1.39745667872
ACH-000788,-1.4748263519
ACH-000791,-1.3781932536100001
ACH-000792,-1.71827125132
ACH-000794,-1.3840247564800001
ACH-000796,-1.4331167202700001
ACH-000799,-1.26313083449
ACH-000800,-1.5898859517800001
ACH-000802,-1.4098442350799998
ACH-000804,-1.5203620379799998
ACH-000805,-1.39263953791
ACH-000809,-1.4340475239
ACH-000810,-1.38467801663
ACH-000811,-1.0369231614799999
ACH-000817,-1.56470348249
ACH-000819,-1.0186994834
ACH-000820,-1.0364060804100002
ACH-000821,-1.71549002305
ACH-000822,-1.0606221662
ACH-000823,-1.3682801964500002
ACH-000824,-1.5549989244799998
ACH-000827,-1.3384206327500001
ACH-000829,-1.4181031239700002
ACH-000831,-1.1642775073
ACH-000832,-1.26992250502
ACH-000833,-1.4507732180500001
ACH-000834,-1.5743572397
ACH-000835,-1.4221334828799999
ACH-000836,-0.867411034137
ACH-000837,-1.2985390227
ACH-000838,-1.60553957533
ACH-000839,-1.5647138927000002
ACH-000840,-1.14427262909
ACH-000841,-1.34195712444
ACH-000843,-1.41662065982
ACH-000846,-1.26182867376
ACH-000847,-1.24625844986
ACH-000848,-1.31916013686
ACH-000849,-1.7837058851900003
ACH-000851,-1.33531977847
