,GUK1 (2987)
ACH-000004,-1.91678783442
ACH-000007,-1.48827348521
ACH-000009,-1.80643052912
ACH-000011,-1.42004841979
ACH-000012,-1.53215674381
ACH-000013,-1.5409312743
ACH-000014,-1.52300892187
ACH-000015,-1.64574539344
ACH-000017,-1.6921764156999999
ACH-000018,-1.4896688921399999
ACH-000019,-1.08018664817
ACH-000021,-1.39469025034
ACH-000022,-1.6556025776899999
ACH-000025,-1.24662008186
ACH-000028,-1.4651938292500002
ACH-000030,-1.38116892878
ACH-000035,-1.4478826451
ACH-000036,-1.41613880685
ACH-000037,-1.84943399596
ACH-000039,-1.57042196597
ACH-000040,-1.09676120694
ACH-000041,-1.87435232887
ACH-000042,-1.64988925218
ACH-000045,-1.5185263198899999
ACH-000047,-1.4870990345500001
ACH-000052,-1.64635015588
ACH-000053,-1.61025493239
ACH-000054,-1.5100912976700003
ACH-000055,-1.15133468942
ACH-000060,-1.6270264519
ACH-000067,-1.3944079729799999
ACH-000070,-1.41695178572
ACH-000075,-1.19737074412
ACH-000078,-1.59112424968
ACH-000082,-1.0305703392899999
ACH-000085,-1.5880969462799999
ACH-000086,-1.66195923561
ACH-000087,-1.48448855511
ACH-000092,-1.45807937891
ACH-000095,-1.6429686591
ACH-000097,-1.23800860588
ACH-000098,-1.6409974519100001
ACH-000099,-1.60754873391
ACH-000108,-1.63275548856
ACH-000113,-1.23304449848
ACH-000115,-2.48944497367
ACH-000116,-1.1923841467899998
ACH-000118,-1.4862358659900001
ACH-000120,-1.3854435692500002
ACH-000123,-1.6709097421999999
ACH-000127,-1.5063404691799998
ACH-000128,-1.60806327035
ACH-000132,-1.68124761275
ACH-000133,-1.60149858045
ACH-000137,-1.5418793180099999
ACH-000138,-1.4854825244
ACH-000142,-1.64726073891
ACH-000143,-1.42421008023
ACH-000146,-1.3907598225
ACH-000148,-1.43762895065
ACH-000150,-1.57654234623
ACH-000152,-1.8574985667800001
ACH-000153,-1.19564860925
ACH-000159,-1.4672632544400002
ACH-000160,-1.87025561492
ACH-000163,-1.05205986254
ACH-000167,-2.0967547126099997
ACH-000168,-1.78034094126
ACH-000169,-1.6332249086300001
ACH-000178,-1.48196068753
ACH-000182,-1.34521989667
ACH-000183,-1.34016005881
ACH-000188,-1.51222704958
ACH-000189,-1.4174720354199999
ACH-000190,-1.4113174792399998
ACH-000198,-1.3704755970200002
ACH-000204,-1.4817431492700002
ACH-000206,-1.49524032265
ACH-000207,-1.6008173532700003
ACH-000211,-1.7475753852400002
ACH-000215,-1.52381058493
ACH-000221,-1.58389879705
ACH-000222,-1.83161611295
ACH-000223,-1.5728615573700002
ACH-000226,-1.4306265639700002
ACH-000227,-1.51023643955
ACH-000228,-1.32380365595
ACH-000231,-1.62834285751
ACH-000232,-1.52438776935
ACH-000233,-1.5643551859399998
ACH-000234,-1.54568409062
ACH-000235,-1.5325539665
ACH-000237,-1.5349645643799998
ACH-000238,-1.42095909863
ACH-000243,-1.5205315193399997
ACH-000244,-1.21979465802
ACH-000246,-1.3680106175100002
ACH-000248,-1.34434845482
ACH-000250,-1.51373671059
ACH-000251,-1.65716259662
ACH-000253,-1.5669653882199999
ACH-000255,-1.4969200582100002
ACH-000256,-1.6625583566600002
ACH-000257,-1.67255942889
ACH-000258,-1.2926442464299999
ACH-000259,-1.42881071747
ACH-000260,-1.58477605757
ACH-000261,-1.65142666206
ACH-000262,-1.7481853598599997
ACH-000263,-2.01585500884
ACH-000264,-1.9099960166699999
ACH-000265,-1.5835946510799999
ACH-000266,-1.50854206695
ACH-000272,-1.57007971099
ACH-000273,-1.64290281429
ACH-000274,-1.6022234275999998
ACH-000277,-1.5869115473
ACH-000278,-1.57983101118
ACH-000279,-1.7310279342700001
ACH-000280,-1.40877087613
ACH-000281,-1.78936232689
ACH-000288,-1.6639684049899999
ACH-000291,-1.2829888307
ACH-000293,-1.72141815547
ACH-000294,-2.00925584201
ACH-000295,-2.16444913284
ACH-000296,-1.7005118813799998
ACH-000302,-1.57204551395
ACH-000304,-1.58178865833
ACH-000307,-1.42071304444
ACH-000308,-1.57664563404
ACH-000310,-1.67609258907
ACH-000311,-1.59914431856
ACH-000312,-1.5778182134399998
ACH-000315,-1.56879822921
ACH-000316,-1.58011790995
ACH-000317,-1.30901150456
ACH-000318,-1.36365610807
ACH-000319,-1.67884393296
ACH-000320,-1.81583462253
ACH-000322,-1.20139528935
ACH-000323,-1.8410558656
ACH-000324,-1.4577039836899999
ACH-000329,-1.39564726913
ACH-000330,-1.45038046211
ACH-000331,-1.3024344664799998
ACH-000332,-1.54141977578
ACH-000334,-1.73984917594
ACH-000335,-1.6426673876
ACH-000336,-1.5960397083200002
ACH-000337,-1.4643242490200001
ACH-000339,-1.5594935583899998
ACH-000341,-1.9786335909900001
ACH-000348,-1.23466089536
ACH-000350,-1.43677116771
ACH-000352,-1.30829607905
ACH-000356,-1.8140166754
ACH-000361,-1.70408899808
ACH-000362,-1.5065391741799998
ACH-000363,-1.3887214350100001
ACH-000364,-1.4806176594999998
ACH-000365,-1.58514341106
ACH-000366,-1.52886104509
ACH-000368,-1.14923979443
ACH-000374,-1.5986237409200001
ACH-000375,-1.68625448227
ACH-000376,-1.78196916688
ACH-000381,-1.8008225929099997
ACH-000383,-1.8632492992700003
ACH-000387,-1.6314491310400001
ACH-000389,-1.50690121119
ACH-000390,-2.0530383077
ACH-000393,-1.5809691342899999
ACH-000395,-1.8457593638099998
ACH-000397,-1.5769321176700002
ACH-000401,-1.4201611489200001
ACH-000402,-1.5134818388
ACH-000403,-1.57058703609
ACH-000404,-1.57184440039
ACH-000406,-1.5054636332100002
ACH-000407,-1.36315742792
ACH-000408,-1.7199869371599998
