,CUBN (8029)
ACH-000004,-0.324605329513
ACH-000007,-0.507745498146
ACH-000009,-0.246490779452
ACH-000011,-0.006011584488100001
ACH-000012,-0.10299704611600001
ACH-000013,-0.188925299764
ACH-000014,-0.362789488472
ACH-000015,-0.258508966674
ACH-000017,-0.231785864789
ACH-000018,-0.12370595660999999
ACH-000019,-0.0884120846725
ACH-000021,-0.350175790418
ACH-000022,-0.10375534893300001
ACH-000025,-0.09351453254249999
ACH-000028,-0.328303126015
ACH-000030,-0.262174625742
ACH-000035,-0.208418218057
ACH-000036,-0.322699541778
ACH-000037,-0.312690531794
ACH-000039,-0.301396014127
ACH-000040,0.054792347373400004
ACH-000041,-0.343691165264
ACH-000042,-0.235848964095
ACH-000045,-0.26459408077
ACH-000047,-0.0723814499209
ACH-000052,0.0414910070747
ACH-000053,-0.17156368270300001
ACH-000054,-0.288342702254
ACH-000055,-0.188766602176
ACH-000060,-0.285737683024
ACH-000067,-0.09625114772110001
ACH-000070,-0.433084969595
ACH-000075,-0.0757997140592
ACH-000078,-0.190674430986
ACH-000082,-0.312797834825
ACH-000085,-0.204042208312
ACH-000086,-0.160660841877
ACH-000087,-0.032727277254
ACH-000092,-0.174821068147
ACH-000095,-0.197638679629
ACH-000097,-0.284827092064
ACH-000098,-0.30007730802099997
ACH-000099,-0.32247745309799997
ACH-000108,-0.125825241437
ACH-000113,-0.22578949569499998
ACH-000115,-0.21433986320999998
ACH-000116,-0.0413633585872
ACH-000118,-0.160782956843
ACH-000120,-0.164355109452
ACH-000123,-0.192234381083
ACH-000127,-0.188300429188
ACH-000128,-0.202747611957
ACH-000132,-0.402469076167
ACH-000133,-0.270738769782
ACH-000137,-0.164943182663
ACH-000138,-0.217277390181
ACH-000142,-0.0724063932985
ACH-000143,-0.232389124534
ACH-000146,-0.292505337214
ACH-000148,-0.369814545497
ACH-000150,-0.332063192222
ACH-000152,-0.161937924968
ACH-000153,-0.578586547048
ACH-000159,-0.17950886985199999
ACH-000160,-0.203376838839
ACH-000163,-0.165032801763
ACH-000167,-0.00332811064288
ACH-000168,-0.16467262572799998
