,PTAR1 (375743)
ACH-000004,-0.65575723488
ACH-000007,-0.560921901347
ACH-000009,-0.8456031252699999
ACH-000011,-0.639834975181
ACH-000012,-0.311047061234
ACH-000013,-0.298024387367
ACH-000014,-0.0781492232034
ACH-000015,-0.964253080036
ACH-000017,-0.246376937613
ACH-000018,-0.311896474004
ACH-000019,-0.35958973626999996
ACH-000021,-0.996204526503
ACH-000022,-0.330857464811
ACH-000025,-0.581529055273
ACH-000028,-0.481110824521
ACH-000030,-0.492064707403
ACH-000035,-0.485693640187
ACH-000036,-0.315235892396
ACH-000037,-0.546428310123
ACH-000039,-0.5035289542629999
ACH-000040,-0.8186448803049999
ACH-000041,-0.274660837761
ACH-000042,-0.0983664757251
ACH-000045,-0.20509038850400002
ACH-000047,-0.135103089179
ACH-000052,-0.458049927369
ACH-000053,-0.415746045811
ACH-000054,-0.24404148610100002
ACH-000055,-0.38668355841799995
ACH-000060,-0.571358945455
ACH-000067,0.253330870659
ACH-000070,-0.735158516721
ACH-000075,-0.38480062899800005
ACH-000078,-0.20605209894200002
ACH-000082,-0.610114503296
ACH-000085,-0.345144703288
ACH-000086,-0.714149653458
ACH-000087,-0.747282305132
ACH-000092,-0.506889974456
ACH-000095,-0.7402966687420001
ACH-000097,-0.210065916927
ACH-000098,-0.232359594518
ACH-000099,-0.38873851467
ACH-000108,-0.505602225073
ACH-000113,-0.591143803443
ACH-000115,-0.683908057442
ACH-000116,-0.309830952
ACH-000118,-0.531372652124
ACH-000120,-0.29784633476
ACH-000123,-0.53566845609
ACH-000127,-0.7710979739139999
ACH-000128,-0.487963808998
ACH-000132,-0.5100641466520001
ACH-000133,-0.6135246171909999
ACH-000137,-0.354458457981
ACH-000138,-0.640101097895
ACH-000142,-0.604641571284
ACH-000143,-0.7916513143
ACH-000146,-0.41984087635899997
ACH-000148,-0.483820597796
ACH-000150,-0.45786589906499997
ACH-000152,-0.38617166485699994
ACH-000153,-0.49713989077799997
ACH-000159,-0.37098039645099995
ACH-000160,-0.508517729569
ACH-000163,-0.158299496924
ACH-000167,-0.7300273444650001
ACH-000168,-0.7521540139030001
ACH-000169,-0.21316669563299998
