,MTBP (27085)
ACH-000004,-1.3940225426100001
ACH-000007,-1.35946483119
ACH-000009,-1.90701478727
ACH-000011,-1.57813995162
ACH-000012,-1.6280318276499999
ACH-000013,-1.72088265355
ACH-000014,-1.6517973034399998
ACH-000015,-1.35067527057
ACH-000017,-1.1809298882500001
ACH-000018,-1.4562398579
ACH-000019,-1.437703194
ACH-000021,-1.39456923391
ACH-000022,-1.6352867284600001
ACH-000025,-1.36472767891
ACH-000028,-1.39051936049
ACH-000030,-1.5609166032600001
ACH-000035,-1.18772376912
ACH-000036,-1.54456355497
ACH-000037,-0.658964910142
ACH-000039,-1.42925697623
ACH-000040,-1.60751383544
ACH-000041,-1.2485379989799998
ACH-000042,-1.48614191926
ACH-000045,-1.48725877227
ACH-000047,-1.6161107728200002
ACH-000052,-1.62025661463
ACH-000053,-1.80087486762
ACH-000054,-1.72967697996
ACH-000055,-1.65522499806
ACH-000060,-1.39795535529
ACH-000067,-1.27919084878
ACH-000070,-1.74509016032
ACH-000075,-1.5389572134799998
ACH-000078,-1.66172417931
ACH-000082,-1.40856448167
ACH-000085,-1.7042006813600001
ACH-000086,-1.42136514361
ACH-000087,-1.3138927994299998
ACH-000092,-1.71844696034
ACH-000095,-1.83566773183
ACH-000097,-1.56667882258
ACH-000098,-1.64222239338
ACH-000099,-1.80685906477
ACH-000108,-1.66031622946
ACH-000113,-1.4446483137900001
ACH-000115,-1.5141538734600002
ACH-000116,-1.5087621275100003
ACH-000118,-1.53131726278
ACH-000120,-1.77157503969
ACH-000123,-1.5528484168399999
ACH-000127,-1.54692411597
ACH-000128,-1.56704957178
ACH-000132,-1.5654322129499998
ACH-000133,-1.43684449414
ACH-000137,-1.62716030325
ACH-000138,-1.57092987693
ACH-000142,-1.63787496066
ACH-000143,-1.2283585825
ACH-000146,-1.7736507144599998
ACH-000148,-1.3250485537299999
ACH-000150,-1.76147793846
ACH-000152,-1.36906949937
ACH-000153,-1.07100087328
ACH-000159,-1.7766354399700002
ACH-000160,-1.89966506562
ACH-000163,-1.25113274335
ACH-000167,-1.6361284037900001
ACH-000168,-1.56786724815
ACH-000169,-1.50794549648
ACH-000178,-1.32557104854
ACH-000182,-1.9039442570400003
ACH-000183,-1.70255443216
ACH-000188,-1.23604140248
ACH-000189,-1.34138648
ACH-000190,-1.66657849693
ACH-000198,-1.4636016937
ACH-000204,-1.59950993551
ACH-000206,-1.2463036143200001
ACH-000207,-1.86526424379
ACH-000211,-1.3959696038999998
ACH-000215,-1.8206721532700003
ACH-000221,-1.48601089685
ACH-000222,-1.78889372045
ACH-000223,-1.80573575142
ACH-000226,-1.4482228105000001
ACH-000227,-2.25595703937
ACH-000228,-1.38113837093
ACH-000231,-1.62431066595
ACH-000232,-1.55974200337
ACH-000233,-1.61314931201
ACH-000234,-1.4680428097999998
ACH-000235,-1.57055872872
ACH-000237,-1.47747618444
ACH-000238,-1.7377167736099997
ACH-000243,-1.55865102688
ACH-000244,-1.51252349914
ACH-000246,-1.2925615162100001
ACH-000248,-1.1077575241500002
ACH-000250,-1.50689620885
ACH-000251,-1.90210656898
ACH-000253,-1.5954431772600002
ACH-000255,-1.20378080645
ACH-000256,-1.8888102077200002
ACH-000257,-1.4641240252
ACH-000258,-2.19442595763
ACH-000259,-1.65037898357
ACH-000260,-1.42480995574
ACH-000261,-1.50294928836
ACH-000262,-1.51082229207
ACH-000263,-1.69668071791
ACH-000264,-1.7576037306099999
ACH-000265,-1.19522467901
ACH-000266,-1.72358739436
ACH-000272,-1.6615793116
ACH-000273,-1.6333484302799999
ACH-000274,-1.9346010235099997
ACH-000277,-1.35359396209
ACH-000278,-1.07548530306
ACH-000279,-1.7989865593799998
ACH-000280,-1.35332392464
ACH-000281,-1.69999191954
ACH-000288,-1.3554498386700002
ACH-000291,-1.4955318635600001
ACH-000293,-1.664695442
ACH-000294,-2.00279336731
ACH-000295,-1.59472909941
ACH-000296,-1.53164938389
ACH-000302,-1.68789311183
ACH-000304,-1.63698301966
ACH-000307,-1.49699748132
ACH-000308,-1.8216591498900003
ACH-000310,-2.06876710949
ACH-000311,-1.69461535116
ACH-000312,-1.66604725235
ACH-000315,-1.61280761249
ACH-000316,-1.60847916977
ACH-000317,-1.3847259075799998
ACH-000318,-1.04966950247
ACH-000319,-1.49468770314
ACH-000320,-1.7410711825299998
ACH-000322,-1.48518619343
ACH-000323,-1.51034407661
ACH-000324,-1.58035867614
ACH-000329,-1.6142055204299999
ACH-000330,-1.2638082274299998
ACH-000331,-1.29448638419
ACH-000332,-1.4442106869999998
ACH-000334,-2.18428380081
ACH-000335,-1.45859096643
ACH-000336,-1.3800393863999998
ACH-000337,-1.38459056239
ACH-000339,-1.69528410174
ACH-000341,-1.3122266958700002
ACH-000348,-1.5468710844
ACH-000350,-1.74781165241
ACH-000352,-1.24844086369
ACH-000356,-1.49790376271
ACH-000361,-1.4488663757700002
ACH-000362,-1.27053925454
ACH-000363,-1.69924483241
ACH-000364,-1.4648130458500002
ACH-000365,-1.80804635942
ACH-000366,-1.48249226347
ACH-000368,-1.4454688529100002
ACH-000374,-1.40534968321
ACH-000375,-1.36210004921
ACH-000376,-1.28615062575
ACH-000381,-1.6559749852799999
ACH-000383,-1.9037014807900003
ACH-000387,-1.53317886544
ACH-000389,-1.41746388657
ACH-000390,-1.68462856696
ACH-000393,-1.6386424300100002
ACH-000395,-1.32332368952
ACH-000397,-1.4929619754299999
ACH-000401,-1.4875942613600002
ACH-000402,-1.9644894870700003
ACH-000403,-2.02483129462
ACH-000404,-1.6736201748100001
ACH-000406,-1.59477128139
ACH-000407,-1.64501358568
ACH-000408,-1.35954256177
ACH-000410,-1.31025579218
ACH-000411,-1.36497995554
ACH-000414,-1.36518341148
ACH-000415,-1.33035207433
ACH-000416,-1.5185941648899999
ACH-000420,-1.30669309489
ACH-000421,-1.52639707424
ACH-000424,-1.40111758088
ACH-000425,-1.65916769882
ACH-000426,-1.50285419432
ACH-000427,-1.5608256328999999
ACH-000433,-1.2310679548
ACH-000436,-1.26426757435
ACH-000444,-1.6319081197999998
ACH-000445,-1.4351501380899998
ACH-000448,-1.34520629144
ACH-000450,-1.46319136164
ACH-000452,-1.79789892914
ACH-000454,-1.23266822353
ACH-000458,-1.30451098431
ACH-000459,-1.17601734933
ACH-000460,-1.49972534885
ACH-000461,-1.2038906384
ACH-000463,-1.5424207047100003
ACH-000464,-1.94007940572
ACH-000466,-1.23444345829
ACH-000467,-1.55147340235
ACH-000468,-1.75044406088
ACH-000469,-1.5742062676
ACH-000470,-1.7992930594999998
ACH-000471,-1.71219480286
ACH-000472,-2.01768183532
ACH-000473,-1.6506323211000002
ACH-000475,-1.7483931282099998
