,ZBTB7B (51043)
ACH-000004,0.100635860844
ACH-000007,-0.41260260706
ACH-000009,-0.31147318530900003
ACH-000011,-0.01108382429
ACH-000012,-0.173050747007
ACH-000013,-0.287705188728
ACH-000014,-0.0905200740917
ACH-000015,-0.300185402832
ACH-000017,-0.414161315012
ACH-000018,-0.22589715666700003
ACH-000019,-0.3945341007
ACH-000021,-0.35790049990199996
ACH-000022,-0.213426445805
ACH-000025,-0.229953480718
ACH-000028,-0.1412100256
ACH-000030,-0.23587630695999998
ACH-000035,-0.24495157524500002
ACH-000036,-0.24070516789000002
ACH-000037,-0.485121622541
ACH-000039,0.057882197345000004
ACH-000040,-0.277791241601
ACH-000041,-0.169727021269
ACH-000042,-0.37925531213799996
ACH-000045,0.232720529328
ACH-000047,-0.332940878366
ACH-000052,-0.40437653991800004
ACH-000053,-0.442483840227
ACH-000054,-0.19611970574999998
ACH-000055,-0.17387360925599998
ACH-000060,-0.182913774614
ACH-000067,-0.209474224983
ACH-000070,-0.119042554558
ACH-000075,-0.325668017734
ACH-000078,-0.221829407095
ACH-000082,-0.264707153678
ACH-000085,-0.358673582507
ACH-000086,-0.353348165123
ACH-000087,-0.16791903628600002
ACH-000092,-0.323680345664
ACH-000095,-0.147067579902
ACH-000097,-0.655325100533
ACH-000098,-0.121647192546
ACH-000099,-0.25638795782900003
ACH-000108,-0.33674448510300004
ACH-000113,-0.462141902774
ACH-000115,-1.4877513293
ACH-000116,-0.10058237173800001
ACH-000118,-0.435039792384
ACH-000120,-0.19077458405099998
ACH-000123,-0.490780033753
ACH-000127,-0.211205234258
ACH-000128,-0.301333132498
ACH-000132,-0.280350129811
ACH-000133,-0.314563289513
ACH-000137,-0.205512815364
ACH-000138,-0.128611216119
ACH-000142,-0.0791818373102
ACH-000143,-0.114265952684
ACH-000146,-0.0695900492979
ACH-000148,-0.424742951342
ACH-000150,-0.14413650893
ACH-000152,-0.0877337220379
ACH-000153,-0.32227423870099997
ACH-000159,-0.179505548813
ACH-000160,-0.223373001886
ACH-000163,-0.275367687034
ACH-000167,-0.116199247351
ACH-000168,-0.11134936067399999
ACH-000169,-0.291251885682
ACH-000178,-0.0890850306575
ACH-000182,-0.15022095889
ACH-000183,-0.234081298345
ACH-000188,-0.363033056526
ACH-000189,-0.5435178890969999
ACH-000190,-0.158234379702
ACH-000198,-0.37539127458000005
ACH-000204,-0.578634226815
ACH-000206,-0.0353470294931
ACH-000207,-0.320089571889
ACH-000211,-0.21607468231
ACH-000215,-0.366230867681
ACH-000221,-0.102712075383
ACH-000222,-0.490427239325
ACH-000223,-0.12806129298399999
ACH-000226,-0.21733261752799998
ACH-000227,-0.435312912153
ACH-000228,-0.229329127834
ACH-000231,-0.396652950765
ACH-000232,-0.203254031695
ACH-000233,-0.452265823399
ACH-000234,-0.0801572526191
ACH-000235,-0.5306380484409999
ACH-000237,-0.35760349059
ACH-000238,-0.116235664223
ACH-000243,-0.291983878525
ACH-000244,-0.331376628472
ACH-000246,-0.401261053285
ACH-000248,-0.292173221683
