,UHRF1BP1L (23074)
ACH-000004,0.33463509237100003
ACH-000007,0.050174270671499994
ACH-000009,0.00799824438541
ACH-000011,0.198078701353
ACH-000012,0.213117940361
ACH-000013,0.23090696306400002
ACH-000014,0.210858825168
ACH-000015,0.189170264464
ACH-000017,0.18386726099
ACH-000018,0.280705139474
ACH-000019,0.18582835776099998
ACH-000021,0.006473728131029999
ACH-000022,0.09936732041639998
ACH-000025,0.053157736389300006
ACH-000028,0.234103398633
ACH-000030,0.172067214598
ACH-000035,0.25280441900600004
ACH-000036,0.230516375825
ACH-000037,0.18994474167
ACH-000039,0.325762336443
ACH-000040,0.22472495621
ACH-000041,0.0071760353822600004
ACH-000042,0.141699980088
ACH-000045,0.280478730152
ACH-000047,0.180080035705
ACH-000052,0.131862096936
ACH-000053,0.11617422113
ACH-000054,0.21773494137
ACH-000055,0.0120252666007
ACH-000060,0.0848269569988
ACH-000067,-0.0304680653297
ACH-000070,-0.012936228042699999
ACH-000075,0.188114705245
ACH-000078,0.29850370494
ACH-000082,0.0420728975792
ACH-000085,0.180614066343
ACH-000086,0.08452771472330001
ACH-000087,0.25054592439
ACH-000092,0.19303764216299998
ACH-000095,0.159458466472
ACH-000097,0.09631548759
ACH-000098,0.128060950887
ACH-000099,0.25484735972
ACH-000108,0.167333254441
ACH-000113,0.10993620660999999
ACH-000115,0.06347197322380001
ACH-000116,0.204588094703
ACH-000118,0.0697222494655
ACH-000120,0.246708719104
ACH-000123,0.024817757917299996
ACH-000127,0.164425075364
ACH-000128,0.07461550489910002
ACH-000132,0.345141745908
ACH-000133,0.101339317784
ACH-000137,0.0532351701219
ACH-000138,0.089948648577
ACH-000142,0.10305285618999999
ACH-000143,0.156396242531
ACH-000146,0.134956826768
ACH-000148,0.129962583089
ACH-000150,0.0997672644775
ACH-000152,0.0429740715745
ACH-000153,0.259205565383
ACH-000159,0.10929142158199999
ACH-000160,0.0155102933384
ACH-000163,0.430142070604
ACH-000167,0.0621063221832
ACH-000168,0.14570049356599998
ACH-000169,-0.023053601905400005
ACH-000178,0.11750760412799999
ACH-000182,0.0831353900043
ACH-000183,0.101511761361
ACH-000188,0.176198512034
ACH-000189,0.37091703522200004
ACH-000190,0.16646935859
ACH-000198,0.17912582775
ACH-000204,0.17471035639899998
ACH-000206,-0.019698358553400002
ACH-000207,0.118167535665
ACH-000211,0.043543886818000005
ACH-000215,0.211478852582
ACH-000221,0.139922964907
ACH-000222,-0.05858294890319999
ACH-000223,0.08750965325610001
ACH-000226,0.138260085758
ACH-000227,0.227218044541
ACH-000228,0.023607938654499998
ACH-000231,0.105996169851
ACH-000232,0.0681665127828
ACH-000233,0.21221533260000003
ACH-000234,-0.056165949725000004
ACH-000235,0.050685147785300005
ACH-000237,0.128120381823
ACH-000238,-0.012872012613500001
ACH-000243,0.138030464214
ACH-000244,0.0714982752147
ACH-000246,0.221336864747
ACH-000248,0.0831724212566
ACH-000250,0.121671355994
ACH-000251,0.207197491703
ACH-000253,0.166121590282
ACH-000255,0.28726149752700003
ACH-000256,0.157972045037
ACH-000257,0.306710955061
ACH-000258,0.271975306063
ACH-000259,0.145555953302
ACH-000260,0.200159286026
ACH-000261,0.0855349187882
ACH-000262,0.024696359040599997
ACH-000263,0.117340478356
ACH-000264,0.264110309355
ACH-000265,0.0300988979916
ACH-000266,0.0654173068262
ACH-000272,0.177742102632
ACH-000273,0.125850863049
ACH-000274,0.052977284439500005
ACH-000277,-0.0707429011173
ACH-000278,0.0715449591709
ACH-000279,0.0946119416195
ACH-000280,0.08279083504939999
ACH-000281,0.0997496060845
ACH-000288,0.0241060859932
ACH-000291,0.243793831536
ACH-000293,0.155872418168
ACH-000294,0.190805358398
ACH-000295,0.0163732547001
ACH-000296,-0.056817556839699995
ACH-000302,0.09176585532019998
ACH-000304,0.10250299380200001
ACH-000307,0.166308098061
ACH-000308,0.148353636824
ACH-000310,0.170473782165
ACH-000311,-0.0857262524927
ACH-000312,0.19064341176600003
ACH-000315,0.009079826400709999
ACH-000316,0.0907797238214
ACH-000317,0.283797450369
ACH-000318,-0.0373224979944
ACH-000319,0.18957188450999998
ACH-000320,0.07563243003669999
ACH-000322,-0.09420563863260001
ACH-000323,0.044478150671499996
