,HAPLN2 (60484)
ACH-000004,-0.243456985174
ACH-000007,-0.622425892235
ACH-000009,-0.484999915774
ACH-000011,-0.410876247914
ACH-000012,-0.48802744494499994
ACH-000013,-0.579111070481
ACH-000014,-0.484130237988
ACH-000015,-0.306563603854
ACH-000017,-0.744708001306
ACH-000018,-0.40637284799999995
ACH-000019,-0.624050310131
ACH-000021,-0.46974904623999997
ACH-000022,-0.390366777567
ACH-000025,-0.669996193789
ACH-000028,-0.533821692138
ACH-000030,-0.39635319523400003
ACH-000035,-0.427858363036
ACH-000036,-0.610150083583
ACH-000037,-0.500771604651
ACH-000039,-0.58665264483
ACH-000040,-0.28193886657699996
ACH-000041,-0.190036953063
ACH-000042,-0.35712265021399997
ACH-000045,-0.396032365901
ACH-000047,-0.629127229314
ACH-000052,-0.413842175655
ACH-000053,-0.468061591631
ACH-000054,-0.370863081667
ACH-000055,-0.382554841934
ACH-000060,-0.639870893486
ACH-000067,-0.201109366079
ACH-000070,-0.339390485418
ACH-000075,-0.37874259430600005
ACH-000078,-0.53071815148
ACH-000082,-0.525834029989
ACH-000085,-0.41164904281099995
ACH-000086,-0.873506602759
ACH-000087,-0.327822800361
ACH-000092,-0.57507956045
ACH-000095,-0.349207397121
ACH-000097,-0.530575054237
ACH-000098,-0.510300980784
ACH-000099,-0.34131691270000003
ACH-000108,-0.622053783239
ACH-000113,-0.343293831845
ACH-000115,-0.180112216999
ACH-000116,-0.407254893787
ACH-000118,-0.49361224035400003
ACH-000120,-0.5590952832680001
ACH-000123,-0.318312680783
ACH-000127,-0.511611403328
ACH-000128,-0.350605543134
ACH-000132,-0.5390969146710001
ACH-000133,-0.677181471196
ACH-000137,-0.30592821714
ACH-000138,-0.27863678210799997
ACH-000142,-0.565306150516
ACH-000143,-0.367544928319
ACH-000146,-0.410186327716
ACH-000148,-0.479693924353
ACH-000150,-0.605922907347
ACH-000152,-0.34303308547600003
ACH-000153,-0.368061728842
ACH-000159,-0.42201154368199995
ACH-000160,-0.188981307958
ACH-000163,-0.478170955863
ACH-000167,-0.547485659898
ACH-000168,-0.43281669448999993
ACH-000169,-0.37278864084299995
ACH-000178,-0.44594259462200003
ACH-000182,-0.358737747623
ACH-000183,-0.403547383326
ACH-000188,-0.5385234906399999
ACH-000189,-0.507044550022
ACH-000190,-0.400959826975
ACH-000198,-0.401077366973
ACH-000204,-0.859855839272
ACH-000206,-0.332901386176
ACH-000207,-0.052573387106
ACH-000211,-0.371536364141
ACH-000215,-0.417161624205
ACH-000221,-0.242831095535
ACH-000222,-0.46788995287
ACH-000223,-0.413533231179
ACH-000226,-0.290924794646
ACH-000227,0.0802785333786
ACH-000228,-0.526371338843
ACH-000231,-0.43923925284299997
ACH-000232,-0.394220532738
ACH-000233,-0.376650076804
ACH-000234,-0.574648282267
ACH-000235,-0.6357653179789999
ACH-000237,-0.45663077685099995
ACH-000238,-0.35256897900899997
ACH-000243,-0.454852777669
ACH-000244,-0.5787237587399999
ACH-000246,-0.597343942241
ACH-000248,-0.5052797977319999
ACH-000250,-0.380193156566
ACH-000251,-0.47771377196500003
ACH-000253,-0.353499968442
ACH-000255,-0.530289932017
ACH-000256,-0.475971740699
ACH-000257,-0.0283532915813
ACH-000258,-0.7614455238850001
ACH-000259,-0.5811517639989999
ACH-000260,-0.46611091515
ACH-000261,-0.320512502272
ACH-000262,-0.508096921479
ACH-000263,-0.516167326796
ACH-000264,-0.629459990471
ACH-000265,-0.302097588314
ACH-000266,-0.556663931042
ACH-000272,-0.38233773308799995
ACH-000273,-0.471408713878
ACH-000274,-0.21300260213199998
ACH-000277,-0.423288442191
ACH-000278,-0.463440171777
ACH-000279,-0.275247478655
ACH-000280,-0.480893480306
ACH-000281,-0.458366281566
ACH-000288,-0.572698810401
ACH-000291,-0.419048200829
ACH-000293,-0.493918675102
ACH-000294,-0.21272896271699998
ACH-000295,-0.524126734869
ACH-000296,-0.44049725350100005
ACH-000302,-0.36212922611500004
ACH-000304,-0.304322039507
ACH-000307,-0.369978493255
ACH-000308,-0.5723184524539999
ACH-000310,-0.5453488709250001
ACH-000311,-0.8852778632870001
ACH-000312,-0.339857309096
ACH-000315,-0.229387430494
ACH-000316,-0.503015333133
ACH-000317,-0.44178149174599995
ACH-000318,-0.46405729676299995
ACH-000319,-0.454248154244
ACH-000320,-0.687955384587
ACH-000322,-0.820263837765
ACH-000323,-0.202291003112
ACH-000324,-0.37648932449199995
ACH-000329,-0.499520280124
ACH-000330,-0.443937942826
ACH-000331,-0.23925995156899998
ACH-000332,-0.490325922443
ACH-000334,-0.296256700513
ACH-000335,-0.265322476601
ACH-000336,-0.463028583544
ACH-000337,-0.764428637811
ACH-000339,-0.40471041673299996
ACH-000341,-0.371168877826
ACH-000348,-0.381721362345
ACH-000350,-0.6760482182850001
ACH-000352,-0.582241435194
ACH-000356,-0.619508471924
ACH-000361,-0.47656224783699996
ACH-000362,-0.362852133772
ACH-000363,-0.331628459403
ACH-000364,-0.256239975241
ACH-000365,-0.31312546925
ACH-000366,-0.33745657417499997
ACH-000368,-0.543230014475
ACH-000374,-0.32709156661
ACH-000375,-0.49731200083899996
ACH-000376,-0.468478136686
ACH-000381,-0.666496356575
ACH-000383,-0.632229579666
ACH-000387,-0.275136846134
ACH-000389,-0.36993465653200003
ACH-000390,-0.549588494727
ACH-000393,-0.19113685035300002
ACH-000395,-0.402870009201
ACH-000397,-0.432641758935
ACH-000401,-0.517736181482
ACH-000402,-0.436650973622
ACH-000403,-0.483573066231
ACH-000404,-0.533433618703
ACH-000406,-0.34079373288099996
ACH-000407,-0.522329044017
ACH-000408,-0.33238854092
ACH-000410,-0.530032527396
ACH-000411,-0.504920544106
ACH-000414,-0.618842232818
ACH-000415,-0.43856429671499997
ACH-000416,-0.647697275155
ACH-000420,-0.629679703113
ACH-000421,-0.29378827858
ACH-000424,-0.445824567719
ACH-000425,-0.550517022768
ACH-000426,-0.41522273920999997
ACH-000427,-0.391385966765
ACH-000433,-0.674375116294
ACH-000436,-0.552004339723
ACH-000444,-0.263571836641
ACH-000445,-0.429170562352
ACH-000448,-0.571788736683
ACH-000450,-0.35054685479000003
ACH-000452,-0.298346589145
ACH-000454,-0.515754526127
ACH-000458,-0.5183163103639999
ACH-000459,-0.0355992813983
ACH-000460,-0.462034139562
ACH-000461,-0.296922152161
ACH-000463,-0.5308440347110001
ACH-000464,-0.716676497524
ACH-000466,-0.41862597358599996
ACH-000467,-0.6895658089100001
ACH-000468,-0.765082785349
ACH-000469,-0.37672908408600003
ACH-000470,-0.31610475062
ACH-000471,-0.340977089747
ACH-000472,-0.286112598223
ACH-000473,-0.548106227442
ACH-000475,-0.486117068619
ACH-000476,-0.355244947888
ACH-000477,-0.44872305919
ACH-000480,-0.700331801245
ACH-000481,-0.34558557386100003
ACH-000483,-0.33320235839699996
ACH-000484,-0.865791235213
ACH-000485,-0.182279949233
ACH-000486,-0.518177697664
ACH-000487,-0.376607893952
ACH-000488,-0.535030394137
ACH-000490,-0.571059793038
ACH-000491,-0.277606896734
ACH-000495,-0.462600877876
ACH-000496,-0.557983188157
ACH-000499,-0.0857230400592
ACH-000500,-0.5828753614
ACH-000502,-0.650337312503
ACH-000503,-0.188956897137
ACH-000505,-0.573577081619
ACH-000507,-0.235629809417
ACH-000510,-0.517417141663
ACH-000511,-0.343800964288
ACH-000512,-0.270755768184
ACH-000516,-0.36339450243
ACH-000517,-0.379920208464
ACH-000518,-0.413079801712
ACH-000520,-0.466079880282
ACH-000521,-0.749133595575
ACH-000522,-0.5077159461649999
ACH-000524,-0.47730236274
ACH-000527,-0.451649527484
ACH-000528,-0.40624835776900003
ACH-000537,-0.35644207200000005
ACH-000541,-0.38609307038199997
ACH-000542,-0.44290009324100005
ACH-000544,-0.433533170244
ACH-000545,-0.271111405833
ACH-000547,-0.33138483078000003
ACH-000548,-0.741705921599
ACH-000549,-0.289068885275
ACH-000550,-0.302139411217
ACH-000552,-0.216409852261
ACH-000556,-0.494432999401
ACH-000557,-0.402889102522
ACH-000570,-0.242217840292
ACH-000571,-0.585605759962
ACH-000573,-0.34697396800499997
ACH-000576,-0.418648483528
ACH-000580,-0.584051950708
ACH-000584,-0.267141098088
ACH-000585,-0.35364823531499995
ACH-000588,-0.272707104525
ACH-000589,-0.423337692245
ACH-000591,-0.0725606832493
ACH-000593,-0.648015725367
ACH-000600,-0.653343189715
ACH-000601,-0.665720939192
ACH-000604,-0.140597683203
ACH-000605,-0.328869714864
ACH-000606,-0.551248854557
ACH-000608,-0.203205443348
ACH-000614,-0.5410172562250001
ACH-000616,-0.48817697297799995
