,NT5C3B (115024)
ACH-000004,-0.23824061937
ACH-000007,-0.051600359518900005
ACH-000009,-0.555025476933
ACH-000011,-0.500743836917
ACH-000012,-0.36784193581999997
ACH-000013,-0.33013430824400003
ACH-000014,0.016589632743599998
ACH-000015,-0.08959427853310001
ACH-000017,-0.506282408454
ACH-000018,-0.242044702069
ACH-000019,-0.35739902791199996
ACH-000021,-0.145852093281
ACH-000022,-0.173190286528
ACH-000025,-0.27202636722199997
ACH-000028,-0.38579926585
ACH-000030,-0.32123853134799996
ACH-000035,-0.331256803008
ACH-000036,-0.19156358599399997
ACH-000037,-0.32784121977200004
ACH-000039,-0.265547490259
ACH-000040,-0.363488199855
ACH-000041,-0.314627157761
ACH-000042,-0.246777550642
ACH-000045,-0.263771943599
ACH-000047,-0.279888420844
ACH-000052,-0.20519683274300002
ACH-000053,-0.184924714231
ACH-000054,-0.247772832731
ACH-000055,-0.43409550565099997
ACH-000060,-0.504776815478
ACH-000067,-0.452033192429
ACH-000070,-0.15492662705600002
ACH-000075,-0.305317299496
ACH-000078,-0.153934644406
ACH-000082,-0.40217548525700003
ACH-000085,-0.258304224804
ACH-000086,-0.475174494771
ACH-000087,-0.127422390084
ACH-000092,-0.548687108857
ACH-000095,-0.35767539518700003
ACH-000097,-0.628584125542
ACH-000098,-0.497643498479
ACH-000099,-0.24979659622699998
ACH-000108,-0.108020210695
ACH-000113,-0.183737096789
ACH-000115,-0.194204804083
ACH-000116,-0.345329696704
ACH-000118,-0.301616549562
ACH-000120,-0.165495064191
ACH-000123,-0.299869165592
ACH-000127,-0.247120422216
ACH-000128,-0.00244295131013
ACH-000132,-0.28733806492499997
ACH-000133,-0.214294853533
ACH-000137,-0.319316406325
ACH-000138,-0.338631515387
ACH-000142,-0.398049856267
ACH-000143,-0.216374619276
ACH-000146,-0.209095985167
ACH-000148,-0.309392367426
ACH-000150,-0.42897116849699995
ACH-000152,-0.664836070012
ACH-000153,0.124057194626
ACH-000159,-0.25917658914999997
ACH-000160,-0.163557924882
ACH-000163,-0.36609642672799997
ACH-000167,-0.6815274609180001
ACH-000168,-0.169564298072
ACH-000169,-0.264073172031
ACH-000178,-0.17087426638099998
ACH-000182,-0.428182855606
ACH-000183,-0.191683198279
ACH-000188,-0.555583170988
ACH-000189,-0.539434230915
ACH-000190,-0.287315847187
ACH-000198,-0.179044112977
ACH-000204,-0.630301697685
ACH-000206,-0.397128640722
ACH-000207,-0.132291288962
ACH-000211,-0.541510084278
ACH-000215,-0.358218621277
ACH-000221,-0.18805614514000002
ACH-000222,-0.199780488859
ACH-000223,-0.5083072277390001
ACH-000226,-0.435489594873
ACH-000227,-0.278673806746
ACH-000228,-0.557477054133
ACH-000231,-0.358429140519
ACH-000232,-0.214026302959
ACH-000233,-0.265533039752
ACH-000234,-0.234367368158
ACH-000235,-0.312536666462
ACH-000237,-0.392499336132
ACH-000238,-0.514349639833
ACH-000243,-0.307387241888
ACH-000244,-0.164456795382
ACH-000246,-0.206641941945
ACH-000248,-0.396962144878
ACH-000250,-0.48529544444399997
ACH-000251,-0.564193530581
ACH-000253,-0.299590874422
ACH-000255,-0.24179592966699998
ACH-000256,-0.378088433335
ACH-000257,-0.30425919693799997
ACH-000258,-0.491873432888
ACH-000259,-0.185319018774
ACH-000260,-0.238654918283
ACH-000261,-0.275538122873
ACH-000262,-0.33904995367299995
ACH-000263,-0.364318460731
ACH-000264,-0.366067323257
ACH-000265,-0.220353878815
ACH-000266,-0.268810979259
ACH-000272,-0.34902070082
ACH-000273,-0.272308424888
ACH-000274,-0.535372301474
ACH-000277,-0.353406545139
ACH-000278,-0.24169547299199998
ACH-000279,-0.280842799167
ACH-000280,-0.292316121563
ACH-000281,0.11863804425899999
ACH-000288,-0.31460797688000003
ACH-000291,-0.45910243912500004
ACH-000293,-0.605967423023
ACH-000294,-0.131552583487
ACH-000295,-0.00928512827086
ACH-000296,-0.352892060806
ACH-000302,-0.42303325866700003
ACH-000304,-0.317256751682
ACH-000307,-0.165721385147
ACH-000308,-0.499740196497
ACH-000310,-0.404848424898
ACH-000311,-0.187341868946
ACH-000312,-0.245684266835
ACH-000315,-0.0451580837858
ACH-000316,-0.46933230699100004
ACH-000317,-0.126566334552
ACH-000318,-0.234551392982
ACH-000319,-0.222929912101
ACH-000320,-0.278988419374
ACH-000322,-0.32043235696600003
ACH-000323,-0.089684454399
ACH-000324,-0.17715381531100002
ACH-000329,-0.20759408119199999
ACH-000330,-0.33636236752899995
ACH-000331,-0.398910439205
ACH-000332,-0.486082540467
ACH-000334,-0.32598442191599997
ACH-000335,-0.254557184896
ACH-000336,-0.285547460996
ACH-000337,-0.20591749565499998
ACH-000339,-0.170996588605
ACH-000341,-0.34656017864699995
ACH-000348,-0.29647740811900003
ACH-000350,-0.34117581845600004
ACH-000352,-0.413286117602
ACH-000356,-0.607576507838
ACH-000361,-0.364229743015
ACH-000362,-0.18886753771899997
ACH-000363,-0.417387101322
ACH-000364,-0.47860927760300004
ACH-000365,-0.262580957924
ACH-000366,-0.23575227808600002
ACH-000368,-0.350452291989
ACH-000374,-0.482984413216
ACH-000375,-0.245430109833
ACH-000376,-0.333018333394
ACH-000381,-0.306905718384
ACH-000383,-0.301761788217
ACH-000387,-0.165731448678
ACH-000389,-0.177816115947
ACH-000390,-0.28099086473900003
ACH-000393,-0.293410699571
ACH-000395,-0.22925717067899998
ACH-000397,-0.246575213328
ACH-000401,-0.35277640133500004
ACH-000402,-0.266537439953
ACH-000403,-0.38609774836099997
ACH-000404,-0.186963977972
ACH-000406,-0.173294636018
ACH-000407,-0.15780156317900002
ACH-000408,-0.289457912817
ACH-000410,-0.224644086997
ACH-000411,-0.357800171653
ACH-000414,-0.281316872512
ACH-000415,-0.35491581971999997
ACH-000416,-0.334628046181
ACH-000420,-0.425185427756
ACH-000421,-0.381684333609
ACH-000424,-0.393570903986
ACH-000425,-0.326801840048
ACH-000426,-0.406742518578
ACH-000427,-0.769670715439
ACH-000433,-0.340078219564
ACH-000436,-0.38505823285499996
ACH-000444,-0.309856123644
ACH-000445,-0.049998470375800005
ACH-000448,-0.44155374165
ACH-000450,-0.28775772670899996
ACH-000452,-0.269290862462
