,VAMP8 (8673)
ACH-000004,-0.189871947507
ACH-000007,-0.0845343029045
ACH-000009,-0.281656025655
ACH-000011,-0.27135143190600003
ACH-000012,-0.17397177389199997
ACH-000013,-0.172990030405
ACH-000014,-0.13609595352099998
ACH-000015,-0.0698158585644
ACH-000017,-0.103760061352
ACH-000018,-0.269532307037
ACH-000019,-0.227579843
ACH-000021,-0.294425272637
ACH-000022,0.0287636762599
ACH-000025,-0.154762891612
ACH-000028,-0.0226052033459
ACH-000030,-0.192479181719
ACH-000035,-0.297847842556
ACH-000036,-0.292841026364
ACH-000037,-0.273864786045
ACH-000039,-0.196804889256
ACH-000040,-0.129971850289
ACH-000041,-0.0281251407464
ACH-000042,-0.19819562143199998
ACH-000045,0.0442962982763
ACH-000047,-0.3678498456
ACH-000052,0.029593807583699998
ACH-000053,-0.16475804994100002
ACH-000054,-0.101015050139
ACH-000055,-0.29015945047499997
ACH-000060,-0.175447743919
ACH-000067,-0.22329569221099999
ACH-000070,0.0714817793209
ACH-000075,-0.17302886471599999
ACH-000078,-0.296692530631
ACH-000082,-0.055081227491300004
ACH-000085,-0.0961049587259
ACH-000086,-0.19424519815699998
ACH-000087,-0.0770412615433
ACH-000092,-0.417793377275
ACH-000095,-0.10500011019899999
ACH-000097,-0.205225298636
ACH-000098,-0.0897818652785
ACH-000099,-0.17665269882399998
ACH-000108,-0.0796013100128
ACH-000113,-0.10124634647299999
ACH-000115,-0.026919787408699998
ACH-000116,-0.248025824566
ACH-000118,-0.142584304613
ACH-000120,-0.08395669898260001
ACH-000123,-0.187271803645
ACH-000127,-0.273951336978
ACH-000128,-0.0151133555228
ACH-000132,-0.254060669074
ACH-000133,-0.175017828225
ACH-000137,-0.38751244231299997
ACH-000138,-0.100074381747
ACH-000142,-0.314431265915
ACH-000143,-0.0630504948925
ACH-000146,-0.175415588614
ACH-000148,-0.22858458426699999
ACH-000150,-0.355432481435
ACH-000152,-0.255961968732
ACH-000153,0.143630721687
ACH-000159,-0.0606131127927
ACH-000160,-0.245560231734
ACH-000163,-0.178046849666
ACH-000167,-0.108653721992
ACH-000168,0.035610060597599996
ACH-000169,-0.11925017569900001
ACH-000178,-0.0961606422298
ACH-000182,-0.214802635036
ACH-000183,-0.0709937740027
ACH-000188,-0.320483544795
ACH-000189,-0.346218793824
ACH-000190,-0.335020531765
ACH-000198,-0.24304405566799997
ACH-000204,-0.232997066837
ACH-000206,-0.22062394105099997
ACH-000207,-0.26582264214400003
ACH-000211,-0.0236003411673
ACH-000215,-0.12452396446599999
ACH-000221,-0.09217908970899999
ACH-000222,-0.250102398697
ACH-000223,-0.127647327687
ACH-000226,-0.5040119588699999
ACH-000227,-0.356859723533
ACH-000228,-0.258431988479
ACH-000231,-0.19268269484099998
ACH-000232,0.046723883449
ACH-000233,-0.0745257999192
ACH-000234,0.0670484649108
ACH-000235,-0.0524421292657
ACH-000237,-0.28492120020399997
ACH-000238,-0.384895817656
ACH-000243,-0.0867666214208
ACH-000244,-0.16426980159399998
ACH-000246,-0.19567662062600003
ACH-000248,-0.22920625543099998
ACH-000250,-0.20120891309500002
ACH-000251,-0.215157145398
ACH-000253,0.0205091413148
ACH-000255,-0.170055384689
ACH-000256,-0.19292096646200002
ACH-000257,0.241659526101
ACH-000258,0.11166901015399999
ACH-000259,-0.10049426322300001
ACH-000260,-0.155927611723
ACH-000261,-0.133712932305
ACH-000262,-0.142270863449
ACH-000263,-0.655058654454
ACH-000264,-0.24822814612
ACH-000265,-0.22390498454500002
ACH-000266,-0.0638930077054
ACH-000272,-0.26645384218699997
