,OS9 (10956)
ACH-000004,-0.343737914847
ACH-000007,-0.31355706277
ACH-000009,-0.41363573399099995
ACH-000011,-0.11668341936599999
ACH-000012,-0.580689732043
ACH-000013,-0.2351698172
ACH-000014,-0.220532427022
ACH-000015,-0.464166833133
ACH-000017,-0.293625466224
ACH-000018,-0.5413587845719999
ACH-000019,-0.0545662148405
ACH-000021,-0.45509121833800004
ACH-000022,-0.330135226406
ACH-000025,-0.335357624831
ACH-000028,-0.24678136165999998
ACH-000030,-0.29626086171300003
ACH-000035,-0.40768850071999996
ACH-000036,-0.278021956616
ACH-000037,-0.34860546499899997
ACH-000039,-0.43534373106200003
ACH-000040,-0.284763538205
ACH-000041,-0.549170696768
ACH-000042,-0.32266373096900003
ACH-000045,-0.344285663064
ACH-000047,-0.23269578882300002
ACH-000052,-0.49717446785499997
ACH-000053,-0.333865215878
ACH-000054,-0.292180345608
ACH-000055,-0.236280470179
ACH-000060,-0.100558831176
ACH-000067,-0.276736442034
ACH-000070,-0.271851488089
ACH-000075,-0.32133355969
ACH-000078,-0.252051464461
ACH-000082,-0.500982236202
ACH-000085,-0.31535738457199997
ACH-000086,-0.559998634947
ACH-000087,-0.39802932121699997
ACH-000092,-0.193022823739
ACH-000095,-0.256611860465
ACH-000097,-0.308743023177
ACH-000098,-0.15252579028899999
ACH-000099,-0.281729120914
ACH-000108,-0.19908446097600002
ACH-000113,-0.30079256946
ACH-000115,-0.155945243034
ACH-000116,-0.248630458411
ACH-000118,-0.463150962599
ACH-000120,-0.331998194115
ACH-000123,-0.493160974934
ACH-000127,-0.206036621926
ACH-000128,-0.522014889508
ACH-000132,-0.09293465714160001
ACH-000133,-0.46745006062600003
ACH-000137,-0.18448149331500002
ACH-000138,-0.394165627451
ACH-000142,-0.39315924234
ACH-000143,-0.299285479009
ACH-000146,-0.201156763619
ACH-000148,-0.37779091864
ACH-000150,-0.419807551708
ACH-000152,-0.47898300982500003
ACH-000153,-0.660001743959
ACH-000159,-0.302292818821
ACH-000160,-0.36439537752499995
ACH-000163,-0.402030780815
ACH-000167,-0.439390448182
ACH-000168,-0.325763828009
ACH-000169,-0.197877567459
ACH-000178,-0.327684159458
ACH-000182,-0.36173663568000003
ACH-000183,-0.294553671725
ACH-000188,-0.329937690728
ACH-000189,-0.5569448949970001
ACH-000190,-0.25451762828499996
ACH-000198,-0.268690097306
ACH-000204,-0.534245929921
ACH-000206,-0.263529920229
ACH-000207,-0.564471516277
ACH-000211,-0.286376173883
ACH-000215,-0.28209652400400004
ACH-000221,-0.286578585172
ACH-000222,-0.15909956754000001
ACH-000223,-0.22560889784200003
ACH-000226,-0.187018210544
ACH-000227,-0.209379203021
ACH-000228,-0.360918895026
ACH-000231,-0.25064533098
ACH-000232,-0.38975834391
ACH-000233,-0.289136676858
ACH-000234,-0.6746545627220001
ACH-000235,-0.35172123633900004
ACH-000237,-0.0701480042647
ACH-000238,-0.34777348892399995
ACH-000243,-0.284568361534
ACH-000244,-0.350996103328
ACH-000246,-0.338366887014
ACH-000248,-0.32129082902600004
ACH-000250,-0.18541710516899998
ACH-000251,-0.48872640347199997
ACH-000253,-0.0929451148598
ACH-000255,-0.22357583118299998
ACH-000256,-0.35188388360100004
ACH-000257,-0.370177915708
ACH-000258,-0.0278709515052
ACH-000259,-0.29252036849
ACH-000260,-0.303038397472
ACH-000261,-0.37198455170999994
ACH-000262,-0.12820904730000002
ACH-000263,-0.40470496824600005
ACH-000264,-0.283749700375
ACH-000265,-0.375686164058
ACH-000266,-0.336360190226
ACH-000272,-0.18066319967
ACH-000273,-0.336551096839
ACH-000274,-0.34762303649000004
ACH-000277,-0.257167470623
ACH-000278,-0.5055153299399999
ACH-000279,-0.37974945700999996
