,PAICS (10606)
ACH-000004,-0.9897800740780001
ACH-000007,-0.755475954079
ACH-000009,-0.729289849703
ACH-000011,-0.6149397050909999
ACH-000012,-0.291103636135
ACH-000013,0.0444860256003
ACH-000014,-0.605330630481
ACH-000015,-0.39872984111800003
ACH-000017,-1.04921153822
ACH-000018,-0.330187512059
ACH-000019,-0.668768378704
ACH-000021,-0.260079023023
ACH-000022,-0.439977985304
ACH-000025,-0.852457252264
ACH-000028,-0.827174501894
ACH-000030,-1.22602913381
ACH-000035,-0.488615631177
ACH-000036,-0.0944467108145
ACH-000037,-0.573413525838
ACH-000039,-0.276448831292
ACH-000040,-0.314526073572
ACH-000041,-0.588735818049
ACH-000042,-0.43237733203
ACH-000045,-0.650406746674
ACH-000047,-0.667534490454
ACH-000052,-0.0962213587221
ACH-000053,-1.046769974
ACH-000054,-0.28968820284200003
ACH-000055,-0.027513776849799998
ACH-000060,-0.141517959754
ACH-000067,-0.320515770888
ACH-000070,-0.812579161981
ACH-000075,-0.452859257877
ACH-000078,-0.490497373436
ACH-000082,-0.29734782755899997
ACH-000085,0.0570139788626
ACH-000086,-0.136481887504
ACH-000087,-0.42339466756800004
ACH-000092,-0.212466701747
ACH-000095,-0.028401099446900002
ACH-000097,-0.865832150493
ACH-000098,-0.333052732962
ACH-000099,-0.6981546499850001
ACH-000108,-1.15584557989
ACH-000113,0.196252672511
ACH-000115,-0.431748311794
ACH-000116,-0.183778748228
ACH-000118,0.00127917383899
ACH-000120,-0.11748333894600001
ACH-000123,-0.436393599489
ACH-000127,-0.966251945487
ACH-000128,-0.413457997737
ACH-000132,-0.24325814371100002
ACH-000133,-0.240328291476
ACH-000137,-0.278240598381
ACH-000138,-0.900202256101
ACH-000142,-0.5060650312520001
ACH-000143,-0.246666222991
ACH-000146,-0.884679469356
ACH-000148,-0.23929295757599997
ACH-000150,0.06940041744589999
ACH-000152,-0.259231825049
ACH-000153,-0.515495715361
ACH-000159,-0.9629169913150001
ACH-000160,-0.476445753989
ACH-000163,-0.5733351080319999
ACH-000167,-0.253793867067
ACH-000168,-0.572587296145
ACH-000169,-0.210493997338
ACH-000178,-0.7616446149480001
ACH-000182,-1.12684158457
ACH-000183,-0.788766995555
ACH-000188,-0.103811807055
ACH-000189,-0.653855144862
ACH-000190,-0.251904609942
ACH-000198,-0.519655346821
ACH-000204,-0.429123093759
ACH-000206,-0.506146095297
ACH-000207,-0.562904019028
ACH-000211,-0.296480016026
ACH-000215,-0.184263534732
ACH-000221,-0.04418102362509999
ACH-000222,-0.8292874158519999
ACH-000223,-0.679113711539
ACH-000226,-0.770941367496
ACH-000227,-0.242329358629
ACH-000228,-0.6291750364859999
ACH-000231,-0.253935919012
ACH-000232,0.028953163582200004
ACH-000233,-1.20261808295
ACH-000234,-0.562242726003
ACH-000235,-0.930120675141
ACH-000237,-0.315615980979
ACH-000238,-0.204528986621
ACH-000243,-0.709276176158
ACH-000244,-0.06447285225089999
ACH-000246,-0.014185804986600001
ACH-000248,-0.8125472769859999
ACH-000250,-0.32795657188
ACH-000251,-0.751145985094
ACH-000253,-0.6824062587899999
ACH-000255,0.00798082159841
ACH-000256,-0.0715021198225
ACH-000257,-1.04320093388
ACH-000258,-0.8591221478659999
ACH-000259,-0.364004264366
ACH-000260,-0.142093070583
ACH-000261,-0.17058066611900002
ACH-000262,-0.3237027473
ACH-000263,-0.529392802066
ACH-000264,-0.5130063993999999
ACH-000265,-0.694544511194
ACH-000266,-0.35696960564900004
ACH-000272,-1.0050541008
ACH-000273,-0.728098505155
ACH-000274,-0.220239598367
ACH-000277,-0.453738586998
ACH-000278,-0.40814739301200004
ACH-000279,-0.635650771077
ACH-000280,-0.21271754459000003
ACH-000281,-0.6425132450509999
ACH-000288,-0.0509026217422
ACH-000291,-0.08498458254889998
ACH-000293,-0.22549829923099998
ACH-000294,-1.15001219887
ACH-000295,-0.6950915633570001
ACH-000296,-0.729452702843
ACH-000302,-0.201477698569
ACH-000304,-0.32461829319400004
ACH-000307,-1.0062522127299998
ACH-000308,-0.308924736319
ACH-000310,-0.459910384039
ACH-000311,-0.802534024442
ACH-000312,-0.49650191698299995
ACH-000315,-0.703930154894
ACH-000316,-0.447582389027
ACH-000317,-1.0537369318799998
ACH-000318,-0.9815586807660001
ACH-000319,-0.381726088653
ACH-000320,-0.938063332358
ACH-000322,-0.853134154739
ACH-000323,-0.51019201146
ACH-000324,-0.298865283528
ACH-000329,-0.233934084188
ACH-000330,-0.9097714395550001
ACH-000331,0.0180667406106
ACH-000332,-0.234908740061
ACH-000334,-0.99238969219
ACH-000335,-0.538260072974
ACH-000336,-0.145184071348
ACH-000337,-0.9588999644760001
ACH-000339,-1.17914343199
ACH-000341,-0.38945801268299995
ACH-000348,-0.358397927661
ACH-000350,-0.115204773246
ACH-000352,-1.0441550854200001
ACH-000356,-0.7892555489859999
ACH-000361,-0.197601634221
ACH-000362,-0.778746278469
ACH-000363,-0.628455413185
ACH-000364,-0.198079835748
ACH-000365,-0.75410194348
ACH-000366,-0.582555088112
ACH-000368,-0.29310971898000004
ACH-000374,-0.525992240782
ACH-000375,-0.791401245868
ACH-000376,-0.167453527499
ACH-000381,-0.957051668269
ACH-000383,-1.43822616372
ACH-000387,-0.999788180142
ACH-000389,0.08517050790010001
ACH-000390,-1.0779707824200002
ACH-000393,-0.39889099177299997
ACH-000395,-1.00976142315
ACH-000397,-0.340305845262
ACH-000401,-0.802671028548
ACH-000402,-0.777496873637
ACH-000403,-0.365621810973
ACH-000404,-0.398859835083
ACH-000406,-1.31443658165
ACH-000407,-0.0031126931207399997
ACH-000408,-0.721555663201
ACH-000410,-0.194528372742
ACH-000411,-0.792513015333
ACH-000414,-0.45778678774
ACH-000415,-0.44279799288800004
ACH-000416,-1.02445510535
ACH-000420,-0.09655935841330002
ACH-000421,-0.7620195896269999
ACH-000424,-0.499726902166
ACH-000425,-0.43996930717699995
ACH-000426,-0.26783388649
ACH-000427,-0.533237563899
ACH-000433,-0.35978233561800005
ACH-000436,-0.862437928601
ACH-000444,-0.345610999436
ACH-000445,-0.400142459363
ACH-000448,-0.923525715815
ACH-000450,-0.46589976643799996
ACH-000452,-0.736787198076
ACH-000454,-0.89964342466
ACH-000458,0.0667731140876
ACH-000459,-0.690314736503
ACH-000460,-0.983069351229
ACH-000461,-0.769828918572
ACH-000463,-0.015869487964999998
ACH-000464,-0.562264761888
ACH-000466,-0.29094950211
ACH-000467,-0.883723435654
ACH-000468,-0.648606793954
ACH-000469,-0.162727323448
ACH-000470,-0.371624495126
ACH-000471,-0.692299351109
ACH-000472,-0.411673202299
ACH-000473,-0.09036856409420001
ACH-000475,-0.51249628902
ACH-000476,-0.294656510866
ACH-000477,-0.798790688144
ACH-000480,0.09757543340739999
ACH-000481,-0.550363821327
ACH-000483,-0.406160174519
ACH-000484,-0.29729926391899997
ACH-000485,-0.7584758330069999
ACH-000486,-0.417538262648
ACH-000487,-0.725370434101
ACH-000488,0.08456633050000001
ACH-000490,-0.17626208559300002
ACH-000491,-0.5645192846720001
ACH-000495,-0.577120359061
ACH-000496,-0.666667560918
