,PXN (5829)
ACH-000004,-0.329972152706
ACH-000007,-0.6107569275429999
ACH-000009,-0.680757694749
ACH-000011,-1.0511540556
ACH-000012,-0.6029135862699999
ACH-000013,-0.42314926696000005
ACH-000014,-0.48463986166199996
ACH-000015,-0.498473299121
ACH-000017,-0.575276765871
ACH-000018,-0.8336790544320001
ACH-000019,-0.328810098987
ACH-000021,-0.635199398188
ACH-000022,-0.282644831956
ACH-000025,-0.622438691937
ACH-000028,-0.42408704949000003
ACH-000030,-0.623149678823
ACH-000035,-0.508554536179
ACH-000036,-0.581636671469
ACH-000037,-0.534254200734
ACH-000039,-0.6813974465989999
ACH-000040,-0.579225651423
ACH-000041,-0.308573364299
ACH-000042,-0.4822319842600001
ACH-000045,-0.674370186434
ACH-000047,-0.648867309176
ACH-000052,-0.283996922235
ACH-000053,-0.174314535614
ACH-000054,-0.6496864253869999
ACH-000055,-0.266706310034
ACH-000060,-0.981296204231
ACH-000067,-0.571930468092
ACH-000070,-0.5953251788270001
ACH-000075,-0.493010575464
ACH-000078,-0.366100474771
ACH-000082,-0.721790955529
ACH-000085,-0.374511683307
ACH-000086,-0.455381607795
ACH-000087,-0.232891113621
ACH-000092,-0.454214367642
ACH-000095,-0.24244409177200002
ACH-000097,-0.738379561388
ACH-000098,-0.45493485483
ACH-000099,-0.42658405681
ACH-000108,-0.7263008970839999
ACH-000113,-0.350173909612
ACH-000115,-0.51442892571
ACH-000116,-0.588376548553
ACH-000118,-1.0207089613299998
ACH-000120,-0.506518165353
ACH-000123,-0.533284400244
ACH-000127,-0.534109117368
ACH-000128,-0.513364474713
ACH-000132,-0.590425870418
ACH-000133,-0.507941314606
ACH-000137,-0.6930360419689999
ACH-000138,-0.735748558864
ACH-000142,-0.725583124145
ACH-000143,-0.471270920217
ACH-000146,-0.209590361314
ACH-000148,-0.521825834094
ACH-000150,-0.9088631850390001
ACH-000152,-0.71581929942
ACH-000153,-0.531232954011
ACH-000159,-0.246310843198
ACH-000160,-0.136057213158
ACH-000163,-0.11958956796499999
