,DGKZ (8525)
ACH-000004,-0.276477911313
ACH-000007,-0.21221670651
ACH-000009,-0.0165399240326
ACH-000011,0.129724033719
ACH-000012,-0.34538458609300005
ACH-000013,-0.309971321483
ACH-000014,-0.0976285097549
ACH-000015,-0.0029958469253
ACH-000017,-0.345159129204
ACH-000018,-0.24765398488200002
ACH-000019,-0.0825060601157
ACH-000021,-0.309962899734
ACH-000022,-0.40885993046999997
ACH-000025,-0.202260218381
ACH-000028,-0.33210917868
ACH-000030,-0.0871431429642
ACH-000035,-0.525940863539
ACH-000036,-0.248435434923
ACH-000037,-0.193017223704
ACH-000039,-0.135080051766
ACH-000040,-0.06649020578319999
ACH-000041,-0.422181112417
ACH-000042,-0.153662898683
ACH-000045,-0.136713356915
ACH-000047,-0.010379142809200001
ACH-000052,-0.377981060326
ACH-000053,-0.09762305677860002
ACH-000054,-0.15839356759099998
ACH-000055,-0.050363358573699994
ACH-000060,-0.122551459214
ACH-000067,-0.22276185648699998
ACH-000070,-0.103109153812
ACH-000075,-0.21408154177900002
ACH-000078,-0.0396703838606
ACH-000082,-0.08612605531230001
ACH-000085,-0.198258663688
ACH-000086,-0.246645007287
ACH-000087,-0.404109209424
ACH-000092,-0.0404051717257
ACH-000095,-0.143056203726
ACH-000097,-0.11338044355
ACH-000098,-0.0924219577623
ACH-000099,-0.0622319919068
ACH-000108,-0.04529976294980001
ACH-000113,-0.160236515982
ACH-000115,0.0582440742441
ACH-000116,-0.190056003388
ACH-000118,-0.12981905283
ACH-000120,-0.264456099469
ACH-000123,-0.351556555249
ACH-000127,-0.08406924907839998
ACH-000128,-0.180674718916
ACH-000132,-0.139497064617
ACH-000133,-0.370044930025
ACH-000137,-0.283703670928
ACH-000138,-0.352162389089
ACH-000142,-0.21638690501999996
ACH-000143,-0.14429603671
ACH-000146,-0.363856152004
ACH-000148,-0.207758892408
ACH-000150,-0.181366570092
ACH-000152,-0.17041768287700002
ACH-000153,-0.302257819901
ACH-000159,-0.241139891365
ACH-000160,0.057145160403199995
ACH-000163,-0.180645807709
ACH-000167,-0.270163175942
ACH-000168,-0.205695611221
