,RABAC1 (10567)
ACH-000004,-0.07060570371569999
ACH-000007,-0.172671571213
ACH-000009,-0.297868381733
ACH-000011,-0.197863741616
ACH-000012,-0.164200945481
ACH-000013,-0.237856215092
ACH-000014,-0.10018406858899999
ACH-000015,-0.164073900231
ACH-000017,-0.20277271428
ACH-000018,-0.19331168600200002
ACH-000019,0.028916879917099996
ACH-000021,-0.369088782006
ACH-000022,-0.183217287766
ACH-000025,-0.119764786382
ACH-000028,0.0991082339445
ACH-000030,-0.33922099826700003
ACH-000035,-0.19253846813099998
ACH-000036,-0.20291258823
ACH-000037,-0.22801716224
ACH-000039,-0.228810270785
ACH-000040,-0.23075109758600001
ACH-000041,-0.00566624513282
ACH-000042,-0.044943258898
ACH-000045,-0.096145647103
ACH-000047,-0.21430323613299998
ACH-000052,-0.23372172072500003
ACH-000053,-0.242539574257
ACH-000054,-0.332991968748
ACH-000055,-0.0948677066284
ACH-000060,0.0644873251465
ACH-000067,-0.160404956233
ACH-000070,0.0322813313827
ACH-000075,-0.217700321087
ACH-000078,-0.278370791721
ACH-000082,-0.0768850185006
ACH-000085,0.0009190983482289999
ACH-000086,-0.228520825768
ACH-000087,-0.19847668750300002
ACH-000092,-0.226505980933
ACH-000095,-0.17535018125500001
ACH-000097,-0.18779978686299997
ACH-000098,-0.319575097792
ACH-000099,-0.34116281056500003
ACH-000108,-0.1646288195
ACH-000113,-0.212311165376
ACH-000115,-0.42676171143299996
ACH-000116,-0.133040215173
ACH-000118,-0.1604765961
ACH-000120,-0.161094070585
ACH-000123,-0.380967808008
ACH-000127,-0.298038318851
ACH-000128,-0.011061819963799999
ACH-000132,-0.22601173254700002
ACH-000133,-0.387972646642
ACH-000137,-0.216396516215
ACH-000138,-0.192385071529
ACH-000142,-0.4829320757
ACH-000143,-0.474420120684
ACH-000146,-0.23877355864
ACH-000148,-0.0388033252335
ACH-000150,-0.15117507020600002
ACH-000152,0.13000021039
ACH-000153,-0.24556949972800002
ACH-000159,-0.204721921389
ACH-000160,-0.31788206437399996
ACH-000163,-0.147744409904
ACH-000167,-0.22168192978700002
ACH-000168,-0.057090293589399994
ACH-000169,-0.202478437773
ACH-000178,-0.24924627499899998
ACH-000182,-0.240983701013
ACH-000183,-0.0256695467265
ACH-000188,-0.25813152862100003
ACH-000189,0.00998285507327
ACH-000190,-0.5314990906979999
ACH-000198,-0.05266715504319999
ACH-000204,-0.23539090064800003
ACH-000206,-0.09350453744899999
ACH-000207,-0.452480943505
ACH-000211,-0.11058622101
ACH-000215,-0.17524493498500002
ACH-000221,-0.226823949298
ACH-000222,-0.157927146844
ACH-000223,-0.303715930049
ACH-000226,-0.268415792359
ACH-000227,0.07675990230160001
ACH-000228,-0.286762122447
ACH-000231,-0.0184073705539
ACH-000232,-0.149130209521
ACH-000233,-0.191282441539
ACH-000234,-0.12967658330499998
ACH-000235,-0.253747940138
ACH-000237,-0.241291677419
ACH-000238,-0.19642537869399998
ACH-000243,-0.22023278164299998
ACH-000244,0.0640267544017
ACH-000246,-0.136066491854
ACH-000248,-0.179584769914
ACH-000250,-0.135193180734
ACH-000251,-0.20895349785999998
ACH-000253,-0.376228975383
ACH-000255,-0.389479073159
ACH-000256,-0.295170249035
ACH-000257,-0.168611634727
ACH-000258,0.0242909003292
ACH-000259,-0.149450143991
ACH-000260,-0.290699108308
ACH-000261,-0.235058988686
ACH-000262,-0.16494321457299999
ACH-000263,-0.06613172755169999
ACH-000264,-0.0792601244635
ACH-000265,-0.39146644395999997
ACH-000266,-0.318033919564
ACH-000272,-0.021772454852100002
ACH-000273,-0.194830994366
ACH-000274,-0.0824114026584
ACH-000277,-0.248551284671
ACH-000278,-0.40588600869900004
ACH-000279,-0.0643761712328
ACH-000280,-0.298427561387
ACH-000281,-0.0416451437735
ACH-000288,-0.0871647402142
ACH-000291,-0.356582335857
ACH-000293,-0.0112786929106
ACH-000294,-0.170434350251
ACH-000295,-0.240802802893
ACH-000296,-0.0537854304156
ACH-000302,-0.375158184883
ACH-000304,0.054027984245499996
ACH-000307,0.00017211099962100002
ACH-000308,-0.362033353542
ACH-000310,-0.384952992319
ACH-000311,-0.0300182762455
ACH-000312,-0.178305853695
ACH-000315,-0.11411573363199999
ACH-000316,0.14225037092700002
ACH-000317,0.17594962213399998
ACH-000318,-0.236040889164
ACH-000319,-0.347703517531
ACH-000320,-0.283847061981
ACH-000322,0.0404920699433
ACH-000323,-0.0623078747154
ACH-000324,-0.200801703354
ACH-000329,-0.0473623694411
ACH-000330,-0.24919884551399998
ACH-000331,-0.175728964394
ACH-000332,-0.189516450002
ACH-000334,-0.0939560930463
ACH-000335,-0.591784349308
ACH-000336,-0.149387754036
ACH-000337,-0.101234128107
ACH-000339,-0.40478961461499996
ACH-000341,-0.534526744197
ACH-000348,-0.077353223797
ACH-000350,-0.123148105065
ACH-000352,-0.301439786989
ACH-000356,-0.206725727439
ACH-000361,-0.09247497723680001
ACH-000362,-0.206805878985
ACH-000363,-0.0544801676265
