,PDDC1 (347862)
ACH-000004,-0.0496736833915
ACH-000007,-0.37729077711900005
ACH-000009,-0.266476563455
ACH-000011,-0.275695913355
ACH-000012,-0.298657745893
ACH-000013,-0.17686315319
ACH-000014,-0.14062444564999999
ACH-000015,-0.258031873194
ACH-000017,-0.139549011097
ACH-000018,-0.28253528900499997
ACH-000019,-0.409163141208
ACH-000021,-0.233392353129
ACH-000022,-0.18841275244800001
ACH-000025,-0.22851395022799997
ACH-000028,-0.306726523368
ACH-000030,-0.181931938926
ACH-000035,-0.0593692142971
ACH-000036,-0.304324047371
ACH-000037,-0.277653798869
ACH-000039,0.134701485766
ACH-000040,-0.46751701048
ACH-000041,-0.305965050423
ACH-000042,-0.231090075152
ACH-000045,-0.275337707795
ACH-000047,-0.249656092266
ACH-000052,-0.286462501568
ACH-000053,-0.198202929884
ACH-000054,-0.34591684662600003
ACH-000055,-0.307177093239
ACH-000060,-0.319771156359
ACH-000067,-0.17890335505399999
ACH-000070,-0.390434316109
ACH-000075,-0.47721145495800005
ACH-000078,-0.347432656959
ACH-000082,-0.270492911094
ACH-000085,-0.06542982969700001
ACH-000086,-0.131473748307
ACH-000087,-0.0989591837083
ACH-000092,-0.166738800544
ACH-000095,-0.277340554708
ACH-000097,-0.288026798867
ACH-000098,-0.265172916192
ACH-000099,-0.269668954232
ACH-000108,-0.45551584328100003
ACH-000113,-0.277100496393
ACH-000115,-0.0344169166822
ACH-000116,-0.389071942928
ACH-000118,-0.0746109759611
ACH-000120,-0.058764757056200004
ACH-000123,-0.287187325793
ACH-000127,-0.18268719584000004
ACH-000128,-0.15016021162499998
ACH-000132,-0.182480202256
ACH-000133,-0.312254018213
ACH-000137,-0.21118227522500002
ACH-000138,-0.33106468335
ACH-000142,-0.24436399780999998
ACH-000143,-0.115361820524
ACH-000146,-0.14585711820800001
ACH-000148,-0.290400355692
ACH-000150,-0.336789424686
ACH-000152,-0.170664971802
ACH-000153,-0.037803462033599994
ACH-000159,-0.065926694787
ACH-000160,-0.199665119357
ACH-000163,-0.236356532725
ACH-000167,-0.606452572956
ACH-000168,-0.0947521256986
ACH-000169,0.057969241008
ACH-000178,-0.0974776391535
ACH-000182,-0.20405396802099998
ACH-000183,0.0792710374915
ACH-000188,-0.00476251739138
ACH-000189,-0.241589488532
ACH-000190,-0.167310840086
ACH-000198,-0.0413685734413
ACH-000204,-0.17119285580600002
ACH-000206,-0.08063204851419999
ACH-000207,-0.00547584868977
ACH-000211,-0.07344569630089999
ACH-000215,-0.211180890194
ACH-000221,-0.0166771993271
ACH-000222,-0.166971232322
ACH-000223,-0.18389350721900002
ACH-000226,-0.237697795675
ACH-000227,-0.22617072124600002
ACH-000228,-0.188803063646
ACH-000231,-0.245132576362
ACH-000232,-0.16967701631999998
ACH-000233,-0.33153168574299996
ACH-000234,-0.36922300498599997
ACH-000235,-0.306098057109
ACH-000237,-0.37118440342799996
ACH-000238,-0.137841198825
ACH-000243,-0.12601770623199998
ACH-000244,-0.338814116671
ACH-000246,-0.20455684028999999
ACH-000248,-0.206799890424
ACH-000250,-0.272883151471
ACH-000251,-0.0134604121264
ACH-000253,-0.256627064162
ACH-000255,-0.06177226342349999
ACH-000256,-0.33785232667099996
ACH-000257,-0.21270506791700003
ACH-000258,-0.303889907123
ACH-000259,-0.180157532658
ACH-000260,-0.170613865752
ACH-000261,-0.365539537652
ACH-000262,-0.37394051405699996
ACH-000263,-0.0245700252205
ACH-000264,-0.387955313431
ACH-000265,-0.120659717536
ACH-000266,-0.349790981796
ACH-000272,-0.269405111747
ACH-000273,-0.21059311134599998
ACH-000274,-0.24927970793
ACH-000277,-0.285197687521
ACH-000278,-0.34127254176
ACH-000279,-0.23725030519999998
ACH-000280,-0.40180140301
ACH-000281,-0.440633256111
ACH-000288,-0.189615167007
ACH-000291,-0.24825467910100002
ACH-000293,-0.0714010252385
ACH-000294,-0.075070663225
ACH-000295,-0.15377490594
ACH-000296,0.00642673008255
