,BYSL (705)
ACH-000004,-1.35353397002
ACH-000007,-1.1889361542399999
ACH-000009,-1.23125635427
ACH-000011,-1.73498892463
ACH-000012,-1.2253676227899999
ACH-000013,-1.46696283021
ACH-000014,-1.36916926755
ACH-000015,-1.03082641204
ACH-000017,-1.3598127477000002
ACH-000018,-1.36283175718
ACH-000019,-1.25642530182
ACH-000021,-1.21748585212
ACH-000022,-1.31234627757
ACH-000025,-1.1544490409700001
ACH-000028,-1.41442427373
ACH-000030,-1.23764367696
ACH-000035,-1.4036440513600001
ACH-000036,-1.15856201796
ACH-000037,-1.28949295516
ACH-000039,-1.31331094776
ACH-000040,-1.0021661641500001
ACH-000041,-1.25291357648
ACH-000042,-1.44191167521
ACH-000045,-1.49815485005
ACH-000047,-1.2703867985200001
ACH-000052,-1.48738212306
ACH-000053,-1.39523711449
ACH-000054,-1.36905999403
ACH-000055,-1.43023017028
ACH-000060,-1.24216807963
ACH-000067,-1.48600734472
ACH-000070,-1.16346171619
ACH-000075,-1.23519847067
ACH-000078,-1.26105749728
ACH-000082,-1.51458929861
ACH-000085,-1.3777180147499999
ACH-000086,-1.1596096769700002
ACH-000087,-1.4503943582499998
ACH-000092,-1.19777466121
ACH-000095,-1.51753605107
ACH-000097,-1.2561756694700001
ACH-000098,-1.30499980935
ACH-000099,-1.17214538672
ACH-000108,-1.66891241322
ACH-000113,-1.02144401763
ACH-000115,-1.29411599095
ACH-000116,-1.2115583905
ACH-000118,-1.39277159956
ACH-000120,-1.24761567262
ACH-000123,-1.3234062496899999
ACH-000127,-1.2638146270000001
ACH-000128,-1.2257305814700001
ACH-000132,-1.18758760437
ACH-000133,-0.9881869036900001
ACH-000137,-1.1875704450700002
ACH-000138,-1.19000798919
ACH-000142,-1.45416857664
ACH-000143,-1.230212252
ACH-000146,-1.3984223490099998
ACH-000148,-0.9727449969130001
ACH-000150,-1.23565640638
ACH-000152,-1.1886081021100001
ACH-000153,-1.42583574979
ACH-000159,-1.33077711123
ACH-000160,-1.46477321652
ACH-000163,-1.43185776968
ACH-000167,-1.3424059234999999
ACH-000168,-1.02509826183
ACH-000169,-1.30883436685
ACH-000178,-1.5459703717700002
ACH-000182,-1.42307274389
ACH-000183,-1.32827561623
ACH-000188,-1.21425178938
ACH-000189,-1.34386384566
ACH-000190,-1.2330660875900001
ACH-000198,-1.14336340214
ACH-000204,-1.22430373198
ACH-000206,-1.13972900859
ACH-000207,-1.2168292754999999
ACH-000211,-1.1349126050799998
ACH-000215,-1.11797499026
ACH-000221,-1.15462851723
