,CPQ (10404)
ACH-000004,-0.0573643117308
ACH-000007,-0.303709369319
ACH-000009,-0.10480639451099999
ACH-000011,-0.368612606189
ACH-000012,-0.159495333575
ACH-000013,-0.104410527753
ACH-000014,-0.30786554953699996
ACH-000015,-0.22913000333500003
ACH-000017,-0.16785942857099997
ACH-000018,-0.231314770827
ACH-000019,-0.186686306263
ACH-000021,-0.22128367371
ACH-000022,-0.230617958719
ACH-000025,-0.429214700374
ACH-000028,-0.1828907936
ACH-000030,-0.242579547373
ACH-000035,-0.41391064699600005
ACH-000036,-0.200868486962
ACH-000037,-0.218019031949
ACH-000039,-0.38681589313299997
ACH-000040,-0.24278031498000002
ACH-000041,-0.325397727496
ACH-000042,-0.208194757679
ACH-000045,-0.22232985585999998
ACH-000047,-0.21768991595400003
ACH-000052,-0.256264477436
ACH-000053,-0.204434330979
ACH-000054,-0.257006523047
ACH-000055,-0.34422175732
ACH-000060,-0.56358914796
ACH-000067,-0.246785543642
ACH-000070,-0.058880081680300005
ACH-000075,-0.114367699825
ACH-000078,-0.25242818406
ACH-000082,-0.29135683251600003
ACH-000085,-0.39129868537
ACH-000086,-0.291018881402
ACH-000087,-0.202482958053
ACH-000092,-0.339851312659
ACH-000095,-0.293837598371
ACH-000097,-0.232036597302
ACH-000098,-0.121788558121
ACH-000099,-0.25327724901500004
ACH-000108,-0.388705636691
ACH-000113,-0.310579720776
ACH-000115,-0.22869597850200002
ACH-000116,-0.149809445637
ACH-000118,-0.372614755035
ACH-000120,-0.236512107657
ACH-000123,-0.0910816611366
ACH-000127,-0.221983905969
ACH-000128,-0.44745059813
ACH-000132,-0.327341653449
ACH-000133,-0.20028713193
ACH-000137,-0.12205954838199999
ACH-000138,-0.246390007931
ACH-000142,-0.24115599447099997
ACH-000143,-0.112573545845
ACH-000146,-0.16469274532
ACH-000148,-0.318156720816
ACH-000150,-0.272743345446
ACH-000152,-0.20617154221200001
ACH-000153,0.206939783383
ACH-000159,-0.217312937904
ACH-000160,-0.32038469611
ACH-000163,-0.216718076521
ACH-000167,-0.250510592079
ACH-000168,-0.20841557638799998
ACH-000169,-0.219173935911
ACH-000178,-0.25830862528
ACH-000182,-0.302165391612
ACH-000183,-0.0822802280753
ACH-000188,-0.30171552215999997
ACH-000189,-0.532842469563
ACH-000190,-0.07900004092139999
ACH-000198,-0.315507641825
ACH-000204,-0.0438110864892
ACH-000206,-0.284379933827
ACH-000207,-0.38331012635399997
ACH-000211,-0.275920169677
ACH-000215,-0.18954778793699997
ACH-000221,-0.135154771139
ACH-000222,-0.158681324258
ACH-000223,-0.424528734925
ACH-000226,-0.291795624463
ACH-000227,-0.48580869737300003
ACH-000228,-0.365076532583
ACH-000231,-0.251486511332
ACH-000232,-0.348480030708
ACH-000233,-0.289643810406
ACH-000234,-0.174250099986
ACH-000235,-0.20766496707600002
ACH-000237,-0.316762323711
ACH-000238,-0.203464621739
ACH-000243,-0.278190648024
ACH-000244,-0.123039694412
ACH-000246,-0.289037583747
ACH-000248,-0.251793339589
ACH-000250,-0.33499065243
ACH-000251,-0.112250792246
ACH-000253,-0.125941135626
ACH-000255,-0.040616397070400004
ACH-000256,-0.38370533979000004
ACH-000257,-0.27310076523800003
ACH-000258,-0.05018521210080001
ACH-000259,-0.257449489735
ACH-000260,-0.292863151115
ACH-000261,-0.177511796396
ACH-000262,-0.292856769244
ACH-000263,-0.244565704374
ACH-000264,-0.322340164459
ACH-000265,-0.326434756604
ACH-000266,-0.216030924795
ACH-000272,-0.33582882803499997
