,RPS27L (51065)
ACH-000004,-0.33894104549599996
ACH-000007,-0.437483755653
ACH-000009,-0.111792859504
ACH-000011,-0.20503851682
ACH-000012,-0.0845436705961
ACH-000013,-0.0813234598947
ACH-000014,-0.14316057082699998
ACH-000015,0.025048078483799998
ACH-000017,-0.080845973964
ACH-000018,-0.147181237846
ACH-000019,0.0680889492706
ACH-000021,-0.018212066472599996
ACH-000022,0.0070633338856800005
ACH-000025,-0.204782200213
ACH-000028,-0.051100752886300005
ACH-000030,-0.0900084614452
ACH-000035,0.026708358443
ACH-000036,-0.163530798257
ACH-000037,0.263572784915
ACH-000039,-0.0802110766415
ACH-000040,-0.00293482523248
ACH-000041,-0.0980812436894
ACH-000042,-0.04390281321740001
ACH-000045,-0.364569521774
ACH-000047,-0.0920431000633
ACH-000052,-0.203549982461
ACH-000053,-0.16242926896600002
ACH-000054,-0.272299160871
ACH-000055,0.068217988516
ACH-000060,0.165490908157
ACH-000067,-0.125651567238
ACH-000070,-0.16106903744999998
ACH-000075,-0.31223600567299997
ACH-000078,-0.122306243426
ACH-000082,-0.250092898714
ACH-000085,0.0251858035909
ACH-000086,-0.054691046043499995
ACH-000087,-0.007960152500660001
ACH-000092,-0.123451925339
ACH-000095,-0.187129823838
ACH-000097,-0.0695139955228
ACH-000098,-0.0265418690791
ACH-000099,-0.0966460889521
ACH-000108,-0.0956550502023
ACH-000113,-0.21602221345199998
ACH-000115,-0.0309103651181
ACH-000116,-0.146005426479
ACH-000118,-0.0735932925048
ACH-000120,-0.173381270123
ACH-000123,-0.289131225002
ACH-000127,-0.00584429269847
ACH-000128,0.0735419195841
ACH-000132,-0.211441149978
ACH-000133,-0.165560122378
ACH-000137,-0.148236833577
ACH-000138,-0.0798441330925
ACH-000142,-0.0730880734776
ACH-000143,0.10939573934
ACH-000146,-0.0028775368929399997
ACH-000148,0.0165173647537
ACH-000150,-0.00850398076986
ACH-000152,-0.0355543517446
ACH-000153,-0.30585389360599996
ACH-000159,-0.046727169444500005
ACH-000160,-0.284597377799
ACH-000163,-0.055149339151999995
ACH-000167,1.2951695705500001
ACH-000168,-0.217268866294
ACH-000169,-0.0584765395217
ACH-000178,0.0531318620355
ACH-000182,-0.045001857692800004
ACH-000183,0.0870024653802
ACH-000188,0.148575922514
ACH-000189,0.09457570878890001
ACH-000190,-0.162838985917
ACH-000198,-0.9289859447319999
ACH-000204,-0.019025441240900002
ACH-000206,-0.21009382929200002
ACH-000207,0.056559723837
ACH-000211,-0.0977575617568
ACH-000215,0.046384885544800004
ACH-000221,0.0043649618952
