,ORC4 (5000)
ACH-000004,-0.46859263517300004
ACH-000007,-0.481421111748
ACH-000009,-0.627097492691
ACH-000011,-0.377110713239
ACH-000012,-0.524982121234
ACH-000013,-0.587369163589
ACH-000014,-0.48292427638
ACH-000015,-0.368417280739
ACH-000017,-0.350000590201
ACH-000018,-0.756712651594
ACH-000019,-0.7354958805640001
ACH-000021,-0.545539858837
ACH-000022,-0.636204370128
ACH-000025,-0.742924916221
ACH-000028,-0.691840925047
ACH-000030,-0.5880760184380001
ACH-000035,-0.7557770022370001
ACH-000036,-0.698197330088
ACH-000037,-0.504546589107
ACH-000039,-0.759173730836
ACH-000040,-0.581091741175
ACH-000041,-0.582391571461
ACH-000042,-0.6940152241490001
ACH-000045,-0.46167040468599996
ACH-000047,-0.670381659984
ACH-000052,-0.715813661631
ACH-000053,-0.522246417637
ACH-000054,-0.617838381654
ACH-000055,-0.600771945883
ACH-000060,-0.608618641661
ACH-000067,-0.905190973792
ACH-000070,-0.586403425783
ACH-000075,-0.626444333555
ACH-000078,-0.563648616446
ACH-000082,-0.48324738988300003
ACH-000085,-0.935268614974
ACH-000086,-0.6410927351519999
ACH-000087,-0.479037482205
ACH-000092,-0.6293704082
ACH-000095,-0.778584699607
ACH-000097,-0.340458901655
ACH-000098,-0.655807034112
ACH-000099,-0.5863560815950001
ACH-000108,-0.584784644989
ACH-000113,-0.580136898842
ACH-000115,-0.7165498786660001
ACH-000116,-0.6539395288840001
ACH-000118,-0.6309740841579999
ACH-000120,-0.659264441997
ACH-000123,-0.5048448058330001
ACH-000127,-0.6770553706720001
ACH-000128,-0.590191616648
ACH-000132,-0.483270614825
ACH-000133,-0.7993168593440001
ACH-000137,-0.7311319027840001
ACH-000138,-0.8331481157359999
ACH-000142,-0.610472927949
ACH-000143,-0.422102292192
ACH-000146,-0.56531206659
ACH-000148,-0.643500207812
ACH-000150,-0.684005858894
ACH-000152,-0.818494981905
ACH-000153,-0.45928045833400005
ACH-000159,-0.637234828539
ACH-000160,-0.8192001253039999
ACH-000163,-0.643412460138
ACH-000167,-0.522238816612
ACH-000168,-0.971382691842
ACH-000169,-0.765324252852
ACH-000178,-0.591464637587
ACH-000182,-0.401412796917
ACH-000183,-0.40359041225299996
ACH-000188,-0.520355607628
ACH-000189,-0.47781405340300004
ACH-000190,-0.710735731874
ACH-000198,-0.670849420617
ACH-000204,-0.966574610193
ACH-000206,-0.711631367079
ACH-000207,-0.7829101373690001
ACH-000211,-0.6876453905069999
ACH-000215,-0.493472830046
ACH-000221,-0.43635596099
ACH-000222,-0.823719565346
ACH-000223,-0.659740511685
ACH-000226,-0.793404406984
