,NUPR1L (389493)
ACH-000004,-0.23685473706500002
ACH-000007,-0.511134388225
ACH-000009,-0.142654619651
ACH-000011,-0.380881079348
ACH-000012,-0.294306303247
ACH-000013,-0.183788086195
ACH-000014,-0.277746136019
ACH-000015,-0.27421015269
ACH-000017,-0.040630779929199994
ACH-000018,-0.0783705565659
ACH-000019,-0.18489891636300002
ACH-000021,-0.247891183097
ACH-000022,-0.282343892363
ACH-000025,-0.489995657923
ACH-000028,-0.11817205925999999
ACH-000030,-0.273122384181
ACH-000035,-0.316181402018
ACH-000036,-0.456064012884
ACH-000037,-0.163518704475
ACH-000039,-0.101466226465
ACH-000040,-0.183430862092
ACH-000041,-0.159195296313
ACH-000042,-0.25539868338000005
ACH-000045,-0.332638087107
ACH-000047,-0.270953127908
ACH-000052,-0.32595976970400004
ACH-000053,-0.30797343390099996
ACH-000054,-0.350783887983
ACH-000055,0.0385785764228
ACH-000060,-0.5737458964450001
ACH-000067,-0.22998002565200001
ACH-000070,-0.41413835488300005
ACH-000075,-0.33894512897
ACH-000078,-0.09126560755060001
ACH-000082,-0.37537379129299997
ACH-000085,-0.154217349407
ACH-000086,0.0158827981509
ACH-000087,0.0883222880015
ACH-000092,-0.18151086164799998
ACH-000095,-0.319788830841
ACH-000097,-0.137529275725
ACH-000098,-0.312721234158
ACH-000099,-0.116267191409
ACH-000108,-0.23339625746599998
ACH-000113,-0.346115682936
ACH-000115,-0.23689625054699998
ACH-000116,-0.189545191527
ACH-000118,-0.275507178087
ACH-000120,-0.34424587982199994
ACH-000123,-0.288128203042
ACH-000127,-0.35991074925
ACH-000128,-0.579406063371
ACH-000132,-0.0511660108844
ACH-000133,-0.415438106475
ACH-000137,-0.440019835506
ACH-000138,-0.327221567302
ACH-000142,-0.41797022054399996
ACH-000143,-0.20130908557799998
ACH-000146,-0.173386306916
ACH-000148,-0.211586014538
ACH-000150,-0.23890264130600003
ACH-000152,-0.035927143657999996
ACH-000153,-0.372148524241
ACH-000159,-0.5157530260059999
ACH-000160,-0.299154961557
ACH-000163,-0.437314195859
ACH-000167,-0.514349936031
ACH-000168,-0.154410962452
ACH-000169,-0.24236912785300002
ACH-000178,-0.32251387126200004
ACH-000182,-0.12114988881100001
ACH-000183,-0.369332207734
ACH-000188,-0.24799590826200002
ACH-000189,-0.491482344004
ACH-000190,-0.40559972001100003
ACH-000198,-0.27856954436299997
ACH-000204,-0.296459752671
ACH-000206,-0.193434321965
ACH-000207,-0.17223863400400002
ACH-000211,-0.20879508170699998
ACH-000215,-0.27984729854
ACH-000221,-0.492100335921
ACH-000222,-0.131323018654
ACH-000223,-0.28724944824799997
ACH-000226,-0.46254316750299995
ACH-000227,-0.189926695786
ACH-000228,-0.212165850576
ACH-000231,-0.30194304170499997
ACH-000232,-0.541692908719
ACH-000233,-0.18380430646600002
