,WTIP (126374)
ACH-000544,0.178965827203
ACH-000545,0.454112515481
ACH-000547,0.46723964601400003
ACH-000548,0.310320265195
ACH-000549,0.15565170539200002
ACH-000550,0.269256900874
ACH-000552,0.05724634778030001
ACH-000556,0.206521917773
ACH-000557,0.179165230826
ACH-000570,0.173591984945
ACH-000571,0.07390993938410001
ACH-000573,0.152739492983
ACH-000576,0.267978631127
ACH-000580,0.098232842448
ACH-000584,0.165474709364
ACH-000585,0.100607128114
ACH-000588,0.019255218671900002
ACH-000589,0.127740873005
ACH-000591,0.142535826418
ACH-000593,0.19093073879900002
ACH-000600,0.109697472883
ACH-000601,0.134048070835
ACH-000604,0.33530231372499997
ACH-000605,0.308875121428
ACH-000606,0.0816281325656
ACH-000608,0.00155605840562
ACH-000614,0.21706680273
ACH-000616,-0.0104723783335
ACH-000618,0.266278582502
ACH-000619,0.100220286562
ACH-000620,0.159153449186
ACH-000621,0.302688826661
ACH-000622,0.43098228218900003
ACH-000623,0.166958762596
ACH-000624,0.035210189765199996
ACH-000627,0.23870493112
ACH-000630,0.375869078521
ACH-000632,0.151353456172
ACH-000633,0.28798044074499995
ACH-000637,-0.030864367845299997
ACH-000638,0.279675293277
ACH-000646,0.07050555731060001
ACH-000647,0.148601683828
ACH-000648,0.27433244111
ACH-000649,0.153893589548
ACH-000651,-0.051164599809
ACH-000652,0.17263830505999997
ACH-000653,0.144140247359
ACH-000657,0.0858542251301
ACH-000658,0.287012100104
ACH-000661,0.27959405399099996
ACH-000662,0.25256125374
ACH-000663,0.188425144056
ACH-000665,0.133229050383
ACH-000671,0.38870340141599996
ACH-000673,0.230964945535
ACH-000676,0.135295920838
ACH-000677,-0.152090126052
ACH-000681,0.183710272841
ACH-000682,0.175908598067
ACH-000683,0.115238282659
ACH-000684,0.188471396617
ACH-000688,0.049371057061
ACH-000693,0.161238888067
ACH-000694,0.166452677262
ACH-000695,0.149176984855
ACH-000696,0.14080835556399998
ACH-000697,0.347987060625
ACH-000699,0.07911803857710001
ACH-000701,-0.24187111177099999
ACH-000706,0.371613423243
ACH-000711,0.0261747766151
ACH-000713,0.147905571526
ACH-000714,0.232985835939
ACH-000718,0.288352280794
ACH-000720,0.16555671650599998
ACH-000721,0.159499644458
ACH-000724,-0.507695399158
ACH-000725,0.160267430416
ACH-000732,-0.053084686966
ACH-000734,0.11273740687799999
ACH-000735,0.296086647576
ACH-000736,-0.0245626920389
ACH-000738,0.121270294497
ACH-000746,0.132454454179
ACH-000747,0.21318633725900002
ACH-000748,0.07059943258239999
ACH-000753,0.158868048106
ACH-000756,-0.0821131279892
ACH-000757,0.322659152702
ACH-000758,0.12589314537000001
ACH-000760,0.248743734197
ACH-000763,0.150404842776
ACH-000764,0.182611346657
ACH-000765,0.231904487166
ACH-000766,0.168888083635
ACH-000767,0.31016198212499996
ACH-000768,0.20242505982200001
ACH-000769,0.16670404784099999
ACH-000770,0.282358189478
ACH-000771,0.179934727265
ACH-000773,0.354919700013
ACH-000776,0.0453288951652
ACH-000777,0.15247996240800002
ACH-000778,0.41451418109800003
ACH-000781,0.219596064774
ACH-000782,0.34123269748199997
ACH-000783,0.245325602804
ACH-000784,0.10726738942700001
ACH-000785,0.417131645492
ACH-000787,0.207577989144
ACH-000788,0.248098263864
ACH-000791,0.319089794995
ACH-000792,0.12826144074100002
ACH-000794,0.27671922118000003
ACH-000796,0.10125982252999999
ACH-000799,-0.0130192876843
ACH-000800,0.254322672149
ACH-000802,0.231080538363
ACH-000804,0.302224770861
ACH-000805,0.131647183332
ACH-000809,0.302220412885
ACH-000810,0.21384405206300003
ACH-000811,0.208775284958
ACH-000817,0.127637002513
ACH-000819,0.196240258119
ACH-000820,0.43057044552699997
ACH-000821,0.12049506929300001
ACH-000822,-0.0622568587022
ACH-000823,0.197227231164
ACH-000824,0.0515287094369
ACH-000827,0.0964658133594
ACH-000829,0.293053768705
ACH-000831,-0.0661933498268
ACH-000832,0.361582163843
ACH-000833,0.0152971006351
ACH-000834,-0.0886577628692
ACH-000835,0.0544026804024
ACH-000836,0.122782257063
ACH-000837,0.306802559116
ACH-000838,0.368408751607
ACH-000839,0.22081976066
ACH-000840,0.0750403019286
ACH-000841,0.462411836826
ACH-000843,0.110613139
ACH-000846,0.0659876004423
ACH-000847,0.23641887253000002
ACH-000848,0.0522784496398
ACH-000849,0.131150489881
ACH-000851,0.104424843546
ACH-000855,0.08475406906460001
ACH-000856,0.274980092403
ACH-000858,0.10928423638599999
ACH-000859,0.242668899485
ACH-000861,-0.0725222770145
ACH-000862,0.20583935047000002
ACH-000865,0.09092185846419999
ACH-000866,0.106000461829
ACH-000867,0.147571274922
ACH-000869,0.00534205466916
ACH-000872,0.0820426138341
ACH-000873,0.113050068938
ACH-000876,0.169352839664
ACH-000878,0.304572536535
ACH-000880,0.0223797095193
ACH-000881,0.209784130731
ACH-000882,0.14965907934699998
ACH-000884,0.15211456222300002
ACH-000885,0.209731499448
ACH-000887,0.08876748465260001
ACH-000888,0.200596174762
ACH-000889,0.20381782782000002
ACH-000890,0.19606813258000003
ACH-000896,0.0287521343418
ACH-000898,0.330552009835
ACH-000900,0.194047685457
ACH-000901,0.07574764524460001
ACH-000905,0.172943934676
ACH-000906,0.12216038848300001
ACH-000907,0.225591820198
ACH-000910,0.295503501582
ACH-000911,0.111684104188
ACH-000912,-0.08354040303280001
ACH-000913,0.19229909907099998
ACH-000915,0.0573071208012
ACH-000916,0.265866012221
ACH-000917,-0.07704796005039999
ACH-000921,0.059930198289199994
ACH-000924,0.0941845416247
ACH-000926,0.41883320432599996
ACH-000928,0.173027589734
ACH-000929,0.270037834252
ACH-000932,0.28592646551399997
ACH-000935,0.304923278683
ACH-000936,-0.07154494835639999
ACH-000937,0.145712345338
ACH-000938,0.104200129889
ACH-000939,-0.141414690144
ACH-000941,0.21902379261
ACH-000943,0.08511019369039999
ACH-000946,0.10819094424
ACH-000947,0.09807130435660001
ACH-000948,-0.143982544331
ACH-000950,0.153779207658
ACH-000953,0.14284501340999997
ACH-000957,-0.251918382293
ACH-000958,0.252014799912
ACH-000960,0.0911802747854
ACH-000963,0.33736795948
ACH-000968,0.198178210596
ACH-000969,0.12813964872000003
ACH-000973,0.15254731116599998
ACH-000974,0.10020342373400001
ACH-000975,0.23736396102899998
ACH-000976,0.269587130284
ACH-000978,0.23727491849399998
ACH-000980,0.127855938528
ACH-000984,0.20055332672200002
ACH-000986,0.188437363384
ACH-000988,-0.00164382026007
ACH-000993,0.0892211453342
ACH-000994,0.13044871534900002
ACH-000996,0.00500165515578
ACH-001001,0.151333100138
ACH-001020,-0.193584000458
ACH-001028,0.0884341109535
ACH-001031,0.11200397093
ACH-001038,0.175975126019
ACH-001048,0.131182486849
ACH-001050,0.23449307674199998
ACH-001053,0.3363529102
ACH-001054,0.318075301219
ACH-001061,0.118445489485
