,R3HCC1L (27291)
ACH-000004,0.0543692091113
ACH-000007,-0.0627095011002
ACH-000009,-0.26348628927900003
ACH-000011,0.166451393192
ACH-000012,0.0980000308983
ACH-000013,0.0845944721488
ACH-000014,-0.079506006749
ACH-000015,-0.12126109590399999
ACH-000017,0.201120291012
ACH-000018,0.10691802046900001
ACH-000019,-0.0459755521794
ACH-000021,-0.034567807430099996
ACH-000022,0.12933066308
ACH-000025,-0.0607023850978
ACH-000028,0.0142310439864
ACH-000030,-0.136326362938
ACH-000035,-0.0484157238076
ACH-000036,0.039562271900199994
ACH-000037,0.0299009573252
ACH-000039,-0.179097648411
ACH-000040,-0.127808181386
ACH-000041,-0.0203780579095
ACH-000042,-0.12010027743599999
ACH-000045,0.308542677293
ACH-000047,0.155889104038
ACH-000052,-0.005406230474340001
ACH-000053,-0.09742463081710001
ACH-000054,0.0727580653737
ACH-000055,0.0641881046195
ACH-000060,-0.048039750319800005
ACH-000067,0.17629495205200002
ACH-000070,-0.191242087438
ACH-000075,-0.186408875277
ACH-000078,-0.149439702669
ACH-000082,0.010046189984799999
ACH-000085,0.267677938452
ACH-000086,-0.16643005591600002
ACH-000087,0.104325664659
ACH-000092,-0.0263473195378
ACH-000095,-0.22077798640299998
ACH-000097,-0.069328185274
ACH-000098,0.116625316798
ACH-000099,-0.0566189920578
ACH-000108,0.137500617065
ACH-000113,0.10232632624600001
ACH-000115,-0.42528217324900003
ACH-000116,0.00799173715215
ACH-000118,-0.0798992312436
ACH-000120,-0.0987021392976
ACH-000123,-0.18941116637699998
ACH-000127,0.0771104384118
ACH-000128,0.18015964303100002
ACH-000132,0.041411569348499995
ACH-000133,0.0362654598179
ACH-000137,0.021179973496
ACH-000138,-0.09686987970699999
ACH-000142,-0.134293369075
ACH-000143,0.00585535413266
ACH-000146,-0.00280833450398
ACH-000148,-0.140893524559
ACH-000150,0.0922170142565
ACH-000152,0.0929840528538
ACH-000153,-0.00663079305879
ACH-000159,0.057675627345500004
ACH-000160,-0.191042458738
ACH-000163,-0.08258433753
ACH-000167,-0.33516380986
ACH-000168,-0.000707971148839
ACH-000169,0.026363724237700004
ACH-000178,-0.0145937859893
ACH-000182,-0.0203331860525
ACH-000183,0.137277845614
ACH-000188,0.14728396257999998
ACH-000189,0.07229098503169999
ACH-000190,0.0942216500298
ACH-000198,-0.0330265659996
ACH-000204,-0.12516592567600002
ACH-000206,0.0014033256678299998
ACH-000207,-0.0212555299057
ACH-000211,-0.116359271391
ACH-000215,-0.10248816891899999
ACH-000221,0.0254843045462
ACH-000222,0.150775639232
ACH-000223,-0.107091386558
ACH-000226,0.05944828749480001
ACH-000227,-0.262607158284
ACH-000228,-0.0340988264406
ACH-000231,0.0507642100213
ACH-000232,0.023699012376900003
ACH-000233,0.0609974777067
ACH-000234,0.0458348710592
ACH-000235,-0.054777745998
ACH-000237,-0.10987164635199999
ACH-000238,0.303623522794
