,SNRPB2 (6629)
ACH-000004,-0.5124451408139999
ACH-000007,-1.17196785945
ACH-000009,-0.8731460533140001
ACH-000011,-0.398503629261
ACH-000012,-0.828074574868
ACH-000013,-0.19298387667599998
ACH-000014,-0.465270220661
ACH-000015,-0.592265687767
ACH-000017,-0.9017289328010001
ACH-000018,-0.677231255151
ACH-000019,-0.663998444415
ACH-000021,-0.18121485907499998
ACH-000022,-0.568855791953
ACH-000025,-0.588832883914
ACH-000028,-1.0140549551
ACH-000030,-0.762925088114
ACH-000035,-0.943798657658
ACH-000036,-0.858878393286
ACH-000037,-0.38255045901900003
ACH-000039,-0.7751547190960001
ACH-000040,-0.741545122319
ACH-000041,-0.483146370576
ACH-000042,-0.8202078959970001
ACH-000045,-0.319867650674
ACH-000047,-0.292735085849
ACH-000052,-0.527115925184
ACH-000053,-0.555967861458
ACH-000054,-0.484399759887
ACH-000055,-0.145413496062
ACH-000060,-0.295576501634
ACH-000067,-0.9707002949089999
ACH-000070,-0.10057849935
ACH-000075,-0.6975553205670001
ACH-000078,-0.611659275063
ACH-000082,0.0382141739707
ACH-000085,-0.5875641057850001
ACH-000086,-0.0115191314952
ACH-000087,-0.627043320298
ACH-000092,-0.436277409164
ACH-000095,-0.133230524311
ACH-000097,-1.3987275469299998
ACH-000098,0.0477648845175
ACH-000099,-0.254040685841
ACH-000108,-0.6397187981019999
ACH-000113,-0.517429819572
ACH-000115,-0.94816623981
ACH-000116,-0.8710685884899999
ACH-000118,-1.00291602158
ACH-000120,-0.129333925855
ACH-000123,-0.397794268287
ACH-000127,-0.745362854328
ACH-000128,-0.0573621716488
ACH-000132,-0.0150198233269
ACH-000133,-0.557939855899
ACH-000137,-0.8222352386920001
ACH-000138,-0.35045514861
ACH-000142,-0.882300716175
ACH-000143,-0.35981256673
ACH-000146,-1.07449088019
ACH-000148,-0.132233892305
ACH-000150,-0.112004269541
ACH-000152,-1.19546189118
ACH-000153,-1.20633761065
ACH-000159,-1.1172273762
ACH-000160,-0.514001924595
ACH-000163,-0.8251718212989999
ACH-000167,-0.793743997654
ACH-000168,-0.948241036953
ACH-000169,0.0128818829687
ACH-000178,-0.16105059827600002
ACH-000182,-1.15735273183
ACH-000183,-0.57965909315
ACH-000188,-1.1027790299299998
ACH-000189,-0.5297705651
ACH-000190,-1.07149708623
ACH-000198,-0.38305195339500003
ACH-000204,-0.45095583901999997
ACH-000206,-0.575113907012
ACH-000207,-0.880129848357
ACH-000211,-1.08717138955
ACH-000215,-1.11865986354
ACH-000221,-1.03814811138
ACH-000222,-0.821063024957
ACH-000223,-0.419774269615
ACH-000226,-1.0992220235799999
ACH-000227,-0.0780028664908
ACH-000228,-0.8141030354600001
ACH-000231,-1.29348995721
ACH-000232,-1.15729938177
ACH-000233,-0.776927913736
ACH-000234,-0.5335921627260001
ACH-000235,-1.13891858696
ACH-000237,-0.9666481089480001
ACH-000238,-0.852736581876
ACH-000243,-1.065748697
ACH-000244,-1.13779838377
ACH-000246,-1.1273131858399998
ACH-000248,-0.92354932661
ACH-000250,-0.836646692545
ACH-000251,-0.359416861364
ACH-000253,-0.777436765018
ACH-000255,-0.452085847806
ACH-000256,-0.6354400207240001
ACH-000257,-0.45256044368799997
ACH-000258,-0.34476212846999993
ACH-000259,0.075885497033
ACH-000260,-0.043625163763800004
ACH-000261,-0.0256527290997
ACH-000262,-1.0609015203299998
ACH-000263,-0.42426830208099997
ACH-000264,-0.23022771002099998
ACH-000265,-0.866146577363
ACH-000266,-1.04964888947
ACH-000272,0.09063688581810002
ACH-000273,-1.19226840735
ACH-000274,-0.32467225809300004
ACH-000277,-0.41898868140600004
ACH-000278,-1.074810225
ACH-000279,-0.350032620624
ACH-000280,-0.5480767473129999
ACH-000281,-0.301477940649
ACH-000288,-0.0588860796299
ACH-000291,-0.436277720986
ACH-000293,-0.9476439631620001
ACH-000294,-0.8138558936
ACH-000295,-0.0908301443911
ACH-000296,-0.244991383501
ACH-000302,-0.747420484014
ACH-000304,-0.438525919259
ACH-000307,-0.772738134433
ACH-000308,-0.8346592210250001
ACH-000310,-0.523196099649
ACH-000311,-0.66266466906
ACH-000312,-0.216006158253
ACH-000315,-0.951402060255
ACH-000316,-0.224459345216
ACH-000317,-0.18631195212499999
ACH-000318,-0.36970821207099996
ACH-000319,-0.15345942844799998
ACH-000320,-0.612824465879
ACH-000322,-0.665471597638
ACH-000323,-0.761497631171
ACH-000324,-0.233960912119
ACH-000329,-0.658001712577
