,ATP6V0D1 (9114)
ACH-000004,-0.579514720679
ACH-000007,-0.567070956295
ACH-000009,-0.11968572199100001
ACH-000011,-0.479950915159
ACH-000012,-0.310976417504
ACH-000013,-0.239711578776
ACH-000014,-0.485982530571
ACH-000015,-0.1293042679
ACH-000017,-0.799666482485
ACH-000018,-0.576965884006
ACH-000019,-0.506710651078
ACH-000021,-0.682197233784
ACH-000022,-0.254216052993
ACH-000025,-0.6795393094200001
ACH-000028,0.046544931915999996
ACH-000030,-0.45422374397799997
ACH-000035,-0.430108460346
ACH-000036,-0.481638631469
ACH-000037,-0.7256154583390001
ACH-000039,-0.396737989678
ACH-000040,-0.6311268684369999
ACH-000041,-0.39859481555
ACH-000042,-0.23647869960499998
ACH-000045,-0.590723050935
ACH-000047,-0.41714778874499997
ACH-000052,-0.830010993018
ACH-000053,-0.5906790614940001
ACH-000054,-0.296757940238
ACH-000055,-0.405421096152
ACH-000060,-0.526502599898
ACH-000067,-0.44485415298299996
ACH-000070,-0.756294639537
ACH-000075,-0.569078079617
ACH-000078,-0.511654445823
ACH-000082,-0.990065861102
ACH-000085,-0.38942419368000003
ACH-000086,-0.5211550990339999
ACH-000087,-0.500663401303
ACH-000092,-0.5797629689370001
ACH-000095,-0.40654012849
ACH-000097,-0.251204029222
ACH-000098,-0.5499473135140001
ACH-000099,-0.28360506292800003
ACH-000108,-0.44369098876999996
ACH-000113,-0.464538016872
ACH-000115,-0.317588126727
ACH-000116,-0.353334996475
ACH-000118,-0.333322344717
ACH-000120,-0.188393988294
ACH-000123,-0.460706646126
ACH-000127,-0.673205177228
ACH-000128,-0.708649219241
ACH-000132,-0.529770869934
ACH-000133,-1.0152799814700002
ACH-000137,-0.390130968609
ACH-000138,-0.33222795926
ACH-000142,-0.647965480195
ACH-000143,-0.48620982915700006
ACH-000146,-0.637629155471
ACH-000148,-0.49628595079300003
ACH-000150,-0.29525731504
ACH-000152,-0.737326341949
ACH-000153,-0.465404161295
ACH-000159,-0.506113256251
ACH-000160,-0.436365700062
ACH-000163,-0.30475595261300004
ACH-000167,-0.628056200293
ACH-000168,-0.387657602397
ACH-000169,-0.651635010041
ACH-000178,-0.668054820691
ACH-000182,-0.335783847002
ACH-000183,-0.548964694568
ACH-000188,-0.504503833298
ACH-000189,-0.751263476617
ACH-000190,-0.535771040682
ACH-000198,-0.486904434919
ACH-000204,-0.37146487941
ACH-000206,-0.512257541152
ACH-000207,-0.641482038297
ACH-000211,-0.693606919669
ACH-000215,-0.535318675487
ACH-000221,-0.31092032552099996
ACH-000222,-0.074338104768
ACH-000223,-0.46890238893299996
ACH-000226,-0.431362122874
ACH-000227,-0.38584484540299996
ACH-000228,-0.4476180769
ACH-000231,-0.706870040167
ACH-000232,-0.501803038799
ACH-000233,-0.675577414438
ACH-000234,-0.578995441327
ACH-000235,-0.442109475618
ACH-000237,-0.615568752698
ACH-000238,-0.320234614518
ACH-000243,-0.36285692635
ACH-000244,-0.874088434534
ACH-000246,-0.46777055725100003
ACH-000248,-0.515293921675
ACH-000250,-0.5425881935679999
ACH-000251,-0.461723565274
ACH-000253,-0.609013750008
ACH-000255,-0.508334418186
ACH-000256,-0.360105342293
ACH-000257,-0.831140117847
ACH-000258,-0.488741182487
ACH-000259,-0.653987292022
ACH-000260,-0.37121047561399995
ACH-000261,-0.414628436691
ACH-000262,-0.39256570674099994
ACH-000263,-0.716282948554
ACH-000264,-0.6067399447290001
ACH-000265,-0.17615698424600001
ACH-000266,-0.687468076283
ACH-000272,-0.5907346255229999
ACH-000273,-0.63262208445
ACH-000274,-0.33799757009099995
ACH-000277,-0.6738168277969999
ACH-000278,-0.7965183430930001
ACH-000279,-0.487949789273
ACH-000280,-0.440306742877
ACH-000281,-0.413309191508
ACH-000288,-0.661154572206
ACH-000291,-0.122431457358
ACH-000293,-0.557125062326
ACH-000294,-0.08853401890939999
ACH-000295,-0.758142282601
ACH-000296,-0.437448186892
ACH-000302,-0.38600137028000003
ACH-000304,-0.406095368778
ACH-000307,-0.5276846473269999
ACH-000308,-0.46908686718500003
ACH-000310,-0.6068804902
ACH-000311,-0.571663982893
ACH-000312,-0.375504455673
ACH-000315,-0.891623100166
ACH-000316,-0.0413431043983
ACH-000317,-0.259471041591
ACH-000318,-0.439524222633
ACH-000319,-0.517490393741
ACH-000320,-0.479433445361
ACH-000322,-0.690952176238
ACH-000323,-0.111345753384
ACH-000324,-0.269938660427
ACH-000329,-0.48817764831699995
ACH-000330,-0.723627320546
ACH-000331,-0.571430049478
ACH-000332,-0.568348627813
ACH-000334,-0.676824175247
ACH-000335,-0.110207389902
ACH-000336,-0.44205174345299997
ACH-000337,-0.6698242680740001
ACH-000339,-0.506502817154
ACH-000341,-0.29598162338100004
ACH-000348,-0.492662073368
ACH-000350,-0.577051937677
ACH-000352,-0.460712805785
ACH-000356,-0.370037255972
ACH-000361,-0.6417120488
ACH-000362,-0.362124856319
ACH-000363,-1.04812269044
ACH-000364,-0.459012398631
ACH-000365,-0.511167265962
ACH-000366,-0.509703133559
ACH-000368,-0.298058789906
ACH-000374,-0.34251139227899996
ACH-000375,-0.5756981138939999
ACH-000376,-0.374045922342
ACH-000381,-0.33806410684
ACH-000383,-0.668096438615
ACH-000387,-0.525491305209
ACH-000389,-0.2886956812
ACH-000390,-0.357492295839
ACH-000393,-0.3671908049
ACH-000395,-0.613017186967
ACH-000397,-0.570051922942
ACH-000401,-0.57245157087
ACH-000402,-0.33703716377400006
ACH-000403,-0.8288388856960001
ACH-000404,-0.23226022175099997
ACH-000406,-0.648939512677
ACH-000407,-0.44495246853299997
ACH-000408,-0.36720101161200003
ACH-000410,-0.460354341634
ACH-000411,-0.31588929043999997
ACH-000414,-0.390131734392
ACH-000415,-0.395404032729
ACH-000416,-0.5296461472730001
ACH-000420,-0.366360099019
