,MICALCL (84953)
ACH-000004,0.141069488439
ACH-000007,0.08990678808260001
ACH-000009,0.024353182893599997
ACH-000011,0.135275523722
ACH-000012,0.14379505705499998
ACH-000013,0.0165707038188
ACH-000014,-0.0613825620349
ACH-000015,0.173729620803
ACH-000017,-0.0749984089717
ACH-000018,0.060136459793999994
ACH-000019,0.163703192004
ACH-000021,0.053110861285699994
ACH-000022,0.04911774899640001
ACH-000025,-0.0767674128732
ACH-000028,0.0896224277675
ACH-000030,0.0152671221569
ACH-000035,-0.0406264976989
ACH-000036,0.0272050230115
ACH-000037,-0.0298633652784
ACH-000039,0.011117158996200001
ACH-000040,-0.04040938691090001
ACH-000041,-0.009773277648649999
ACH-000042,0.0546623807943
ACH-000045,0.026455759353
ACH-000047,-0.05687177299769999
ACH-000052,0.20929863633200002
ACH-000053,0.0812697209725
ACH-000054,0.0488638847219
ACH-000055,0.167472139687
ACH-000060,0.0786382059613
ACH-000067,0.150642779998
ACH-000070,0.026187962820700003
ACH-000075,-0.299100012722
ACH-000078,0.10645122928999999
ACH-000082,0.14826368620799998
ACH-000085,-0.153370158864
ACH-000086,0.09477247493079999
ACH-000087,0.11559371873199999
ACH-000092,0.174781197621
ACH-000095,0.050269752953699995
ACH-000097,0.0210006812335
ACH-000098,0.0688481763633
ACH-000099,0.10860614459699999
ACH-000108,0.115585452356
ACH-000113,0.0349960196385
ACH-000115,0.030610995900900002
ACH-000116,0.0344497365794
ACH-000118,0.07771877795
ACH-000120,0.20870590150899998
ACH-000123,-0.012392265167
ACH-000127,0.12027243031500001
ACH-000128,0.0364128775102
ACH-000132,0.111727029529
ACH-000133,-0.0550317896489
ACH-000137,-0.18393233801800002
ACH-000138,-0.00379351146808
ACH-000142,-0.234015151993
ACH-000143,-0.0764538755393
ACH-000146,0.0739305708517
ACH-000148,0.0132999128968
ACH-000150,0.148279570544
ACH-000152,0.011874879149499999
ACH-000153,-0.034530682376900004
ACH-000159,-0.02966004262
ACH-000160,0.0902748371662
ACH-000163,0.151652989406
ACH-000167,0.258369494416
ACH-000168,0.028996122694000002
ACH-000169,0.051698597673500005
ACH-000178,0.08301393933939999
ACH-000182,-0.04675989849019999
ACH-000183,0.267430152377
ACH-000188,0.062544807584
ACH-000189,-0.0382602716293
ACH-000190,0.192603647828
ACH-000198,0.00608004089484
ACH-000204,0.221219167337
ACH-000206,0.219238119646
ACH-000207,0.16529951116900002
ACH-000211,0.131793181265
ACH-000215,0.024981285008
ACH-000221,0.0146366922469
ACH-000222,0.131368037041
ACH-000223,0.276745173094
ACH-000226,0.16086359950999998
ACH-000227,0.0911669844743
ACH-000228,0.182426324694
ACH-000231,0.100922092467
ACH-000232,0.019568633166900003
ACH-000233,0.0655744065878
ACH-000234,0.08717806522560001
ACH-000235,0.10770728094200001
ACH-000237,0.0716164874063
ACH-000238,0.0710189262237
ACH-000243,0.0970516934509
ACH-000244,-0.39477272302599997
ACH-000246,0.103363109637
ACH-000248,0.192277244493
ACH-000250,-0.0292497870816
ACH-000251,0.223662885928
ACH-000253,-0.0167602696265
