,PNN (5411)
ACH-000004,-1.09342250372
ACH-000007,-0.9866584028509999
ACH-000009,-0.7842747254029999
ACH-000011,-0.7819700483390001
ACH-000012,-0.8507420889149999
ACH-000013,-0.649610150771
ACH-000014,-0.384764645515
ACH-000015,-0.758052848565
ACH-000017,-1.10951546861
ACH-000018,-0.673530766136
ACH-000019,-0.9818592913779999
ACH-000021,-0.795328349397
ACH-000022,-0.622322461764
ACH-000025,-0.8656280026369999
ACH-000028,-0.7650921188869999
ACH-000030,-0.7892896449179999
ACH-000035,-0.834276003118
ACH-000036,-0.815710288468
ACH-000037,-1.33760114472
ACH-000039,-0.642359313928
ACH-000040,-0.650877379605
ACH-000041,-0.863504726415
ACH-000042,-0.659899616837
ACH-000045,-0.899607344031
ACH-000047,-0.807258000715
ACH-000052,-1.11636221788
ACH-000053,-0.846447746358
ACH-000054,-0.7938721858869999
ACH-000055,-0.7125536201870001
ACH-000060,-1.04042184281
ACH-000067,-0.933667729908
ACH-000070,-1.04297987107
ACH-000075,-1.13964981937
ACH-000078,-0.872134427082
ACH-000082,-0.843928495395
ACH-000085,-0.41491662950900005
ACH-000086,-0.78927903994
ACH-000087,-0.66722693583
ACH-000092,-0.874625250141
ACH-000095,-0.686542434675
ACH-000097,-0.9044752367919999
ACH-000098,-0.794898847519
ACH-000099,-0.7822695820290001
ACH-000108,-0.7095407884280001
ACH-000113,-0.794459545049
ACH-000115,-0.942233206408
ACH-000116,-0.797581147939
ACH-000118,-0.570477197889
ACH-000120,-0.766987790899
ACH-000123,-0.715835092808
ACH-000127,-0.884176546781
ACH-000128,-0.862271741309
ACH-000132,-0.9407919938079999
ACH-000133,-0.818613963187
ACH-000137,-0.72116415308
ACH-000138,-0.40649682542300003
ACH-000142,-0.574496634409
ACH-000143,-1.1395158138200001
ACH-000146,-0.7387976141670001
ACH-000148,-0.962302198469
ACH-000150,-0.879262410334
ACH-000152,-0.7763479195649999
ACH-000153,-0.590728034469
ACH-000159,-1.02813079415
ACH-000160,-0.78529338891
ACH-000163,-0.7355014413969999
ACH-000167,-0.825748933118
ACH-000168,-0.8921695224680001
ACH-000169,-0.768329557618
ACH-000178,-0.638593902946
ACH-000182,-0.768271316451
ACH-000183,-0.736944408613
ACH-000188,-0.918760211952
ACH-000189,-0.766566396976
ACH-000190,-0.864729112034
ACH-000198,-0.842099404649
ACH-000204,-1.35169183037
ACH-000206,-0.7290215082350001
ACH-000207,-0.789286027374
ACH-000211,-0.881753633575
ACH-000215,-0.713720272702
ACH-000221,-0.7853275762049999
ACH-000222,-0.647485809456
ACH-000223,-0.7237609676960001
ACH-000226,-0.909199908254
ACH-000227,-0.653142706943
ACH-000228,-0.792654079688
ACH-000231,-0.830834714555
ACH-000232,-0.817155726768
ACH-000233,-0.741171754947
ACH-000234,-0.676318974017
ACH-000235,-0.774519039403
ACH-000237,-0.49124782802199995
ACH-000238,-0.843417078473
ACH-000243,-0.7583601644969999
ACH-000244,-0.743627509894
ACH-000246,-1.01537669898
ACH-000248,-0.9214246249789999
ACH-000250,-0.907614778694
ACH-000251,-0.741991509418
ACH-000253,-0.849468118797
ACH-000255,-0.555618902691
ACH-000256,-0.972469268374
ACH-000257,-0.909434083547
ACH-000258,-0.968844755952
ACH-000259,-0.73990692971
ACH-000260,-0.718637432152
ACH-000261,-0.8035579626029999
ACH-000262,-0.726640708018
ACH-000263,-1.13586315061
ACH-000264,-0.7626524212100001
ACH-000265,-0.625915261203
ACH-000266,-0.914268691488
ACH-000272,-0.895658518231
ACH-000273,-0.7243303409209999
ACH-000274,-1.1265696976700001
ACH-000277,-0.729387451056
ACH-000278,-0.906021814969
ACH-000279,-0.7944795176330001
ACH-000280,-0.720458203969
ACH-000281,-0.8604921073630001
ACH-000288,-0.794970331118
ACH-000291,-0.5844068794
ACH-000293,-0.607331590051
ACH-000294,-0.825802550915
ACH-000295,-1.26473339332
ACH-000296,-0.6770850200740001
ACH-000302,-0.62217968956
ACH-000304,-0.640036988648
ACH-000307,-0.767507534745
ACH-000308,-0.7014889600149999
ACH-000310,-0.8640209434110001
ACH-000311,-0.982007036812
ACH-000312,-0.659711809136
ACH-000315,-0.884050435543
ACH-000316,-0.7862678897409999
ACH-000317,-0.729202905695
ACH-000318,-0.737827860358
ACH-000319,-0.739075527291
ACH-000320,-0.43607580828299997
ACH-000322,-1.04442701389
ACH-000323,-0.755855948091
ACH-000324,-0.7946839985549999
ACH-000329,-0.933245173712
ACH-000330,-0.773597293704
ACH-000331,-0.825659734754
ACH-000332,-0.769705410311
ACH-000334,-0.7094319850130001
ACH-000335,-0.534997325914
ACH-000336,-1.2638761670999998
ACH-000337,-0.670505075906
ACH-000339,-0.647566421637
ACH-000341,-0.899348053963
ACH-000348,-0.7503518267110001
ACH-000350,-0.7874333488040001
ACH-000352,-0.841234463088
ACH-000356,-0.523272904146
ACH-000361,-0.367676795431
ACH-000362,-0.82352235213
ACH-000363,-0.9180002483990001
ACH-000364,-1.0488303485700001
ACH-000365,-0.714440083454
ACH-000366,-0.729706098141
ACH-000368,-1.12386603619
ACH-000374,-0.885341689008
ACH-000375,-0.6945670422660001
ACH-000376,-0.6765405437279999
ACH-000381,-0.821764493407
ACH-000383,-0.786925703643
ACH-000387,-0.863493821086
ACH-000389,-0.710417100348
ACH-000390,-0.510283748697
ACH-000393,-0.925575681796
ACH-000395,-0.744425346395
ACH-000397,-0.8891643786390001
ACH-000401,-0.549589277585
ACH-000402,-0.936154253433
ACH-000403,-1.30703935015
ACH-000404,-0.453375196771
ACH-000406,-0.941627416005
ACH-000407,-0.7467710245360001
ACH-000408,-0.5369804440739999
ACH-000410,-0.638281455731
ACH-000411,-0.787031020968
ACH-000414,-0.874398567471
ACH-000415,-0.742175968756
ACH-000416,-0.8341741226520001
ACH-000420,-0.863185070704
ACH-000421,-0.7401294848379999
ACH-000424,-0.6327674710360001
ACH-000425,-0.671717768223
ACH-000426,-0.779303185597
ACH-000427,-1.2773416445
ACH-000433,-0.7968491136220001
ACH-000436,-0.9237269725759999
ACH-000444,-0.7916852633570001
ACH-000445,-1.3094511290200002
ACH-000448,-1.00060969924
ACH-000450,-0.921702297241
ACH-000452,-0.6940010538760001
ACH-000454,-0.6915252472660001
ACH-000458,-0.6588890604819999
ACH-000459,-0.6621375594650001
ACH-000460,-0.8528251893819999
ACH-000461,-0.528279596803
ACH-000463,-0.795170083001
ACH-000464,-0.853395325441
ACH-000466,-0.5539849111190001
ACH-000467,-0.9652877165989999
ACH-000468,-0.856180166989
ACH-000469,-0.783528474402
ACH-000470,-0.696490644752
ACH-000471,-0.7826381816529999
ACH-000472,-0.9084092923649999
ACH-000473,-0.56289528376
ACH-000475,-0.565341370014
ACH-000476,-1.02559680453
ACH-000477,-0.8500863330539999
ACH-000480,-0.8649383412999999
ACH-000481,-0.971569140853
ACH-000483,-0.667249218487
ACH-000484,-1.12618287235
ACH-000485,-0.609150417449
ACH-000486,-0.963232284732
ACH-000487,-1.0265281861
ACH-000488,-0.843194432275
ACH-000490,-0.505992464962
ACH-000491,-0.950394612152
ACH-000495,-1.2243014023299998
ACH-000496,-0.36924703439400003
ACH-000499,-1.0
ACH-000500,-1.01204476637
ACH-000502,-0.8590739990180001
ACH-000503,-0.8633469389630001
ACH-000505,-0.7086303676989999
ACH-000507,-0.848485752395
ACH-000510,-0.951998517505
ACH-000511,-0.989463617792
ACH-000512,-0.512767783781
ACH-000516,-1.0854374636
ACH-000517,-0.827138705261
ACH-000518,-0.930079640355
ACH-000520,-0.7367294930949999
ACH-000521,-0.5789781112219999
ACH-000522,-0.773062306657
ACH-000524,-0.864394222652
ACH-000527,-0.6226706843500001
ACH-000528,-0.841501798429
ACH-000537,-0.947007515909
ACH-000541,-0.642969589969
ACH-000542,-0.737196335426
ACH-000544,-0.6020045089
ACH-000545,-0.935084576497
ACH-000547,-0.42093694622199995
ACH-000548,-0.8609251883700001
ACH-000549,-0.6566748042399999
ACH-000550,-1.0062568191399999
ACH-000552,-0.744027197982
ACH-000556,-0.8617370426019999
ACH-000557,-0.783053395349
ACH-000570,-0.631742096469
ACH-000571,-1.2567539704200001
ACH-000573,-0.774355155251
ACH-000576,-0.788937563805
ACH-000580,-1.11897947281
ACH-000584,-0.601214188953
ACH-000585,-0.807992241224
ACH-000588,-0.818651943755
ACH-000589,-0.7497358763699999
ACH-000591,-0.8151781075210001
ACH-000593,-0.645861413418
ACH-000600,-0.857937881232
ACH-000601,-0.719455777897
ACH-000604,-0.81937908281
ACH-000605,-0.722059394985
ACH-000606,-0.748091335553
ACH-000608,-1.31881638211
ACH-000614,-0.816758605798
ACH-000616,-0.7541420475470001
ACH-000618,-0.8326443759990001
ACH-000619,-0.7395000446359999
ACH-000620,-0.8107118747600001
ACH-000621,-1.0662027285
ACH-000622,-1.0702230855600001
ACH-000623,-0.9898559627339999
ACH-000624,-0.9258223297799999
ACH-000627,-0.861233816075
ACH-000630,-0.736865376102
ACH-000632,-1.0860508880500002
ACH-000633,-0.946997451861
ACH-000637,-1.02992993764
ACH-000638,-0.625118010651
ACH-000646,-0.637312793244
ACH-000647,-0.9459608604649999
ACH-000648,-1.01581461879
ACH-000649,-0.7980571460250001
ACH-000651,-0.872925349588
ACH-000652,-0.649938397246
ACH-000653,-1.0731461768200001
ACH-000657,-0.8809129540899999
ACH-000658,-0.952296420103
ACH-000661,-0.886184969121
