,TNXB (7148)
ACH-000004,-0.23071369904800001
ACH-000007,-0.190414760917
ACH-000009,-0.209952281261
ACH-000011,-0.151677471894
ACH-000012,-0.218319550447
ACH-000013,-0.251924849914
ACH-000014,-0.307578765159
ACH-000015,0.0103925006424
ACH-000017,-0.294274249264
ACH-000018,-0.19732738228399999
ACH-000019,-0.458959689477
ACH-000021,-0.257491352947
ACH-000022,-0.150904952012
ACH-000025,-0.0642400242159
ACH-000028,-0.46200203093599995
ACH-000030,-0.0653561278557
ACH-000035,-0.25432837309399997
ACH-000036,-0.12301503979900001
ACH-000037,-0.183614519269
ACH-000039,-0.0827165839237
ACH-000040,-0.18997924957600001
ACH-000041,-0.144048599263
ACH-000042,-0.145448586578
ACH-000045,-0.232875863576
ACH-000047,-0.257945722145
ACH-000052,-0.211331837009
ACH-000053,-0.239189249419
ACH-000054,-0.180211253739
ACH-000055,-0.261335067247
ACH-000060,-0.12731016791400002
ACH-000067,-0.125272652996
ACH-000070,-0.115791016738
ACH-000075,-0.132859729737
ACH-000078,-0.17514024934099998
ACH-000082,-0.253080347067
ACH-000085,-0.20341700321800002
ACH-000086,-0.168078509028
ACH-000087,-0.25153004230099996
ACH-000092,-0.193148806316
ACH-000095,-0.286289513583
ACH-000097,-0.160283122739
ACH-000098,-0.38533891028399997
ACH-000099,-0.162894671483
ACH-000108,-0.470512785542
ACH-000113,-0.383614504265
ACH-000115,-0.24231688726300002
ACH-000116,-0.10042055350500001
ACH-000118,-0.0313537181322
ACH-000120,-0.126851174935
ACH-000123,-0.18197573153299998
ACH-000127,-0.25325677721400003
ACH-000128,-0.521764890755
ACH-000132,-0.366719585993
ACH-000133,-0.238674616978
ACH-000137,-0.506731524953
ACH-000138,-0.343781808909
ACH-000142,-0.185197692
ACH-000143,-0.197148606565
ACH-000146,-0.227290783105
ACH-000148,-0.0272806116566
ACH-000150,-0.0805786054753
ACH-000152,-0.179656649695
ACH-000153,0.0269606108055
ACH-000159,-0.360172368152
ACH-000160,-0.41025465453800003
ACH-000163,0.11104437499299999
ACH-000167,-0.11597716887399999
ACH-000168,-0.46843444939999995
ACH-000169,-0.12776323627800001
ACH-000178,0.12948298157299998
ACH-000182,-0.167834045558
ACH-000183,-0.357153806985
ACH-000188,-0.123077694817
ACH-000189,-0.22522685678000004
ACH-000190,-0.345998943365
ACH-000198,-0.474806081043
ACH-000204,-0.31737587740400003
ACH-000206,-0.224240140178
ACH-000207,-0.35213230338299994
ACH-000211,-0.355209668625
ACH-000215,0.0235545756979
ACH-000221,0.0681237269337
ACH-000222,-0.123479162043
ACH-000223,-0.234839034625
ACH-000226,-0.349919070473
ACH-000227,-0.11413938321799999
ACH-000228,-0.496583109264
ACH-000231,-0.23777321516199998
ACH-000232,-0.37513344877099997
ACH-000233,-0.276921536831
ACH-000234,-0.116773865357
ACH-000235,-0.17066374695099998
ACH-000237,-0.09569387600919999
ACH-000238,-0.379596908235
ACH-000243,-0.25280016304200004
ACH-000244,-0.585791643772
ACH-000246,-0.110337364331
ACH-000248,-0.331878275651
ACH-000250,-0.262638557441
ACH-000251,-0.392239525911
ACH-000253,-0.24183716064
ACH-000255,-0.282386500191
ACH-000256,-0.147019204476
ACH-000257,-0.269568697834
ACH-000258,0.32914126452799997
ACH-000259,-0.0964117781512
ACH-000260,-0.313236180464
ACH-000261,-0.0606400374414
ACH-000262,-0.309443327553
ACH-000263,0.204971426976
ACH-000264,-0.226970932691
ACH-000265,-0.292818560906
ACH-000266,-0.37195640012500003
ACH-000272,-0.218576008193
ACH-000273,-0.17174109443500002
ACH-000274,-0.20962252843499998
ACH-000277,-0.358830472192
ACH-000278,-0.0289655408304
ACH-000279,-0.254734210339
ACH-000280,-0.333973888989
ACH-000281,-0.31747735455
ACH-000288,-0.145302038179
ACH-000291,-0.235658274232
ACH-000293,-0.340980015578
ACH-000294,-0.271143113256
ACH-000295,-0.483327438713
ACH-000296,-0.42033310690399994
ACH-000302,-0.44388873702200005
ACH-000304,0.0133967940886
ACH-000307,-0.157097484905
ACH-000308,-0.249388829626
ACH-000310,-0.381817190581
ACH-000311,-0.391411877321
ACH-000312,-0.326617856148
ACH-000315,0.08531036607239999
ACH-000316,-0.466108778577
ACH-000317,-0.42290480561
ACH-000318,-0.21493278309500002
ACH-000319,-0.275697680817
ACH-000320,-0.5388780431920001
ACH-000322,-0.43432052085600004
ACH-000323,-0.45757029085
ACH-000324,-0.201861979581
ACH-000329,-0.22291384521899998
ACH-000330,-0.491493200295
ACH-000331,-0.29433387771200004
ACH-000332,-0.43352247799500004
ACH-000334,-0.198015595503
ACH-000335,-0.46337876393
ACH-000336,-0.0871594949102
ACH-000337,-0.38491494316200003
ACH-000339,-0.191373061835
ACH-000341,-0.30311936928800004
ACH-000348,-0.103710854684
ACH-000350,-0.171118481578
ACH-000352,-0.31611353562399996
ACH-000356,-0.350927555721
ACH-000361,-0.439644171355
ACH-000362,-0.276363199015
ACH-000363,-0.216949097244
ACH-000364,-0.153160572416
ACH-000365,0.0484295105271
ACH-000366,-0.286917858874
ACH-000368,-0.313775224973
ACH-000374,-0.764992091109
ACH-000375,-0.246129596704
ACH-000376,-0.269587857465
ACH-000381,-0.185950552381
ACH-000383,-0.167601457479
ACH-000387,-0.120770925891
ACH-000389,-0.124087305463
ACH-000390,-0.452547963155
ACH-000393,-0.55682737963
ACH-000395,-0.0849816246081
ACH-000397,-0.281754090254
ACH-000401,-0.43080986407
ACH-000402,0.154523362049
ACH-000403,-0.176724541176
ACH-000404,-0.880226393831
ACH-000406,-0.329726073613
ACH-000407,0.026253025085999998
ACH-000408,0.017767640282299997
ACH-000410,-0.0596627209133
ACH-000411,-0.159160108342
ACH-000414,-0.269873017747
ACH-000415,-0.183610920526
ACH-000416,-0.108768343847
ACH-000420,-0.023578641236900004
ACH-000421,-0.22808177193000004
ACH-000424,-0.30481329833299997
ACH-000425,-0.19682929587200002
ACH-000426,-0.157381119848
ACH-000427,-0.353292840896
ACH-000433,-0.433944904434
ACH-000436,-0.506974953706
ACH-000444,-0.34218704201899997
ACH-000445,-0.7170334123659999
ACH-000448,-0.306362074868
ACH-000450,-0.175252003474
ACH-000452,-0.297522031287
ACH-000454,-0.47386668974299995
ACH-000458,-0.20503142920200002
ACH-000459,-0.0257886180254
ACH-000460,-0.192874952388
ACH-000461,-0.598287411623
ACH-000463,-0.293994955385
ACH-000464,-0.32882342813
ACH-000466,-0.111523636897
ACH-000467,-0.0859502728579
ACH-000468,-0.266292644638
ACH-000469,-0.21322286665999998
ACH-000470,-0.6413593458560001
ACH-000471,-0.314561239774
ACH-000472,-0.189368221208
ACH-000473,-0.21893815989
ACH-000475,-0.259938985435
ACH-000476,-0.388716931731
ACH-000477,-0.256200125899
ACH-000480,-0.0485447472475
ACH-000481,-0.39540743838299997
ACH-000483,-0.21354840886
ACH-000484,-0.0313774217021
ACH-000485,-0.40092668230800005
ACH-000486,-0.14382433826500002
ACH-000487,-0.143482009963
ACH-000488,-0.239545142863
ACH-000490,-0.39369123280699997
ACH-000491,-0.260964116329
ACH-000495,-0.218690230313
ACH-000496,-0.21017239037000002
ACH-000499,-0.207216268345
ACH-000500,-0.24358405284600002
ACH-000502,-0.23547816820700002
ACH-000503,-0.17062905430999997
ACH-000505,-0.33414424579999996
ACH-000507,-0.20598021739
ACH-000510,-0.145007246776
ACH-000511,0.0250060203095
ACH-000512,-0.47656433943000004
ACH-000516,-0.36359752141900004
ACH-000517,-0.252878645018
ACH-000518,-0.154546450383
ACH-000520,-0.294615324788
ACH-000521,-0.265261916327
ACH-000522,-0.109718196955
ACH-000524,-0.40087231276199997
ACH-000527,-0.250974943483
ACH-000528,-0.35051441785099996
ACH-000537,-0.214022858832
ACH-000541,-0.027045446012
ACH-000542,-0.186988880863
ACH-000544,-0.39801063439199996
ACH-000545,-0.2467525457
ACH-000547,-0.154869386427
ACH-000548,-0.24191267075599998
ACH-000549,-0.426001032464
ACH-000550,-0.207705143264
ACH-000552,-0.210363534936
ACH-000556,-0.053655017362800005
ACH-000557,-0.0714735249409
ACH-000570,-0.263827022204
ACH-000571,-0.0875246099363
ACH-000573,0.0401444723381
ACH-000576,-0.270604393094
ACH-000580,-0.19696847785799998
ACH-000584,-0.2017229649
