,EFNB3 (1949)
ACH-000004,0.0333257521235
ACH-000007,0.057245664468300005
ACH-000009,-0.188862706941
ACH-000011,-0.044231844039599996
ACH-000012,-0.178599673037
ACH-000013,-0.167510612072
ACH-000014,-0.147831914153
ACH-000015,-0.25833166064
ACH-000017,-0.29241112890099996
ACH-000018,-0.131246432837
ACH-000019,0.010450519956799999
ACH-000021,-0.0622617547316
ACH-000022,-0.23699057104000001
ACH-000025,-0.07389841561980001
ACH-000028,0.012277278063999999
ACH-000030,-0.0325391307766
ACH-000035,-0.0593950332531
ACH-000036,-0.20993559590799998
ACH-000037,0.0938287164521
ACH-000039,-0.104149566789
ACH-000040,-0.300782652055
ACH-000041,-0.0511369998855
ACH-000042,-0.205236504116
ACH-000045,-0.16801204158100003
ACH-000047,-0.166515304582
ACH-000052,0.232955436016
ACH-000053,-0.103566588189
ACH-000054,0.058912323922499996
ACH-000055,0.193016835767
ACH-000060,-0.14495265285
ACH-000067,-0.236146774336
ACH-000070,-0.22684682097
ACH-000075,-0.34671427638700003
ACH-000078,-0.19507617935
ACH-000082,-0.560990838942
ACH-000085,-0.24546631274300001
ACH-000086,0.0946782641328
ACH-000087,-0.17721468535300003
ACH-000092,0.0530560301791
ACH-000095,0.029323291233599995
ACH-000097,-0.168678096028
ACH-000098,-0.21137132996199998
ACH-000099,0.0571026965642
ACH-000108,-0.0139690911366
ACH-000113,-0.155601794937
ACH-000115,-0.049813283585800006
ACH-000116,-0.130589505578
ACH-000118,-0.152389499115
ACH-000120,0.009300506773629999
ACH-000123,-0.0030086219012399997
ACH-000127,-0.107976336574
ACH-000128,-0.13305371929600002
ACH-000132,-0.23983216683400002
ACH-000133,-0.231755564571
ACH-000137,-0.27993698316599996
ACH-000138,-0.06690456151549999
ACH-000142,-0.0269208291329
ACH-000143,0.18692840476199998
ACH-000146,-0.137783409073
ACH-000148,-0.119239600837
ACH-000150,-0.477684839771
ACH-000152,-0.18983854932799998
ACH-000153,-0.0206622311372
ACH-000159,-0.00802463856786
ACH-000160,-0.0957456996945
ACH-000163,0.0199870102895
ACH-000167,-0.139142140808
ACH-000168,-0.319550997369
ACH-000169,-0.13310378254799998
ACH-000178,-0.107230307731
ACH-000182,-0.107533341643
