,COX5B (1329)
ACH-000004,-0.615152655867
ACH-000007,-0.583895957004
ACH-000009,-0.519662194485
ACH-000011,-0.38102133653399994
ACH-000012,-0.509721484825
ACH-000013,-0.759189776426
ACH-000014,-0.823500485779
ACH-000015,-0.6845609517569999
ACH-000017,-0.543935837458
ACH-000018,-0.42055626754500003
ACH-000019,-1.10833018307
ACH-000021,-0.7507122408750001
ACH-000022,-0.752525925448
ACH-000025,-0.754758483715
ACH-000028,-0.691236924494
ACH-000030,-0.782654226752
ACH-000035,-0.7372217727150001
ACH-000036,-0.33431340618
ACH-000037,-0.788708857298
ACH-000039,-0.633638561865
ACH-000040,-0.449099301599
ACH-000041,-0.7019832963320001
ACH-000042,-0.438874697957
ACH-000045,-0.883095629271
ACH-000047,-0.8722563672910001
ACH-000052,-0.6760874009379999
ACH-000053,-0.620505957451
ACH-000054,-0.747813560351
ACH-000055,-0.7420388320640001
ACH-000060,-0.7395523238889999
ACH-000067,-0.6039142535459999
ACH-000070,-0.786460976263
ACH-000075,-0.659450519829
ACH-000078,-0.49000442620800005
ACH-000082,-0.554704289111
ACH-000085,-0.590627214775
ACH-000086,-0.6133327365219999
ACH-000087,-0.974021720466
ACH-000092,-0.7200065778120001
ACH-000095,-0.55800808441
ACH-000097,-0.643530438367
ACH-000098,-0.546405808989
ACH-000099,-0.722698856574
ACH-000108,-0.377642680855
ACH-000113,-0.663220692959
ACH-000115,-0.676035719985
ACH-000116,-0.7085489665350001
ACH-000118,-0.892293795239
ACH-000120,-0.516942635045
ACH-000123,-0.616187042988
ACH-000127,-0.7594394988750001
ACH-000128,-0.613897864227
ACH-000132,-0.771389812674
ACH-000133,-0.616433290407
ACH-000137,-0.5943326578279999
ACH-000138,-0.682664534997
ACH-000142,-0.446740247412
ACH-000143,-0.649916063693
ACH-000146,-1.05933085247
ACH-000148,-0.679448222053
ACH-000150,-0.835996911204
ACH-000152,-0.67914751567
ACH-000153,-0.7057063347750001
ACH-000159,-0.62789739758
ACH-000160,-0.8736699441339999
ACH-000163,-0.508730458613
ACH-000167,-0.623998675207
ACH-000168,-0.234999453533
ACH-000169,-0.6707797411249999
ACH-000178,-0.640684282271
ACH-000182,-0.9082522378829999
ACH-000183,-0.9195726952850001
ACH-000188,-0.545141423608
ACH-000189,-0.801411117176
ACH-000190,-0.923799122756
ACH-000198,-1.018914843
ACH-000204,-0.593632545037
ACH-000206,-0.813612608717
ACH-000207,-0.738649636683
ACH-000211,-0.696684000229
ACH-000215,-0.7069146344930001
ACH-000221,-0.6847846442990001
ACH-000222,-0.549873356861
ACH-000223,-0.7910653894230001
ACH-000226,-0.865504577281
ACH-000227,-0.8508202958609999
ACH-000228,-0.7769284860950001
ACH-000231,-0.44727377110100003
ACH-000232,-0.5821765744740001
ACH-000233,-0.729639909534
ACH-000234,-0.8091775356149999
ACH-000235,-0.684965332051
ACH-000237,-0.436303906149
ACH-000238,-0.423863523028
ACH-000243,-0.459234365432
ACH-000244,-0.223205304613
ACH-000246,-0.8970692837469999
ACH-000248,-0.486969859124
ACH-000250,-0.367147513803
ACH-000251,-0.937500409682
ACH-000253,-0.795941732797
ACH-000255,-0.614461794887
ACH-000256,-0.628822681572
ACH-000257,-0.8057676020640001
ACH-000258,-0.258033027481
ACH-000259,-0.946026224358
ACH-000260,-0.223613494259
ACH-000261,-0.717319051625
ACH-000262,-0.39036804402099995
ACH-000263,-0.8743301090060001
ACH-000264,-0.485646929015
ACH-000265,-0.685864269561
ACH-000266,-0.5207964583910001
ACH-000272,-0.7743025126540001
ACH-000273,-0.639187663045
ACH-000274,-0.649479118256
ACH-000277,-0.964184343831
ACH-000278,-0.48048090156
ACH-000279,-0.7992168985670001
ACH-000280,-0.513714222751
ACH-000281,-0.616961282113
ACH-000288,-0.780654638189
ACH-000291,-0.7451075574349999
ACH-000293,-0.754351522786
ACH-000294,-0.541892278913
ACH-000295,-0.543163900852
