,PPIAL4D (645142)
ACH-000004,-0.48978403811899995
ACH-000007,-0.46578570044699996
ACH-000009,-0.665076110657
ACH-000011,-0.635039895955
ACH-000012,-0.371640966751
ACH-000013,-0.30587810102400004
ACH-000014,-0.43739341228600004
ACH-000015,-0.265855097393
ACH-000017,-0.323677721999
ACH-000018,-0.439321019485
ACH-000019,-0.277418953574
ACH-000021,-0.325730541007
ACH-000022,-0.484806147754
ACH-000025,-0.504024957453
ACH-000028,-0.470976309652
ACH-000030,-0.187646833654
ACH-000035,-0.24031809115699998
ACH-000036,-0.6361882106800001
ACH-000037,-0.418095925242
ACH-000039,-0.5692397120620001
ACH-000040,-0.420122081456
ACH-000041,-0.230736180598
ACH-000042,-0.475814010069
ACH-000045,-0.532062217823
ACH-000047,-0.469994881488
ACH-000052,-0.48288561769500005
ACH-000053,-0.314679085967
ACH-000054,-0.208601786796
ACH-000055,-0.505835749747
ACH-000060,-0.31873445809
ACH-000067,-0.306525703314
ACH-000070,-0.22680079371
ACH-000075,-0.39914521766000005
ACH-000078,-0.518860559524
ACH-000082,-0.298868727841
ACH-000085,-0.232648774856
ACH-000086,-0.49842259857
ACH-000087,-0.301055545942
ACH-000092,-0.560534361171
ACH-000095,-0.47376622200400004
ACH-000097,-0.613308097086
ACH-000098,-0.396217294528
ACH-000099,-0.539427328426
ACH-000108,-0.286280547274
ACH-000113,-0.330500773358
ACH-000115,-0.237315424796
ACH-000116,-0.37403202609999997
ACH-000118,-0.39699801897299997
ACH-000120,-0.504284480783
ACH-000123,-0.5053637056979999
ACH-000127,-0.37136845432599996
ACH-000128,-0.48754043597400004
ACH-000132,-0.41528403978399997
ACH-000133,-0.547936146851
ACH-000137,-0.452234568477
ACH-000138,-0.470364836208
ACH-000142,-0.686802550759
ACH-000143,-0.336574601875
ACH-000146,-0.269335715056
ACH-000148,-0.305501293614
ACH-000150,-0.413681940093
ACH-000152,-0.24981579221099998
ACH-000153,-0.623817932537
ACH-000159,-0.329083995427
ACH-000160,-0.504430312153
ACH-000163,-0.775362953446
ACH-000167,-0.537768940525
ACH-000168,-0.287027990881
ACH-000169,-0.208474037996
ACH-000178,-0.275606880566
ACH-000182,-0.339846066457
ACH-000183,-0.379314373513
ACH-000188,-0.17584249021899998
ACH-000189,-0.616358260959
ACH-000190,-0.32058265791499996
ACH-000198,-0.468303629743
ACH-000204,-0.447892559228
ACH-000206,-0.362125037398
ACH-000207,-0.07355906677389999
ACH-000211,-0.375465807203
ACH-000215,-0.700011375869
ACH-000221,-0.301608714941
ACH-000222,-0.267716201277
ACH-000223,-0.5674816387039999
ACH-000226,-0.324641154472
ACH-000227,-0.439836891692
ACH-000228,-0.653977522843
ACH-000231,-0.121166931708
ACH-000232,-0.448354015762
ACH-000233,-0.284026251058
ACH-000234,-0.22814746201299999
ACH-000235,-0.499675015861
ACH-000237,-0.532700846394
ACH-000238,-0.173010757401
ACH-000243,-0.514137739251
ACH-000244,-0.150830175722
ACH-000246,-0.449286784464
ACH-000248,-0.333756427071
ACH-000250,-0.297895480458
ACH-000251,-0.813206518455
ACH-000253,-0.511145896638
ACH-000255,-0.47390444153300004
ACH-000256,-0.13249615262199999
ACH-000257,-0.404430972043
ACH-000258,-0.43550206557800003
ACH-000259,-0.313083995153
ACH-000260,-0.41713020104500004
ACH-000261,-0.303241717987
ACH-000262,-0.36763300545199995
ACH-000263,-0.140762705476
ACH-000264,-0.593256926267
ACH-000265,-0.356681075273
ACH-000266,-0.44845966219300004
ACH-000272,-0.5033314652759999
ACH-000273,-0.535825275893
ACH-000274,-0.33236384249400003
ACH-000277,-0.018847975078000002
ACH-000278,-0.234010432262
ACH-000279,-0.305402080613
ACH-000280,-0.33781065743
ACH-000281,-0.379532529447
ACH-000288,-0.23342420176999998
ACH-000291,-0.474856355593
ACH-000293,-0.0685330587462
ACH-000294,-0.46986375659999996
ACH-000295,-0.816213491768
ACH-000296,-0.80498810707
ACH-000302,-0.281293242278
ACH-000304,-0.46785128181100005
ACH-000307,-0.410566169457
ACH-000308,-0.284903798227
ACH-000310,-0.41872737298600005
ACH-000311,-0.325378474563
ACH-000312,-0.463916991863
ACH-000315,-0.430258766187
ACH-000316,-0.20528367295299998
ACH-000317,-0.42018077134000004
ACH-000318,-0.254478629324
ACH-000319,-0.6481306268020001
ACH-000320,-0.461716689178
ACH-000322,-0.397558568859
ACH-000323,-0.403359117412
ACH-000324,-0.481822121172
ACH-000329,-0.596872036377
ACH-000330,-0.207719137666
ACH-000331,-0.427466549786
ACH-000332,-0.452546315788
ACH-000334,-0.614991193959
ACH-000335,-0.43119467681199997
ACH-000336,-0.655315670653
ACH-000337,-0.156447849876
ACH-000339,-0.09735382469000001
ACH-000341,-0.464517263025
ACH-000348,-0.482608964001
ACH-000350,-0.5310696609269999
ACH-000352,-0.303003557464
ACH-000356,-0.6381296151070001
ACH-000361,-0.304027517004
ACH-000362,-0.300106652124
ACH-000363,-0.301454071611
ACH-000364,-0.36506268356
ACH-000365,-0.478681573358
ACH-000366,-0.47570377107600004
ACH-000368,-0.5537021232079999
ACH-000374,-0.238146007745
ACH-000375,-0.340906535075
ACH-000376,-0.608578354212
ACH-000381,-0.501625248713
ACH-000383,-0.354278185734
ACH-000387,-0.479439622701
ACH-000389,-0.310246339404
ACH-000390,-0.669923427055
ACH-000393,-0.280829679298
ACH-000395,-0.301497719208
ACH-000397,-0.298438733083
ACH-000401,-0.507165763486
ACH-000402,-0.425666192778
ACH-000403,-0.532044770551
ACH-000404,-0.0515082016713
ACH-000406,-0.5692385388660001
ACH-000407,-0.583044244244
ACH-000408,-0.18086242406
ACH-000410,-0.305677876784
ACH-000411,-0.355465652337
ACH-000414,-0.559329463329
ACH-000415,-0.525923051681
ACH-000416,-0.312703187945
ACH-000420,-0.299145900966
ACH-000421,-0.509880879644
ACH-000424,-0.605438331196
ACH-000425,-0.0647931470902
ACH-000426,-0.7075873639939999
ACH-000427,-0.36891382146799995
ACH-000433,-0.293640851222
ACH-000436,-0.305500966498
ACH-000444,-0.428579683645
ACH-000445,-0.526241282372
ACH-000448,-0.35481141710999997
ACH-000450,-0.418430237897
