,CCDC71L (168455)
ACH-000004,0.0025429952320399998
ACH-000007,0.07553939799630001
ACH-000009,-0.0502079808512
ACH-000011,-0.195825216252
ACH-000012,-0.029309871962599997
ACH-000013,-0.11314104977
ACH-000014,-0.0417738705931
ACH-000015,-0.0490538272002
ACH-000017,-0.21871437462499999
ACH-000018,0.0490404849737
ACH-000019,-0.4974254330100001
ACH-000021,-0.226195138578
ACH-000022,-0.18461034105500002
ACH-000025,-0.0669381565895
ACH-000028,-0.18986444607900002
ACH-000030,-0.125229158117
ACH-000035,-0.115124011042
ACH-000036,-0.24584685069
ACH-000037,-0.43259448926399996
ACH-000039,-0.259493195083
ACH-000040,-0.005352955746000001
ACH-000041,-0.039414127827199996
ACH-000042,-0.0660821238407
ACH-000045,-0.126182040193
ACH-000047,-0.130167181534
ACH-000052,-0.357241132866
ACH-000053,-0.039301074488
ACH-000054,-0.143375623694
ACH-000055,-0.525265308154
ACH-000060,-0.125507997476
ACH-000067,-0.20210767047800002
ACH-000070,-0.07156239145769999
ACH-000075,-0.161978382149
ACH-000078,0.006590667870529999
ACH-000082,-0.198699118354
ACH-000085,-0.282140055754
ACH-000086,-0.122522045817
ACH-000087,-0.09040922608799999
ACH-000092,-0.0654143191723
ACH-000095,-0.154665982443
ACH-000097,-0.266364915161
ACH-000098,-0.20699242319400002
ACH-000099,0.11100250613700001
ACH-000108,-0.0572736584523
ACH-000113,-0.253403242335
ACH-000115,-0.04766016304330001
ACH-000116,-0.175067565956
ACH-000118,-0.13137542349099998
ACH-000120,-0.279935654296
ACH-000123,-0.206823276636
ACH-000127,-0.10252099861099999
ACH-000128,-0.168506342602
ACH-000132,-0.18288521555999998
ACH-000133,-0.258216580329
ACH-000137,-0.167391387125
ACH-000138,-0.103844671426
ACH-000142,-0.035333822047300005
ACH-000143,-0.272548818847
ACH-000146,-0.046739643831199995
ACH-000148,-0.152814089359
ACH-000150,0.0682960552707
ACH-000152,-0.17586057173900002
ACH-000153,-0.0176555436554
ACH-000159,-0.337592919414
ACH-000160,-0.45461609188600005
ACH-000163,-0.144786773962
ACH-000167,-0.511195364426
ACH-000168,-0.21134142831500002
ACH-000169,-0.11674973315300001
ACH-000178,-0.011234113000900001
ACH-000182,-0.00587635724409
ACH-000183,-0.08008566579139999
ACH-000188,-0.06985904025550001
ACH-000189,-0.314661265384
ACH-000190,-0.18832590698100002
ACH-000198,-0.003954033315670001
ACH-000204,-0.579328716793
ACH-000206,-0.104755425726
ACH-000207,-0.12353949910499999
ACH-000211,-0.16856042788800002
ACH-000215,-0.0916769203413
ACH-000221,0.08916859050719998
ACH-000222,0.15989165796399998
ACH-000223,-0.301477336254
ACH-000226,-0.144483895858
ACH-000227,-0.0265673242536
ACH-000228,0.0482257582108
ACH-000231,-0.292969486434
ACH-000232,-0.07754341265660002
ACH-000233,-0.00820981593008
ACH-000234,-0.156904473379
ACH-000235,-0.146738440629
ACH-000237,-0.32535130883200003
ACH-000238,-0.20478166954100002
ACH-000243,-0.257124780102
