,PDE1C (5137)
ACH-000004,-0.213201334331
ACH-000007,-0.19493334501899998
ACH-000009,-0.37371643548699995
ACH-000011,-0.331402376686
ACH-000012,-0.20798978986900002
ACH-000013,-0.137642857858
ACH-000014,-0.40735214953800003
ACH-000015,-0.336781079053
ACH-000017,-0.19906177563299998
ACH-000018,-0.270450499803
ACH-000019,-0.771666128388
ACH-000021,-0.19475253753199998
ACH-000022,-0.342377657966
ACH-000025,-0.352322855996
ACH-000028,-0.24159143840999997
ACH-000030,-0.324608903046
ACH-000035,-0.45425270600199996
ACH-000036,-0.19644464832400002
ACH-000037,-0.360329842984
ACH-000039,-0.217513747953
ACH-000040,-0.295338002581
ACH-000041,-0.057010149517900004
ACH-000042,-0.45593734098300004
ACH-000045,-0.199997335808
ACH-000047,-0.21887017845600001
ACH-000052,-0.266820970376
ACH-000053,-0.445316923654
ACH-000054,-0.226003662596
ACH-000055,-0.0340635146867
ACH-000060,-0.37201755498499994
ACH-000067,0.060547328702099994
ACH-000070,-0.256250956147
ACH-000075,-0.441872714891
ACH-000078,-0.313541930774
ACH-000082,-0.310652922249
ACH-000085,-0.296132506658
ACH-000086,-0.15999461557800002
ACH-000087,-0.1264510859
ACH-000092,-0.0725645832862
ACH-000095,-0.306866581771
ACH-000097,-0.20099674861400002
ACH-000098,-0.247532406329
ACH-000099,-0.39131886654799997
ACH-000108,-0.298875700987
ACH-000113,-0.314584674412
ACH-000115,-0.14752282770400002
ACH-000116,-0.296435541906
ACH-000118,-0.0814321648125
ACH-000120,-0.285064759906
ACH-000123,-0.177868890554
ACH-000127,-0.31873316718
ACH-000128,-0.395213884376
ACH-000132,-0.0408995799494
ACH-000133,-0.256722875236
ACH-000137,-0.45615921465000003
ACH-000138,-0.222647251772
ACH-000142,-0.294883522938
ACH-000143,-0.35419364910800005
ACH-000146,-0.290498978484
ACH-000148,-0.21485401559700001
ACH-000150,-0.433494532379
ACH-000152,-0.253335691577
ACH-000153,-0.359155255989
ACH-000159,-0.239903459027
ACH-000160,-0.15533657425
ACH-000163,-0.320629004629
ACH-000167,-0.393877244965
ACH-000168,-0.562767868855
ACH-000169,-0.19811990085099998
ACH-000178,-0.31694247578400003
ACH-000182,-0.372677069677
ACH-000183,-0.353412928186
ACH-000188,-0.0697598635354
ACH-000189,-0.0853188754582
ACH-000190,-0.485424700952
ACH-000198,-0.29094479671
ACH-000204,-0.140301657511
ACH-000206,-0.344804395322
ACH-000207,-0.149639803082
ACH-000211,-0.255957336656
ACH-000215,-0.19814479920800002
ACH-000221,-0.34964030464400003
ACH-000222,-0.210621394091
ACH-000223,-0.128461193361
ACH-000226,-0.276366678663
ACH-000227,-0.16996315245000002
ACH-000228,-0.571212246391
ACH-000231,-0.148901186539
ACH-000232,-0.161512886677
ACH-000233,-0.15489702715
ACH-000234,-0.168300187001
ACH-000235,-0.278736732796
ACH-000237,-0.324560190902
ACH-000238,-0.174954802198
ACH-000243,-0.134295579144
ACH-000244,-0.161567147759
ACH-000246,-0.19233746987999997
ACH-000248,-0.50485347376
ACH-000250,-0.259819268033
ACH-000251,-0.38317357691
ACH-000253,-0.204266449664
ACH-000255,-0.06895908605739999
ACH-000256,-0.088476612635
ACH-000257,0.09560317450729999
ACH-000258,-0.244644838794
ACH-000259,-0.207181319083
ACH-000260,-0.360799576455
ACH-000261,-0.273544912786
ACH-000262,-0.406043686528
ACH-000263,-0.67386755689
ACH-000264,-0.357020062878
ACH-000265,-0.298855099585
ACH-000266,-0.279925807832
ACH-000272,-0.258185895981
ACH-000273,-0.0966650069942
ACH-000274,-0.143487248052
ACH-000277,-0.395720958376
ACH-000278,-0.21619916107200002
ACH-000279,-0.2449770228
ACH-000280,-0.29695065307199997
ACH-000281,-0.385941433387
ACH-000288,-0.231713137384
ACH-000291,-0.303216015448
ACH-000293,-0.431489495572
ACH-000294,-0.469786578544
ACH-000295,-0.504112200147
ACH-000296,-0.298572131389
ACH-000302,-0.299416896198
ACH-000304,-0.19023241778499997
ACH-000307,-0.38482047731200003
ACH-000308,-0.310860244443
ACH-000310,-0.184151401328
ACH-000311,-0.259486422497
ACH-000312,-0.16189032257000002
ACH-000315,-0.3468812094
ACH-000316,-0.0627945217523
ACH-000317,-0.102031588955
ACH-000318,-0.299307511777
ACH-000319,-0.17784554249
ACH-000320,-0.36796684287
ACH-000322,-0.387397002525
ACH-000323,-0.10681990948999999
ACH-000324,-0.274680665082
ACH-000329,-0.272108337429
ACH-000330,-0.290846117531
ACH-000331,-0.32535988231400004
ACH-000332,-0.23122614417100001
ACH-000334,-0.0463132343798
ACH-000335,-0.0862438820971
ACH-000336,-0.234453381254
ACH-000337,-0.592883910526
ACH-000339,-0.333431318041
ACH-000341,-0.375549533632
ACH-000348,-0.272423643457
ACH-000350,-0.538389375221
ACH-000352,-0.171699994835
ACH-000356,-0.22459422015
ACH-000361,0.0567727306235
ACH-000362,-0.274541866591
ACH-000363,-0.367975798438
ACH-000364,-0.37557551234
ACH-000365,-0.33063866772100003
ACH-000366,-0.246679080612
ACH-000368,-0.131355121282
ACH-000374,-0.278930207451
ACH-000375,-0.19889860369000004
ACH-000376,-0.279368907562
ACH-000381,-0.280568538498
ACH-000383,-0.356938274961
ACH-000387,-0.302853305308
ACH-000389,-0.437453067672
ACH-000390,-0.283254881476
ACH-000393,-0.360107354029
ACH-000395,-0.35266515391000003
ACH-000397,-0.366072467556
ACH-000401,-0.18646610086100002
ACH-000402,-0.11515490125
ACH-000403,-0.340003849591
ACH-000404,-0.571764747501
ACH-000406,-0.44509082782799997
