,CENPE (1062)
ACH-000004,-0.655527702558
ACH-000007,-0.9220318043089999
ACH-000009,-0.48719194703
ACH-000011,-0.81175444105
ACH-000012,-0.530826958273
ACH-000013,-0.644993454567
ACH-000014,-0.9622018949600001
ACH-000015,-0.798422473528
ACH-000017,-0.456045423904
ACH-000018,-0.5506150911959999
ACH-000019,-0.344395342704
ACH-000021,-0.5099011338130001
ACH-000022,-0.597688601663
ACH-000025,-0.613692126427
ACH-000028,-0.658571653577
ACH-000030,-0.638640917208
ACH-000035,-0.31879918269499996
ACH-000036,-0.575696949849
ACH-000037,-1.06765068733
ACH-000039,-0.482530203998
ACH-000040,-0.779757664565
ACH-000041,-0.234978871775
ACH-000042,-0.322149404315
ACH-000045,-0.7426584699519999
ACH-000047,-0.543422910115
ACH-000052,-0.38824151960500003
ACH-000053,-0.38447699297399995
ACH-000054,-0.6729694435760001
ACH-000055,-0.5345479213300001
ACH-000060,-0.7231360963060001
ACH-000067,-0.6204027248539999
ACH-000070,-0.8634897290970001
ACH-000075,-0.390321205396
ACH-000078,-1.0495755086299998
ACH-000082,-0.777300458203
ACH-000085,-0.7724180531460001
ACH-000086,-0.690520476586
ACH-000087,-0.405703031212
ACH-000092,-0.854056890247
ACH-000095,-0.670683236605
ACH-000097,-0.7139528551369999
ACH-000098,-0.7563707244850001
ACH-000099,-0.69236080508
ACH-000108,-0.479612254475
ACH-000113,-0.733788753697
ACH-000115,-0.327356477867
ACH-000116,-0.92930574655
ACH-000118,-0.371558154586
ACH-000120,-0.722755594691
ACH-000123,-0.646796483417
ACH-000127,-0.646645177754
ACH-000128,-0.751205645761
ACH-000132,-0.787512617155
ACH-000133,-0.5595708056700001
ACH-000137,-0.777715275381
ACH-000138,-0.453072786602
ACH-000142,-0.545249505673
ACH-000143,-0.721002110991
ACH-000146,-0.497147301926
ACH-000148,-0.813548146461
ACH-000150,-0.786483917293
ACH-000152,-0.764369470995
ACH-000153,-0.7534781119670001
ACH-000159,-0.947943209693
ACH-000160,-0.696970905731
ACH-000163,-0.434356461127
ACH-000167,-0.857532444394
ACH-000168,-0.620003181374
ACH-000169,-0.798527548079
ACH-000178,-0.7818672756389999
ACH-000182,-0.7319681471070001
ACH-000183,-0.256443781317
ACH-000188,-0.605834165236
ACH-000189,-1.06855316458
ACH-000190,-0.839187969211
ACH-000198,-0.6235456832840001
ACH-000204,-0.55454113724
ACH-000206,-0.807805911224
ACH-000207,-0.0583929427423
ACH-000211,-1.02068100351
ACH-000215,-0.646704250978
ACH-000221,-0.791950762449
ACH-000222,-0.302216551266
ACH-000223,-0.5744732082940001
ACH-000226,-0.7731067027140001
ACH-000227,-0.924620657666
ACH-000228,-0.41581691016000005
ACH-000231,-0.780151892824
ACH-000232,-0.641183248121
ACH-000233,-0.477826871776
ACH-000234,-1.16256490428
ACH-000235,-0.582302119164
ACH-000237,-0.981858809603
ACH-000238,-0.830937402893
ACH-000243,-0.473906565133
ACH-000244,-1.07767402929
ACH-000246,-0.775836259182
ACH-000248,-0.580138363992
ACH-000250,-0.7928714191189999
ACH-000251,-0.438964174873
ACH-000253,-0.579698242972
ACH-000255,-0.787175460622
ACH-000256,-0.674801965613
ACH-000257,-1.02410557772
ACH-000258,-0.222545429541
ACH-000259,-0.662356085126
ACH-000260,-0.619832178938
ACH-000261,-0.558969972588
ACH-000262,-0.45116002569799996
ACH-000263,-0.667461690853
ACH-000264,-0.7310010973559999
ACH-000265,-0.7511975621870001
ACH-000266,-0.581396021048
ACH-000272,-0.953808950985
ACH-000273,-0.528766571303
ACH-000274,-0.831134875862
ACH-000277,-0.726347414759
ACH-000278,-0.938931321476
ACH-000279,-0.653612109549
ACH-000280,-0.901503248706
ACH-000281,-0.603539803349
ACH-000288,-0.5320666481149999
ACH-000291,-0.46974310825599996
ACH-000293,-0.823100935266
ACH-000294,-0.647670934921
ACH-000295,-0.580876824466
ACH-000296,-0.484004063673
ACH-000302,-0.9467320546200001
ACH-000304,-0.22839869271
ACH-000307,-0.528929834354
ACH-000308,-0.797455335808
ACH-000310,-0.8485877456640001
ACH-000311,-0.464361722505
ACH-000312,-0.542320358834
ACH-000315,-0.155673319304
ACH-000316,-0.8529088948450001
ACH-000317,-0.9491666126999999
ACH-000318,-0.534465053227
ACH-000319,-0.774829483735
ACH-000320,-0.528639890734
ACH-000322,-0.904536841426
ACH-000323,-0.699652825992
ACH-000324,-0.8782389346680001
