,FNTA (2339)
ACH-000004,-0.392355386467
ACH-000007,-1.1236581477
ACH-000009,-0.31860141666999997
ACH-000011,-0.935009633047
ACH-000012,-0.81701574654
ACH-000013,-0.561674459918
ACH-000014,-0.658259711056
ACH-000015,-0.742748548992
ACH-000017,-0.633660944941
ACH-000018,-0.772574247636
ACH-000019,-0.573434395911
ACH-000021,-0.537709544547
ACH-000022,-0.42716002906499995
ACH-000025,-0.858064213614
ACH-000028,-0.8651144670819999
ACH-000030,-0.74897572795
ACH-000035,-0.9264822141560001
ACH-000036,-0.914128598964
ACH-000037,-0.679927113114
ACH-000039,-0.175640428256
ACH-000040,-0.804736712921
ACH-000041,-0.5394911952520001
ACH-000042,-0.587370810261
ACH-000045,-0.332277637507
ACH-000047,-0.604916664974
ACH-000052,-0.8976803281290001
ACH-000053,-0.5682042088329999
ACH-000054,-0.649512618503
ACH-000055,-0.820294714235
ACH-000060,-0.996380911534
ACH-000067,-0.531483299264
ACH-000070,-0.863965414786
ACH-000075,-0.62784452798
ACH-000078,-0.445429682082
ACH-000082,-0.9203003659540001
ACH-000085,-0.556726943367
ACH-000086,-0.581096315247
ACH-000087,-0.614333398898
ACH-000092,-0.7776984707160001
ACH-000095,-0.810980874965
ACH-000097,-0.627435866967
ACH-000098,-0.709728097869
ACH-000099,-0.709992379455
ACH-000108,-0.6892047718800001
ACH-000113,-0.565933455836
ACH-000115,-0.317759769331
ACH-000116,-0.504917846291
ACH-000118,-0.934716734637
ACH-000120,-0.55527714458
ACH-000123,-0.936746183458
ACH-000127,-0.7433590193999999
ACH-000128,-0.646060134525
ACH-000132,-0.822198156193
ACH-000133,-0.49116553184199996
ACH-000137,-0.7740182944760001
ACH-000138,-0.71677669428
ACH-000142,-0.7894657094769999
ACH-000143,-0.6228038694479999
ACH-000146,-0.440376561537
ACH-000148,-0.9174113118100001
ACH-000150,-0.750259560014
ACH-000152,-0.864829844599
ACH-000153,-0.9756708202009999
ACH-000159,-1.05423422927
ACH-000160,-0.632650456104
ACH-000163,-1.32899078802
ACH-000167,-0.943009439507
ACH-000168,-0.612677729569
ACH-000169,-0.7666450719910001
ACH-000178,-0.8194590349619999
ACH-000182,-1.04947304468
ACH-000183,-0.373980334577
ACH-000188,-0.60285078287
ACH-000189,-0.922377235548
ACH-000190,-0.580800372307
ACH-000198,-0.489380886813
ACH-000204,-0.5849959340950001
ACH-000206,-1.0170091479999999
ACH-000207,-0.325249914074
ACH-000211,-0.740214922376
ACH-000215,-0.70348692338
ACH-000221,-0.7410457106270001
ACH-000222,-0.7701893436030001
ACH-000223,-0.520580127216
ACH-000226,-0.860813043529
ACH-000227,-0.268729602247
ACH-000228,-0.692059380115
ACH-000231,-0.670517393584
ACH-000232,-0.7977246859630001
ACH-000233,-0.572086081292
ACH-000234,-1.22307385516
ACH-000235,-0.7041607631929999
ACH-000237,-0.58225726236
ACH-000238,-0.733066396075
ACH-000243,-1.1743434097399998
ACH-000244,-1.08582776675
ACH-000246,-0.548133644704
ACH-000248,-0.701588375
ACH-000250,-0.52566410002
ACH-000251,-0.756364135538
ACH-000253,-0.8682068668140001
ACH-000255,-0.6984469957960001
ACH-000256,-0.7344554305580001
ACH-000257,-0.617226793491
ACH-000258,-0.948766982952
ACH-000259,-0.869618672383
ACH-000260,-0.785834300652
ACH-000261,-0.785922471199
ACH-000262,-0.843322693996
ACH-000263,-0.539087653333
ACH-000264,-0.833553865219
ACH-000265,-0.764733726205
ACH-000266,-0.5021954505089999
ACH-000272,-0.39142382848800006
ACH-000273,-0.494482358248
ACH-000274,-0.618558342387
ACH-000277,-0.447995817663
ACH-000278,-0.6810073763879999
ACH-000279,-0.155968707767
ACH-000280,-0.743277930005
ACH-000281,-0.7445046830259999
ACH-000288,-0.36168451310099997
ACH-000291,-0.7335142438869999
ACH-000293,-0.19271856482900002
ACH-000294,-0.8460413212469999
ACH-000295,-0.39181148360299994
ACH-000296,-0.8278111182119999
ACH-000302,-0.433383874743
ACH-000304,-0.8326816862790001
ACH-000307,-0.971880470951
ACH-000308,-0.595148916646
ACH-000310,-0.51383714561
ACH-000311,-0.843475410848
ACH-000312,-0.6849078519349999
ACH-000315,-0.908483849888
ACH-000316,-0.806274005907
ACH-000317,-0.7087361032889999
ACH-000318,-0.493464708978
ACH-000319,-1.22894033591
ACH-000320,-0.837924617827
ACH-000322,-0.7301190339370001
ACH-000323,-1.07519066912
ACH-000324,-0.7117057012019999
ACH-000329,-0.424086131932
ACH-000330,-0.7745286184729999
ACH-000331,-0.856333995282
ACH-000332,-0.919496811808
ACH-000334,-0.551207543098
ACH-000335,-0.684536358295
ACH-000336,-0.328333603227
ACH-000337,-0.756961488379
ACH-000339,-0.8565053631990001
ACH-000341,-0.857326908628
ACH-000348,-0.685305157297
ACH-000350,-1.0614157116299998
ACH-000352,-0.657863796469
ACH-000356,-0.532390240582
ACH-000361,-0.601692810921
