,PIN1 (5300)
ACH-000004,0.0462007859466
ACH-000007,-0.17100360133
ACH-000009,0.0655108135045
ACH-000011,-0.024847589760500003
ACH-000012,0.0709119380322
ACH-000013,-0.09015135297489998
ACH-000014,0.00806022329265
ACH-000015,-0.09756554331039999
ACH-000017,-0.120709824869
ACH-000018,-0.338743019698
ACH-000019,0.050516537093900006
ACH-000021,-0.102546759008
ACH-000022,-0.0608214095126
ACH-000025,0.24276178378000002
ACH-000028,-0.0519576554842
ACH-000030,-0.08128961496510001
ACH-000035,-0.0175891509555
ACH-000036,-0.121099870592
ACH-000037,-0.231777558061
ACH-000039,-0.19630631422800002
ACH-000040,-0.08299191701110001
ACH-000041,-0.0262004302472
ACH-000042,0.17248400724500002
ACH-000045,-0.243473713367
ACH-000047,0.10220117584100001
ACH-000052,0.159988843147
ACH-000053,-0.20978025600000003
ACH-000054,-0.15883776228
ACH-000055,-0.042570469718699995
ACH-000060,0.279896991968
ACH-000067,-0.061294556251099995
ACH-000070,-0.270718735793
ACH-000075,-0.452179011919
ACH-000078,0.180263078188
ACH-000082,0.0392680933253
ACH-000085,-0.268148074834
ACH-000086,0.0270415446964
ACH-000087,-0.193338046251
ACH-000092,-0.015650752627299997
ACH-000095,-0.16964776131200002
ACH-000097,-0.07174657935630001
ACH-000098,-0.12265154485600001
ACH-000099,-0.0435158160041
ACH-000108,0.053780364104699996
ACH-000113,-0.106636793013
ACH-000115,-0.210183778832
ACH-000116,-0.20430179445399999
ACH-000118,-0.0151832088696
ACH-000120,0.004410962404979999
ACH-000123,-0.110295897827
ACH-000127,-0.0741813744403
ACH-000128,-0.09999237968589998
ACH-000132,0.114154432015
ACH-000133,0.015020328404200001
ACH-000137,-0.05643260474230001
ACH-000138,-0.06193949977990001
ACH-000142,-0.04295975515319999
ACH-000143,0.033694906462
ACH-000146,0.09433827027319999
ACH-000148,0.0313705873559
ACH-000150,-0.07380127483139999
ACH-000152,-0.0736576760233
ACH-000153,0.0281421080636
ACH-000159,-0.164014640274
ACH-000160,0.055245150046199995
ACH-000163,-0.0039365542211400005
ACH-000167,0.5274115039239999
ACH-000168,-0.0639759733784
ACH-000169,-0.101970476465
ACH-000178,0.0474584078613
ACH-000182,0.0924541664947
ACH-000183,0.114372142892
ACH-000188,-0.14329530530600001
ACH-000189,-0.06961966841850001
ACH-000190,0.07140595972950001
ACH-000198,-0.291822906715
ACH-000204,0.0803324919368
ACH-000206,-0.219481481563
ACH-000207,-0.239744323254
ACH-000211,-0.184959673045
ACH-000215,-0.0031190654599099997
ACH-000221,-0.150235011052
ACH-000222,-0.0927102718633
ACH-000223,-0.042161167820800004
ACH-000226,-0.10832020021199999
ACH-000227,0.160661593544
ACH-000228,0.107069242012
ACH-000231,0.154648352969
ACH-000232,0.319910593605
ACH-000233,-0.093357592288
ACH-000234,-0.155927091247
ACH-000235,0.00193009841538
ACH-000237,0.0885750148426
ACH-000238,0.203175176994
ACH-000243,-0.185930906136
ACH-000244,0.0226506683189
ACH-000246,-0.36322250796800004
ACH-000248,-0.365066607521
ACH-000250,0.108570873013
ACH-000251,0.21300118419599998
ACH-000253,-0.138210053848
ACH-000255,-0.11356346034800001
ACH-000256,0.04583145796969999
ACH-000257,0.0449892718272
ACH-000258,-0.284085669547
ACH-000259,0.0534531533644
ACH-000260,0.0227851357925
ACH-000261,-0.00866320289495
ACH-000262,0.0734843763937
ACH-000263,0.0009658871296110001
ACH-000264,-0.0985572519133
ACH-000265,-0.0238351952154
ACH-000266,0.0672639817137
ACH-000272,0.0996301766805
ACH-000273,0.06880011994030001
ACH-000274,0.039706964475300005
ACH-000277,0.18345559217399998
ACH-000278,0.07262299987439999
ACH-000279,0.0817466638755
ACH-000280,-0.094409071244
ACH-000281,0.036115972120800005
ACH-000288,0.0552274838455
ACH-000291,-0.49365002869499996
ACH-000293,0.106177567067
ACH-000294,0.130706592078
ACH-000295,-0.0522705121238
ACH-000296,-0.0891792995053
ACH-000302,-0.21459367505399998
ACH-000304,0.192053461055
ACH-000307,0.0301616578189
ACH-000308,-0.10666923969
ACH-000310,0.211058105226
ACH-000311,-0.08710019558250001
ACH-000312,-0.0355598064881
ACH-000315,-0.078273478442
ACH-000316,0.3009782617
ACH-000317,-0.08227887053239999
ACH-000318,-0.024744039049299997
ACH-000319,-0.104912513365
ACH-000320,-0.0586289706276
ACH-000322,0.10512325472
ACH-000323,-0.0538743277922
ACH-000324,0.143029452876
ACH-000329,-0.0608608207105
ACH-000330,-0.166616468078
ACH-000331,0.0294049177222
ACH-000332,-0.001298531075
ACH-000334,-0.187608881727
ACH-000335,-0.09175306307710002
ACH-000336,-0.38771138346
ACH-000337,-0.06938178718610001
ACH-000339,0.0832982227292
ACH-000341,-0.0126355961235
ACH-000348,-0.124163541283
ACH-000350,-0.0549253240607
ACH-000352,0.0116195485556
ACH-000356,-0.159795315764
ACH-000361,-0.168033481752
ACH-000362,-0.0209906827207
ACH-000363,-0.037327185371800006
ACH-000364,-0.11491563996899999
ACH-000365,-0.09941106961230001
ACH-000366,-0.136287675349
ACH-000368,-0.008364531078819999
ACH-000374,0.024847046480400002
ACH-000375,-0.114009029506
ACH-000376,0.0575002649577
ACH-000381,0.200472119226
ACH-000383,0.045136573396199996
ACH-000387,0.320545561147
ACH-000389,-0.0627956153112
ACH-000390,-0.078141766048
ACH-000393,0.07393176863789999
ACH-000395,0.0192887164588
ACH-000397,-0.0867342758189
ACH-000401,-0.198684007864
ACH-000402,-0.11997337928
ACH-000403,0.162503657711
ACH-000404,0.0880003913214
ACH-000406,0.10230027481000001
ACH-000407,-0.12397424670299999
ACH-000408,-0.17606261781100002
ACH-000410,-0.0399758641923
ACH-000411,-0.0156262123611
ACH-000414,0.0626729682675
ACH-000415,0.0283989635417
ACH-000416,-0.10193681067299999
ACH-000420,0.167819474669
ACH-000421,0.011324125651200001
ACH-000424,0.147633346133
ACH-000425,-0.0363676635069
ACH-000426,-0.224985008248
ACH-000427,-0.434038758232
ACH-000433,0.07797481568
ACH-000436,0.007426997106069999
ACH-000444,-0.0497617923139
ACH-000445,-0.23525450624699998
ACH-000448,-0.11286166324100001
ACH-000450,0.045206331689400005
ACH-000452,-0.111015748496
ACH-000454,-0.0555799619388
ACH-000458,-0.014286479324
ACH-000459,-0.144571924904
