,RARS (5917)
ACH-000004,-0.672267540998
ACH-000007,-0.593049567612
ACH-000009,-0.920014604321
ACH-000011,-0.453189909808
ACH-000012,-0.7204135516529999
ACH-000013,-0.6222040824849999
ACH-000014,-0.556177019604
ACH-000015,-0.72619400663
ACH-000017,-0.5056526562389999
ACH-000018,-0.662581257299
ACH-000019,-0.7708789694120001
ACH-000021,-0.562691607766
ACH-000022,-0.800197600314
ACH-000025,-0.7136067442630001
ACH-000028,-0.605403519086
ACH-000030,-0.6881946742280001
ACH-000035,-0.570434879204
ACH-000036,-0.702000880528
ACH-000037,-1.19063002831
ACH-000039,-0.766011225609
ACH-000040,-0.543754996427
ACH-000041,-0.8470115415739999
ACH-000042,-0.649897176576
ACH-000045,-0.5959178330870001
ACH-000047,-0.696716852309
ACH-000052,-0.610335361252
ACH-000053,-0.675702457537
ACH-000054,-0.706144524572
ACH-000055,-0.476644058427
ACH-000060,-0.809685395799
ACH-000067,-0.723314434228
ACH-000070,-0.582708458172
ACH-000075,-0.981461649615
ACH-000078,-0.750025974488
ACH-000082,-0.646812366711
ACH-000085,-0.428021864513
ACH-000086,-0.765712823292
ACH-000087,-0.330950537387
ACH-000092,-0.8408786026970001
ACH-000095,-0.8655173509880001
ACH-000097,-0.502379700917
ACH-000098,-0.586261163427
ACH-000099,-0.790702903404
ACH-000108,-0.591918473776
ACH-000113,-0.507558605679
ACH-000115,-1.14539190899
ACH-000116,-0.621899410577
ACH-000118,-0.43469104204099995
ACH-000120,-0.63649593573
ACH-000123,-0.661765440237
ACH-000127,-0.7293875607179999
ACH-000128,-0.5809541513809999
ACH-000132,-0.888855355229
ACH-000133,-0.649828007604
ACH-000137,-0.622783996769
ACH-000138,-0.44520508985600005
ACH-000142,-0.8342280738310001
ACH-000143,-0.49931527439900003
ACH-000146,-0.579889055276
ACH-000148,-0.506177366956
ACH-000150,-0.741305728549
ACH-000152,-0.845079682334
ACH-000153,-0.440787098662
ACH-000159,-0.9129917179479999
ACH-000160,-0.55211424213
ACH-000163,-0.586936334618
ACH-000167,-0.695773736775
ACH-000168,-0.8451497084749999
ACH-000169,-0.61937696573
ACH-000178,-0.5747737451199999
ACH-000182,-0.8060961058570001
ACH-000183,-0.501752757733
ACH-000188,-0.75805221134
ACH-000189,-0.557894834572
ACH-000190,-0.733500376898
ACH-000198,-0.615232151323
ACH-000204,-0.817023973012
ACH-000206,-0.590098420658
