,TNPO1 (3842)
ACH-000004,-0.599900015709
ACH-000007,0.0470646254494
ACH-000009,-0.246448990462
ACH-000011,-0.450844384527
ACH-000012,-0.301788184304
ACH-000013,-0.47021570579099997
ACH-000014,-0.353057384246
ACH-000015,-0.557042548942
ACH-000017,-0.456212457742
ACH-000018,-0.762693231495
ACH-000019,-0.359811036268
ACH-000021,-0.39160015456200004
ACH-000022,-0.202521126957
ACH-000025,-0.392032514112
ACH-000028,-0.265446300832
ACH-000030,-0.543991687215
ACH-000035,-0.333960874349
ACH-000036,-0.647322229767
ACH-000037,-0.363804668976
ACH-000039,-0.990005399192
ACH-000040,0.059957685820500005
ACH-000041,0.0343254430839
ACH-000042,-0.283453778948
ACH-000045,-0.120312164982
ACH-000047,-0.537573245833
ACH-000052,-0.217311333229
ACH-000053,-0.241572833069
ACH-000054,-0.536528607904
ACH-000055,-0.436653360091
ACH-000060,-0.19386921839000001
ACH-000067,-0.5860262707689999
ACH-000070,-0.194931924535
ACH-000075,-0.514789787034
ACH-000078,-0.34205460554899997
ACH-000082,-0.127712730176
ACH-000085,-0.0513500541628
ACH-000086,-0.504304686637
ACH-000087,-0.0542746218646
ACH-000092,-0.34615257378700004
ACH-000095,0.0258379547801
ACH-000097,-0.49770553587899996
ACH-000098,-0.443675430596
ACH-000099,-0.316956006495
ACH-000108,-0.513487351483
ACH-000113,-0.460600792896
ACH-000115,-0.079295107122
ACH-000116,-0.296048192823
ACH-000118,-0.08854342339839999
ACH-000120,-0.281009066944
ACH-000123,-0.09891941841810001
ACH-000127,-0.0935552910494
ACH-000128,-0.796560559226
ACH-000132,-0.303274143589
ACH-000133,-0.160712540292
ACH-000137,-0.00221956972194
ACH-000138,-0.5512361237969999
ACH-000142,-0.267451667582
ACH-000143,0.0137238119362
ACH-000146,0.012009004040600001
ACH-000148,-0.22506212636599998
ACH-000150,-0.5186882881939999
ACH-000152,-0.295672701327
ACH-000153,-0.12509897293
ACH-000159,-0.451142339715
ACH-000160,-0.456108169032
ACH-000163,-0.359185780978
ACH-000167,-0.9112349739069999
ACH-000168,-0.506545418952
ACH-000169,0.122670417214
ACH-000178,-0.388345514034
ACH-000182,-0.415273886859
ACH-000183,0.0699423572201
ACH-000188,-0.222542495678
ACH-000189,-0.230100746723
ACH-000190,-0.42392282793700004
ACH-000198,-0.511907025297
ACH-000204,-0.605149105285
ACH-000206,-0.233810075466
ACH-000207,-0.596348898434
ACH-000211,-0.577012756946
ACH-000215,-0.11995587036800001
ACH-000221,-0.41714864294200005
ACH-000222,-0.540077442045
ACH-000223,-0.164270466444
ACH-000226,-0.44297293128799997
ACH-000227,-0.260764603107
ACH-000228,-0.36935368296
ACH-000231,-0.634833114454
ACH-000232,-0.133180933871
ACH-000233,-0.061050330904800006
ACH-000234,-0.496767579427
ACH-000235,-0.48547193894199997
ACH-000237,-0.355636976466
ACH-000238,-0.5119758890439999
ACH-000243,-0.286561411554
ACH-000244,0.329803159537
ACH-000246,-0.150316765987
ACH-000248,-0.495039632436
ACH-000250,-0.139863135353
ACH-000251,-0.7750206966200001
ACH-000253,-0.182930814479
ACH-000255,-0.518929122319
ACH-000256,-0.0741229545905
ACH-000257,0.11655351390799999
