,SEC61A2 (55176)
ACH-000004,-0.150136497454
ACH-000007,-0.30274030401999996
ACH-000009,-0.13461407496
ACH-000011,-0.0359737065242
ACH-000012,-0.0589464562691
ACH-000013,-0.15806323324000002
ACH-000014,-0.10008460752000001
ACH-000015,-0.008417278344870001
ACH-000017,-0.0267014639445
ACH-000018,-0.15988204799699998
ACH-000019,0.0549001601803
ACH-000021,-0.131456875023
ACH-000022,-0.005368565879649999
ACH-000025,0.100484551178
ACH-000028,-0.11932462886800001
ACH-000030,-0.135281112816
ACH-000035,-0.0104280923566
ACH-000036,-0.0831694966911
ACH-000037,-0.167161885849
ACH-000039,-0.00661943683913
ACH-000040,-0.152376931454
ACH-000041,-0.0025528288037399995
ACH-000042,-0.22519056543299998
ACH-000045,-0.0895216043939
ACH-000047,0.014835155307
ACH-000052,-0.0786003159942
ACH-000053,-0.012931201792999999
ACH-000054,-0.21730644431600002
ACH-000055,0.048487414628
ACH-000060,0.0512602867035
ACH-000067,-0.188378759241
ACH-000070,0.079774092829
ACH-000075,0.230856015403
ACH-000078,-0.09957945293289999
ACH-000082,-0.12674773179
ACH-000085,0.038893005529400004
ACH-000086,0.0714720805282
ACH-000087,0.0006941119639450001
ACH-000092,-0.0110690482067
ACH-000095,-0.0801792016603
ACH-000097,0.0840493167037
ACH-000098,-0.315552035585
ACH-000099,-0.199715646382
ACH-000108,-0.014043920397700001
ACH-000113,0.0870878556642
ACH-000115,-0.306616997333
ACH-000116,-0.0165067818336
ACH-000118,-0.19474666268399998
ACH-000120,-0.224503313817
ACH-000123,-0.015914302281500002
ACH-000127,-0.032240242906
ACH-000128,-0.11687643094900001
ACH-000132,-0.0948585647556
ACH-000133,-0.115746803839
ACH-000137,0.101229333342
ACH-000138,-0.0178292802884
ACH-000142,0.0247685838077
ACH-000143,-0.022341389482200002
ACH-000146,-0.04659923373100001
ACH-000148,-0.169627787567
ACH-000150,-0.13592344902
ACH-000152,-0.24501872306999997
ACH-000153,0.08654914098750001
ACH-000159,-0.045705669260400004
ACH-000160,0.147436425461
ACH-000163,-0.0234370479607
ACH-000167,0.774294006726
ACH-000168,-0.00018087392076400003
ACH-000169,-0.0414274927911
ACH-000178,-0.196945558014
ACH-000182,-0.144833218333
ACH-000183,0.146842906406
ACH-000188,-0.07869835109289999
ACH-000189,-0.0263613809289
ACH-000190,-0.134493105033
ACH-000198,0.0103567770023
ACH-000204,-0.024221893508799996
ACH-000206,0.028412186829300003
ACH-000207,-0.371686193988
ACH-000211,0.00718483902496
ACH-000215,0.0488207361115
ACH-000221,0.207951540251
ACH-000222,0.0819668445005
ACH-000223,-0.159144205185
ACH-000226,-0.06727950133340001
ACH-000227,-0.351971103688
ACH-000228,0.00396729665897
ACH-000231,0.0877200599353
ACH-000232,-0.109621970668
ACH-000233,-0.24213710942400002
ACH-000234,0.0520143241608
ACH-000235,-0.11057193717
ACH-000237,5.3618146385e-06
ACH-000238,-0.033447740553900006
ACH-000243,0.0979818710366
ACH-000244,-0.357932233788
ACH-000246,-0.10934820215
ACH-000248,0.18659294917199998
ACH-000250,0.0613031291325
ACH-000251,0.159111770929
ACH-000253,-0.0554973490974
ACH-000255,0.120038345208
ACH-000256,0.150825078832
ACH-000257,-0.29227572031
ACH-000258,-0.09204568712929999
ACH-000259,-0.08442783510610001
ACH-000260,0.0450227104366
ACH-000261,-0.193071813695
ACH-000262,-0.08583396909710002
ACH-000263,0.350735270551
ACH-000264,-0.0573678761025
ACH-000265,-0.109499211342
ACH-000266,-0.0568515421638
ACH-000272,-0.0821138400485
ACH-000273,-0.21792130039700003
ACH-000274,-0.115794018485
ACH-000277,-0.219188667579
