,DBR1 (51163)
ACH-000004,-2.0295518764
ACH-000007,-1.88206014851
ACH-000009,-1.9117200955900002
ACH-000011,-1.65217183887
ACH-000012,-1.7162473148
ACH-000013,-1.81042098646
ACH-000014,-2.0180736858099997
ACH-000015,-1.9520860180400001
ACH-000017,-1.77771362105
ACH-000018,-1.9291478423099997
ACH-000019,-1.7955336789400003
ACH-000021,-1.85192933694
ACH-000022,-1.7749462795200002
ACH-000025,-2.06448331757
ACH-000028,-1.7512750565900002
ACH-000030,-1.73918102646
ACH-000035,-1.79982625145
ACH-000036,-1.6435499009
ACH-000037,-1.39859977833
ACH-000039,-1.79829937888
ACH-000040,-1.66190590398
ACH-000041,-2.2507001688
ACH-000042,-1.8106885318900001
ACH-000045,-2.0652179026099997
ACH-000047,-2.02355423595
ACH-000052,-1.9191634247999998
ACH-000053,-1.8880453814900002
ACH-000054,-1.7197917695900002
ACH-000055,-2.02824283361
ACH-000060,-1.6934216675100002
ACH-000067,-1.60363643875
ACH-000070,-1.9712924043200002
ACH-000075,-1.49114847676
ACH-000078,-1.9991015199700002
ACH-000082,-2.05474304006
ACH-000085,-1.87138690493
ACH-000086,-1.58929170597
ACH-000087,-1.78170348814
ACH-000092,-1.76080746398
ACH-000095,-1.9907259925799998
ACH-000097,-1.7573657675999999
ACH-000098,-1.83813960632
ACH-000099,-1.8429389949400001
ACH-000108,-1.80480595792
ACH-000113,-1.9243815717900001
ACH-000115,-1.30993660593
ACH-000116,-1.71380786928
ACH-000118,-1.7435797742099997
ACH-000120,-1.5547089677200001
ACH-000123,-1.8969399630900001
ACH-000127,-1.6548445669
ACH-000128,-1.8816613261900001
ACH-000132,-1.7381657666299999
ACH-000133,-1.73210817913
ACH-000137,-1.8153632932400001
ACH-000138,-1.7579159738699999
ACH-000142,-2.02548959071
ACH-000143,-1.5512183894999998
ACH-000146,-2.0579778934
ACH-000148,-2.01421798118
ACH-000150,-1.77658365232
ACH-000152,-1.58782079028
ACH-000153,-2.0608701108000003
ACH-000159,-1.66305518526
ACH-000160,-2.09197050705
ACH-000163,-1.8309371581599998
ACH-000167,-2.02506759195
ACH-000168,-1.83375533612
ACH-000169,-1.64921680262
ACH-000178,-1.80618350152
ACH-000182,-1.9157947041099999
ACH-000183,-1.66472904238
ACH-000188,-1.53026717396
ACH-000189,-1.53985925891
ACH-000190,-1.7341666551
ACH-000198,-1.7162682956200002
ACH-000204,-2.1491763747
ACH-000206,-2.2575184630000003
ACH-000207,-1.5675658567
ACH-000211,-1.9041161309299999
ACH-000215,-1.7504780311500001
ACH-000221,-2.13190519608
ACH-000222,-1.9373910908099996
ACH-000223,-1.8381088307099998
ACH-000226,-1.8954012057099998
ACH-000227,-1.1662811585700001
ACH-000228,-1.9640563879
ACH-000231,-1.68449830873
